Assignee,issue_count
A-34,6778
A-1526,3663
A-6884,3029
A-2762,2420
A-1389,2371
A-1551,2290
A-1506,2015
A-1937,2011
A-1619,1872
A-1961,1823
A-9632,1770
A-435,1749
A-1386,1721
A-1661,1667
A-5207,1655
A-1664,1654
A-7039,1623
A-1658,1617
A-9513,1490
A-2267,1468
A-2230,1425
A-1555,1395
A-2218,1361
A-9639,1306
A-1666,1283
A-1772,1225
A-2232,1174
A-7043,1163
A-428,1146
A-5249,1120
A-6455,1118
A-1725,1109
A-335,1066
A-1656,1042
A-3956,1033
A-1388,1023
A-39,1011
A-1659,1009
A-2813,1005
A-289,1004
A-2191,995
A-5922,972
A-1875,970
A-136,949
A-5272,947
A-2845,943
A-5269,918
A-3597,916
A-5784,914
A-1438,905
A-2889,904
A-3643,899
A-9960,898
A-2184,897
A-1668,894
A-5276,889
A-1154,888
A-6907,883
A-7125,873
A-1771,871
A-9642,868
A-1769,845
A-1409,833
A-5243,831
A-5238,829
A-3574,821
A-1778,817
A-2226,795
A-485,778
A-3611,741
A-5157,731
A-4110,720
A-1757,719
A-2657,719
A-72,714
A-5130,712
A-268,710
A-5652,697
A-5134,693
A-2961,691
A-5934,689
A-5924,682
A-2309,678
A-7045,666
A-532,666
A-3135,664
A-2714,662
A-1262,657
A-2245,640
A-5245,640
A-1581,635
A-1773,632
A-5931,630
A-2664,630
A-3402,628
A-5139,620
A-1387,617
A-615,607
A-9511,598
A-5936,596
A-2501,595
A-3565,579
A-2695,579
A-2972,574
A-1783,563
A-1971,562
A-5137,561
A-9796,560
A-6957,555
A-5800,549
A-790,549
A-3588,549
A-203,547
A-5935,547
A-4,541
A-808,537
A-1549,533
A-2967,531
A-4423,530
A-6889,530
A-6961,530
A-9503,526
A-2769,526
A-2242,525
A-7037,519
A-6945,519
A-2718,509
A-2203,507
A-1823,501
A-1960,495
A-646,492
A-7124,491
A-5929,484
A-6179,484
A-1206,482
A-5251,480
A-1313,479
A-1567,477
A-2798,477
A-5155,476
A-4028,471
A-3589,470
A-3575,469
A-1565,467
A-5165,467
A-5444,462
A-6000,462
A-3417,461
A-1469,459
A-9904,458
A-1304,453
A-2214,451
A-5242,441
A-5206,435
A-314,434
A-5163,433
A-3395,431
A-5144,430
A-1302,420
A-6098,419
A-1980,418
A-1273,416
A-1770,415
A-3890,415
A-5871,414
A-5140,413
A-8520,413
A-1068,412
A-989,405
A-8849,404
A-9729,400
A-1732,397
A-7053,397
A-9502,395
A-5164,394
A-3620,393
A-1132,393
A-5262,392
A-1663,390
A-3032,389
A-2484,388
A-1671,386
A-3996,384
A-3034,384
A-5180,383
A-5129,382
A-3807,382
A-5804,378
A-686,377
A-7822,376
A-2910,375
A-406,375
A-5221,371
A-2466,370
A-7216,368
A-8420,368
A-8407,367
A-5808,365
A-3982,364
A-717,364
A-7827,362
A-5426,359
A-6634,356
A-1227,356
A-69,353
A-5255,352
A-910,352
A-5435,349
A-5828,349
A-1672,349
A-3595,347
A-7061,347
A-757,346
A-8215,345
A-8472,343
A-1712,342
A-8635,340
A-10408,339
A-1825,338
