assignee_id,assignee_code
2bc7db84-b7b9-49cc-aefc-57de59be9942,A-1
7a24568e-50a6-4e38-999e-95b0cb96d082,A-2
4cce8164-80d0-475b-8302-f0bb978a4723,A-3
2cf046b2-443c-4e44-b5d0-47ecc3ab7621,A-4
8fe9ab06-4358-4db2-b48c-3dbf404ff2cf,A-5
1f6f1f80-5b69-403b-99aa-87ad97ce0644,A-6
c010a6e1-c968-4ebf-8c80-e15d3dbd01c8,A-7
79b3c16a-6873-4423-b51f-54196dd82c03,A-8
a3087774-bb03-480f-aaf7-e11efc6d9d16,A-9
218608dc-6a4a-4337-ae44-fc0da10ba50b,A-10
d020e56f-0f79-4e59-9f08-a176ab363571,A-11
a91f3ca6-0da4-437b-9da6-2046d841c069,A-12
cb87dbff-ebcf-4ef3-a503-16399de950be,A-13
fb31ecdf-6c1e-43ef-9061-e3703fe91dfb,A-14
9acca5a6-c2f9-4e47-8406-51f13f88a9e2,A-15
f5b7dbe3-4f06-458d-87c4-fbac26c7ca28,A-16
d4add2c0-da21-4d0e-8b04-2bfd429a0c63,A-17
fc7001aa-219e-418c-9db1-d4a3f04b5a84,A-18
3d2da92d-a5e7-400b-841a-aa8f4dd91989,A-19
dd6d23e8-86a5-44b1-aedd-417458d7ea5b,A-20
d866edd1-97bc-4d0d-84ca-f8150c13b3eb,A-21
ed89621d-87b8-4093-9ce8-08cbfab9efc8,A-22
3bd3145f-3147-4ab9-b3d2-3eeb0da0c45b,A-23
c3008e11-5feb-4082-91e8-2ff625806cb1,A-24
9e092cee-d208-4cf7-bcab-b7ebcdaa2e8b,A-25
88153d8b-55ef-4569-9e9d-a2b9b39e2976,A-26
401b57b7-3f5b-43fb-bdc8-f643ac437b0d,A-27
438b16f0-113b-4927-a2bc-2d0a34d1d3b2,A-28
061991a7-7806-409c-96cf-4d8cb46866e3,A-29
f67235cb-7da1-4ec7-aef3-63af4972d7ea,A-30
01f308db-2d5b-4192-b317-75dc06a90f15,A-31
a424dc42-d1d8-4cd1-b99a-e1f506433b96,A-32
2e2710bc-f6e2-4bcb-994c-a2f6bc31cf41,A-33
ae372624-bd35-4f93-915e-766a1ce96898,A-34
ea338ad6-878d-48df-b0e4-322cb79be06f,A-35
a60126fa-810a-447f-afb2-ef798c01c0d4,A-36
