assignee_code,Skill_Tag,issue_count,skill_level
A-1,Testing & Verification,30,5
A-1,Bug fixing / Maintenance,18,4
A-1,Feature / Improvement Implementation,9,3
A-1,Other,9,3
A-1,Project / General Task,4,2
A-1,Build & Release Engineering,3,2
A-1,Documentation,1,1
A-10,Other,13,4
A-10,Bug fixing / Maintenance,6,3
A-10,Feature / Improvement Implementation,6,3
A-10,Design & API Evolution,2,1
A-10,Documentation,2,1
A-10,Testing & Verification,2,1
A-10,Build & Release Engineering,1,1
A-10,Code Refactoring & Cleanup,1,1
A-10,Project / General Task,1,1
A-100,Bug fixing / Maintenance,3,2
A-1000,Testing & Verification,12,4
A-1000,Feature / Improvement Implementation,4,2
A-1000,Bug fixing / Maintenance,2,1
A-1000,Design & API Evolution,1,1
A-10000,Bug fixing / Maintenance,3,2
A-10000,Feature / Improvement Implementation,3,2
A-10000,Testing & Verification,1,1
A-10001,Feature / Improvement Implementation,1,1
A-10002,Feature / Improvement Implementation,3,2
A-10002,Bug fixing / Maintenance,2,1
A-10003,Testing & Verification,1,1
A-10004,Bug fixing / Maintenance,9,3
A-10004,Feature / Improvement Implementation,9,3
A-10004,Other,4,2
A-10004,Documentation,2,1
A-10004,Build & Release Engineering,1,1
A-10005,Testing & Verification,10,3
A-10005,Bug fixing / Maintenance,4,2
A-10005,Feature / Improvement Implementation,2,1
A-10005,Other,2,1
A-10005,Code Refactoring & Cleanup,1,1
A-10005,Project / General Task,1,1
A-10006,Project / General Task,5,2
A-10006,Feature / Improvement Implementation,1,1
A-10007,Feature / Improvement Implementation,1,1
A-10008,Feature / Improvement Implementation,1,1
A-10008,Testing & Verification,1,1
A-10009,Bug fixing / Maintenance,1,1
A-1001,Testing & Verification,1,1
A-10010,Bug fixing / Maintenance,8,3
A-10010,Testing & Verification,1,1
A-10011,Bug fixing / Maintenance,1,1
A-10012,Bug fixing / Maintenance,1,1
A-10012,Feature / Improvement Implementation,1,1
A-10013,Project / General Task,30,5
A-10013,Bug fixing / Maintenance,29,5
A-10013,Testing & Verification,19,4
A-10013,Other,13,4
A-10013,Feature / Improvement Implementation,3,2
A-10013,Build & Release Engineering,2,1
A-10013,Design & API Evolution,1,1
A-10013,Documentation,1,1
A-10014,Bug fixing / Maintenance,1,1
A-10015,Design & API Evolution,1,1
A-10016,Bug fixing / Maintenance,1,1
A-10016,Feature / Improvement Implementation,1,1
A-10017,Feature / Improvement Implementation,9,3
A-10017,Bug fixing / Maintenance,8,3
A-10017,Testing & Verification,3,2
A-10017,Design & API Evolution,2,1
A-10017,Documentation,1,1
A-10018,Bug fixing / Maintenance,4,2
A-10018,Feature / Improvement Implementation,2,1
A-10018,Project / General Task,2,1
A-10018,Build & Release Engineering,1,1
A-10018,Documentation,1,1
A-10018,Testing & Verification,1,1
A-10019,Bug fixing / Maintenance,2,1
A-10019,Feature / Improvement Implementation,1,1
A-1002,Feature / Improvement Implementation,4,2
A-1002,Bug fixing / Maintenance,1,1
A-10020,Bug fixing / Maintenance,1,1
A-10021,Feature / Improvement Implementation,1,1
A-10022,Bug fixing / Maintenance,7,3
A-10022,Other,3,2
A-10022,Feature / Improvement Implementation,2,1
A-10022,Design & API Evolution,1,1
A-10023,Bug fixing / Maintenance,1,1
A-10023,Feature / Improvement Implementation,1,1
A-10024,Bug fixing / Maintenance,1,1
A-10025,Bug fixing / Maintenance,39,5
A-10025,Project / General Task,21,5
A-10025,Feature / Improvement Implementation,8,3
A-10025,Testing & Verification,8,3
A-10025,Other,4,2
A-10025,Documentation,2,1
A-10025,Design & API Evolution,1,1
A-10025,Performance Optimization,1,1
A-10026,Bug fixing / Maintenance,1,1
A-10027,Feature / Improvement Implementation,1,1
A-10028,Feature / Improvement Implementation,1,1
A-10029,Bug fixing / Maintenance,5,2
A-10029,Build & Release Engineering,1,1
A-10029,Feature / Improvement Implementation,1,1
A-1003,Bug fixing / Maintenance,9,3
A-1003,Other,9,3
A-1003,Feature / Improvement Implementation,3,2
A-1003,Testing & Verification,3,2
A-1003,Documentation,2,1
A-10030,Feature / Improvement Implementation,1,1
A-10031,Bug fixing / Maintenance,1,1
A-10032,Project / General Task,1,1
A-10033,Project / General Task,1,1
A-10034,Project / General Task,10,3
A-10034,Bug fixing / Maintenance,4,2
A-10034,Testing & Verification,3,2
A-10034,Code Refactoring & Cleanup,1,1
A-10034,Feature / Improvement Implementation,1,1
A-10034,Other,1,1
A-10035,Bug fixing / Maintenance,1,1
A-10036,Bug fixing / Maintenance,1,1
A-10036,Feature / Improvement Implementation,1,1
A-10037,Feature / Improvement Implementation,1,1
A-10038,Bug fixing / Maintenance,1,1
A-10039,Feature / Improvement Implementation,3,2
A-10039,Bug fixing / Maintenance,2,1
A-10039,Testing & Verification,1,1
A-1004,Bug fixing / Maintenance,23,5
A-1004,Testing & Verification,9,3
A-1004,Feature / Improvement Implementation,4,2
A-1004,Performance Optimization,1,1
A-10040,Bug fixing / Maintenance,1,1
A-10041,Feature / Improvement Implementation,1,1
A-10042,Bug fixing / Maintenance,1,1
A-10042,Build & Release Engineering,1,1
A-10042,Feature / Improvement Implementation,1,1
A-10043,Bug fixing / Maintenance,30,5
A-10043,Feature / Improvement Implementation,11,4
A-10043,Project / General Task,5,2
A-10043,Other,4,2
A-10043,Design & API Evolution,3,2
A-10043,Documentation,2,1
A-10043,Testing & Verification,2,1
A-10043,Build & Release Engineering,1,1
A-10044,Feature / Improvement Implementation,3,2
A-10045,Bug fixing / Maintenance,2,1
A-10046,Bug fixing / Maintenance,1,1
A-10046,Testing & Verification,1,1
A-10047,Bug fixing / Maintenance,1,1
A-10048,Bug fixing / Maintenance,1,1
