Assignee,Task_Tag,task_count
A-1,Testing & Verification,30
A-1,Bug fixing / Maintenance,23
A-1,Build & Release Engineering,8
A-1,Feature / Improvement Implementation,7
A-1,Documentation,6
A-1,Project / General Task,5
A-1,Other,4
A-1,Design & API Evolution,1
A-10,Build & Release Engineering,14
A-10,Bug fixing / Maintenance,9
A-10,Documentation,5
A-10,Design & API Evolution,4
A-10,Feature / Improvement Implementation,3
A-10,Testing & Verification,3
A-10,Other,1
A-10,Performance Optimization,1
A-100,Bug fixing / Maintenance,4
A-1000,Feature / Improvement Implementation,3
A-1000,Other,3
A-1000,Code Refactoring & Cleanup,1
A-1000,Documentation,1
A-10000,Bug fixing / Maintenance,11
A-10000,Testing & Verification,7
A-10000,Feature / Improvement Implementation,5
A-10000,Design & API Evolution,2
A-10000,Build & Release Engineering,1
A-10001,Bug fixing / Maintenance,7
A-10001,Testing & Verification,5
A-10001,Other,2
A-10002,Documentation,1
A-10003,Feature / Improvement Implementation,1
A-10004,Testing & Verification,1
A-10005,Bug fixing / Maintenance,2
A-10005,Feature / Improvement Implementation,1
A-10006,Testing & Verification,1
A-10007,Bug fixing / Maintenance,2
A-10007,Project / General Task,1
A-10008,Bug fixing / Maintenance,1
A-10009,Bug fixing / Maintenance,2
A-1001,Other,1
A-10010,Bug fixing / Maintenance,3
A-10010,Feature / Improvement Implementation,2
A-10011,Testing & Verification,6
A-10011,Bug fixing / Maintenance,5
A-10011,Other,1
A-10012,Bug fixing / Maintenance,1
A-10013,Bug fixing / Maintenance,1
A-10014,Bug fixing / Maintenance,4
A-10015,Feature / Improvement Implementation,1
A-10016,Bug fixing / Maintenance,1
A-10016,Documentation,1
A-10017,Bug fixing / Maintenance,43
A-10017,Feature / Improvement Implementation,14
A-10017,Testing & Verification,12
A-10017,Other,8
A-10017,Performance Optimization,3
A-10017,Documentation,1
A-10018,Project / General Task,6
A-10018,Build & Release Engineering,1
A-10019,Feature / Improvement Implementation,4
A-10019,Bug fixing / Maintenance,1
A-10019,Build & Release Engineering,1
A-1002,Feature / Improvement Implementation,2
A-1002,Testing & Verification,2
A-1002,Bug fixing / Maintenance,1
A-1002,Documentation,1
A-10020,Bug fixing / Maintenance,2
A-10020,Design & API Evolution,1
A-10020,Feature / Improvement Implementation,1
A-10021,Bug fixing / Maintenance,1
A-10021,Testing & Verification,1
A-10022,Bug fixing / Maintenance,1
A-10023,Feature / Improvement Implementation,2
A-10023,Testing & Verification,1
A-10024,Bug fixing / Maintenance,28
A-10024,Feature / Improvement Implementation,9
A-10024,Build & Release Engineering,3
A-10024,Performance Optimization,2
A-10024,Testing & Verification,2
A-10024,Code Refactoring & Cleanup,1
A-10024,Project / General Task,1
A-10025,Bug fixing / Maintenance,8
A-10025,Feature / Improvement Implementation,3
A-10025,Project / General Task,1
A-10026,Bug fixing / Maintenance,18
A-10026,Feature / Improvement Implementation,5
A-10026,Design & API Evolution,2
A-10026,Testing & Verification,1
A-10027,Bug fixing / Maintenance,7
A-10028,Bug fixing / Maintenance,1
A-10029,Other,1
A-1003,Bug fixing / Maintenance,5
A-1003,Feature / Improvement Implementation,5
A-1003,Testing & Verification,5
A-1003,Documentation,3
A-1003,Design & API Evolution,2
A-1003,Project / General Task,2
A-1003,Build & Release Engineering,1
A-1003,Code Refactoring & Cleanup,1
A-1003,Other,1
A-10030,Bug fixing / Maintenance,1
A-10031,Bug fixing / Maintenance,50
A-10031,Testing & Verification,10
A-10031,Feature / Improvement Implementation,4
A-10031,Project / General Task,4
A-10031,Build & Release Engineering,2
A-10031,Documentation,2
A-10032,Feature / Improvement Implementation,2
