Task_ID,Project,Summary,Assignee,Priority,IssueType,Estimated_Seconds,Spent_Seconds,Created,ResolutionDate,Status,Depends_On,Task_Tag,Assignee_ID
MACR-53,MACR,Reproducible Builds: make entries in output jar files reproducible (order + timestamp),A-1659,Major,New Feature,,,2020-05-10T09:23:32.000+0000,2020-05-10T17:51:57.000+0000,Closed,,Build & Release Engineering,A-1659
MACR-52,MACR,make build Reproducible,A-1659,Major,Improvement,,,2020-04-07T21:26:22.000+0000,2020-05-10T09:23:04.000+0000,Closed,,Build & Release Engineering,A-1659
MACR-51,MACR,Add GitHub Informations,A-1661,Minor,Improvement,,,2019-12-19T20:51:03.000+0000,2019-12-19T21:06:20.000+0000,Closed,,Feature / Improvement Implementation,A-1661
MACR-50,MACR,Upgrade Maven Archive 3.5.0,A-1661,Minor,Dependency upgrade,,,2019-12-19T20:10:54.000+0000,2019-12-19T20:49:13.000+0000,Closed,,Other,A-1661
MACR-49,MACR,Upgrade plexus-archiver/maven-archiver/plexus-utils,A-1661,Minor,Dependency upgrade,,,2019-05-25T12:13:43.000+0000,2019-05-25T14:20:16.000+0000,Closed,,Other,A-1661
MACR-48,MACR,Upgrade maven-plugins parent to version 32,A-1661,Minor,Dependency upgrade,,,2018-07-21T13:59:14.000+0000,2018-07-21T14:02:17.000+0000,Closed,,Other,A-1661
MACR-47,MACR,TLS v1.2. configuration for maven-invoker-plugin in JDK 7,A-1661,Blocker,Task,,,2018-07-09T10:44:10.000+0000,2018-07-09T10:50:39.000+0000,Closed,,Build & Release Engineering,A-1661
MACR-46,MACR,Upgrade plexus-interpolation to 1.25,A-1661,Minor,Dependency upgrade,,,2018-06-03T13:57:09.000+0000,2018-06-03T14:14:19.000+0000,Closed,,Other,A-1661
MACR-45,MACR,Upgrade plexus-archiver to 3.6.0,A-1661,Blocker,Dependency upgrade,,,2018-05-13T17:49:01.000+0000,2018-06-03T13:56:14.000+0000,Closed,,Other,A-1661
MACR-44,MACR,Upgrade mave-surefire/failsafe-plugin 2.21.0,A-1661,Blocker,Bug,,,2018-04-18T17:08:06.000+0000,2018-04-18T17:19:58.000+0000,Closed,,Bug fixing / Maintenance,A-1661
MACR-43,MACR,Upgrade plexus-utils 3.1.0 / maven-archiver / plexus-achiver,A-1661,Minor,Dependency upgrade,,,2018-03-22T21:34:39.000+0000,2018-03-23T14:58:33.000+0000,Closed,,Other,A-1661
MACR-42,MACR,Upgrade parent to 31,A-1661,Minor,Dependency upgrade,,,2018-02-10T16:22:12.000+0000,2018-02-10T17:47:33.000+0000,Closed,,Other,A-1661
MACR-41,MACR,Upgrade of plexus-interpolation 1.24 to correct escaping issue.,A-1662,Major,Bug,,,2016-11-12T22:59:42.000+0000,2016-11-12T23:00:02.000+0000,Closed,,Bug fixing / Maintenance,A-1662
MACR-40,MACR,Upgrade of maven-archiver to 3.1.1.,A-1662,Trivial,Dependency upgrade,,,2016-06-18T14:12:21.000+0000,2016-06-18T14:12:50.000+0000,Closed,,Other,A-1662
MACR-39,MACR,Upgrade of plexus-archiver to 3.4.,A-1662,Major,Dependency upgrade,,,2016-06-18T12:29:23.000+0000,2016-06-18T12:30:22.000+0000,Closed,,Other,A-1662
MACR-38,MACR,Upgrade maven-archiver to 3.1.0,A-1661,Minor,Dependency upgrade,,,2016-06-08T18:29:18.000+0000,2016-06-08T18:30:46.000+0000,Closed,,Other,A-1661
MACR-37,MACR,Upgrade plexus-interpolation to 1.22,A-1661,Minor,Dependency upgrade,,,2016-06-03T21:56:25.000+0000,2016-06-03T21:57:21.000+0000,Closed,,Other,A-1661
MACR-36,MACR,Upgrade maven-filtering to 3.1.1,A-1661,Minor,Dependency upgrade,,,2016-06-03T21:54:47.000+0000,2016-06-03T21:55:57.000+0000,Closed,,Other,A-1661
MACR-35,MACR,Upgrade maven-archiver to 3.1.0,A-1661,Minor,Dependency upgrade,,,2016-06-03T21:54:04.000+0000,2016-07-17T10:06:31.000+0000,Closed,,Other,A-1661
MACR-34,MACR,Upgrade of 'plexus-archiver' to version 3.3.,A-1662,Trivial,Dependency upgrade,,,2016-05-29T15:24:03.000+0000,2016-05-29T15:25:00.000+0000,Closed,,Other,A-1662
MACR-33,MACR,Upgrade to maven-plugins version 30,A-1661,Minor,Dependency upgrade,,,2016-05-27T09:32:03.000+0000,2016-05-27T09:33:18.000+0000,Closed,,Other,A-1661
MACR-32,MACR,Dependency updates.,A-1662,Trivial,Dependency upgrade,,,2016-05-08T02:02:28.000+0000,2016-06-03T21:53:29.000+0000,Closed,,Other,A-1662
MACR-31,MACR,Upgrade plexus-archiver from 3.1 to 3.1.1 / maven-archiver from 3.0.0 to 3.0.2,A-1661,Minor,Dependency upgrade,,,2016-05-04T20:44:46.000+0000,2016-05-04T20:46:41.000+0000,Closed,,Other,A-1661
MACR-30,MACR,Add LifecycleMapping and ArtifactHandler from maven-core to target packaging plugin,A-1661,Major,Improvement,,,2016-04-24T10:56:08.000+0000,2016-04-30T12:46:27.000+0000,Closed,MNG-5697,Build & Release Engineering,A-1661
MACR-29,MACR,Upgrade plexus-archiver from 3.0.3 to 3.1,A-1661,Minor,Dependency upgrade,,,2016-04-03T11:41:24.000+0000,2016-04-03T11:42:01.000+0000,Closed,,Other,A-1661
MACR-28,MACR,Upgrade plexus-archiver from 3.0.1 to 3.0.3,A-1661,Critical,Dependency upgrade,,,2016-01-31T14:57:18.000+0000,2016-01-31T14:57:57.000+0000,Closed,,Other,A-1661
MACR-27,MACR,Bump version to 3.0.0-SNAPSHOT,A-1661,Minor,Improvement,,,2016-01-24T18:48:51.000+0000,2016-01-24T18:49:42.000+0000,Closed,,Feature / Improvement Implementation,A-1661
MACR-26,MACR,Update lifecycle mapping to newest plugin version.,A-1661,Minor,Improvement,,,2016-01-24T18:41:01.000+0000,2016-01-24T18:43:03.000+0000,Closed,,Feature / Improvement Implementation,A-1661
MACR-25,MACR,Rename properties according to the plugin name,A-1661,Minor,Improvement,,,2016-01-24T18:24:28.000+0000,2016-01-24T18:25:57.000+0000,Closed,,Feature / Improvement Implementation,A-1661
MACR-24,MACR,Change package to org.apache.maven.plugins to prevent conflict with Maven Core,A-1661,Major,Improvement,,,2015-11-26T22:01:23.000+0000,2016-01-24T18:46:59.000+0000,Closed,,Build & Release Engineering,A-1661
MACR-23,MACR,Upgrade Maven 3.X Only JDK 1.6,A-1661,Critical,Improvement,,,2015-11-26T21:59:13.000+0000,2015-11-26T22:02:49.000+0000,Closed,,Build & Release Engineering,A-1661
MACR-22,MACR,Remove unnecessary exclusions of org.codehaus.plexus:plexus-component-api,A-1661,Minor,Improvement,,,2014-12-06T15:02:54.000+0000,2014-12-06T15:04:36.000+0000,Closed,,Design & API Evolution,A-1661
