Project,Tasks
SPARK,37708
HIVE,32193
SOLR,21673
KAFKA,19550
HDFS,18682
INFRA,17772
NIFI,16578
IGNITE,16378
LUCENE,16146
SLING,15936
MESOS,14988
IMPALA,14349
OFBIZ,14218
MAPREDUCE,14094
YARN,13669
WICKET,12911
OAK,12636
QPID,12590
HDDS,12242
MNG,12092
KARAF,12005
THRIFT,10980
PDFBOX,10694
PIG,10676
WW,10186
NETBEANS,9648
PHOENIX,9211
ZOOKEEPER,8526
SM,8222
TUSCANY,8164
MYFACES,8108
UIMA,7700
STORM,7524
OOZIE,7292
JAMES,7222
RANGER,7134
SVN,7121
KYLIN,6766
TRAFODION,6674
JCR,6653
TEZ,6534
KUDU,6388
HUDI,6344
SYSTEMDS,6238
TIKA,5983
TS,5950
NUTCH,5818
OPENJPA,5792
SQOOP,5665
ZEPPELIN,5615
OPENMEETINGS,5436
TAP5,5392
KNOX,5388
TINKERPOP,5362
ISIS,5289
SENTRY,5128
TRINIDAD,5122
TAPESTRY,4998
TOMEE,4970
PROTON,4944
METRON,4698
SCB,4652
STR,4610
IOTDB,4530
JENA,4476
XERCESC,4460
TAJO,4366
ROL,4270
MAHOUT,4242
HTTPCLIENT,4232
TOBAGO,4182
REEF,4130
LOG4J2,4079
MRM,3986
OPENEJB,3952
SUREFIRE,3916
SAMZA,3880
HBASE,3858
SMX4,3810
XERCESJ,3450
TOMAHAWK,3366
STRATOS,3324
SYNCOPE,3300
LANG,3282
IVY,3246
JCLOUDS,3180
OLINGO,3104
MADLIB,2964
STANBOL,2946
LENS,2902
OWB,2786
JS2,2708
MINIFICPP,2686
USERGRID,2682
OPENNLP,2618
RAVE,2572
MATH,2546
SLIDER,2530
SSHD,2470
HOP,2359
SUBMARINE,2342
YETUS,2272
PARQUET,2272
XW,2256
VCL,2244
SYNAPSE,2240
ODE,2156
ORC,2150
SHINDIG,2132
TAVERNA,2126
STDCXX,2124
JSPWIKI,2100
MRELEASE,2090
LIBCLOUD,2090
OODT,2080
MXNET,2037
JUDDI,2024
YUNIKORN,1988
MSHARED,1982
SMXCOMP,1944
SCM,1916
XALANJ,1902
MASSEMBLY,1882
RATIS,1849
VELOCITY,1772
HELIX,1714
LIVY,1682
SHIRO,1676
XALANC,1626
INLONG,1600
JDO,1596
PLUTO,1584
MSITE,1558
IBATIS,1554
WHIRR,1508
MDEP,1500
IO,1488
MECLIPSE,1446
MNEMONIC,1422
NET,1400
MJAVADOC,1380
HTTPCORE,1374
WSS,1368
WEEX,1362
STREAMS,1360
MARMOTTA,1360
LOG4NET,1360
PIVOT,1321
LUCENENET,1298
HCATALOG,1298
NPANDAY,1268
WAGON,1188
XAP,1178
XMLBEANS,1168
LEGAL,1164
TILES,1156
JCRVLT,1154
JS1,1138
VFS,1137
TC,1106
QPIDJMS,1106
UNOMI,1080
RYA,1080
SIS,1062
LOGCXX,1060
TOREE,1056
SINGA,1056
SHALE,994
STREAMPIPES,978
NEMO,968
VALIDATOR,960
ODFTOOLKIT,958
NLPCRAFT,942
RIVER,934
MCOMPILER,924
WAVE,892
RAMPART,884
WINK,878
MWAR,866
WOOKIE,850
MNGSITE,842
MCHANGES,818
MAILBOX,814
MSHADE,812
MENFORCER,804
HTRACE,804
METAMODEL,800
MCHECKSTYLE,794
MPIR,770
ROCKETMQ,768
IVYDE,768
POOL,766
TORQUEOLD,756
WHIMSY,738
MPLUGIN,738
TORQUE,720
