Task_ID,Topo_Level,Summary,Task_Tag,Priority,Duration_Hours,Assigned_To,Start_Hour,End_Hour,Skill_Match
2075,1,Broken Link - Release Notes (PDF),Bug fixing / Maintenance,Trivial,1.6,A-343,0.0,13.2,1
2207,1,"""NoAuth"" error message is ambiguous",Feature / Improvement Implementation,Trivial,1.6,A-296,0.0,13.2,0
592,1,ResponderThread and udpSocket should be move from QuorumPeer to LeaderElection,Feature / Improvement Implementation,Trivial,1.6,A-73,0.0,13.2,1
746,1,http://zookeeper.apache.org/doc/trunk/api/ missing,Documentation,Trivial,1.6,A-291,0.0,13.2,1
97,1,Provide Javadoc as to the maximum size of the data byte array that may be stored within a znode,Documentation,Trivial,1.6,A-98,0.0,13.2,1
1030,1,Method to request all zookeepers in cluster,Feature / Improvement Implementation,Minor,2.0,A-58,0.0,13.2,1
1083,1,Consistent log severity level guards and statements,Feature / Improvement Implementation,Minor,2.0,A-276,0.0,13.2,1
1084,1,ZooInspector can't display node data/metadata/ACLs,Bug fixing / Maintenance,Minor,2.0,A-5,0.0,13.2,1
1097,1,Support clientID field on connection requests ,Design & API Evolution,Minor,2.0,A-58,0.0,13.2,1
1103,1,SaslAuthFailDesignatedClientTest.testAuth fails frequently on SUSE,Testing & Verification,Minor,2.0,A-98,0.0,13.2,0
1230,1,move legacy zookeeper jar to dist-maven,Build & Release Engineering,Minor,2.0,A-73,0.0,13.2,1
129,1,CreateMode api docs missing,Documentation,Minor,2.0,A-198,0.0,13.2,1
1454,1,/etc/zookeeper isn't used for ZOOCFGDIR,Bug fixing / Maintenance,Minor,2.0,A-343,0.0,13.2,1
1464,1,Inconsistent truncation logic and out of sync logging and comments in recovery code,Bug fixing / Maintenance,Minor,2.0,A-296,0.0,13.2,1
154,1,"handle errors when parsing config file, throw illegalargumentexception rather than exit()",Feature / Improvement Implementation,Minor,2.0,A-98,0.0,13.2,1
1549,1,ErrorMessage is not correct when set IP acl and try to set again from another machine,Bug fixing / Maintenance,Minor,2.0,A-343,0.0,13.2,1
1576,1,CheckVersion outside of Multi causes NullPointerException,Bug fixing / Maintenance,Minor,2.0,A-98,0.0,13.2,1
163,1,gcc warning from recordio.h,Bug fixing / Maintenance,Minor,2.0,A-291,0.0,13.2,0
1723,1,memory leak in zoo_amulti() function,Bug fixing / Maintenance,Minor,2.0,A-276,0.0,13.2,1
1843,1,Add a config parameter to control transaction log size,Feature / Improvement Implementation,Minor,2.0,A-343,0.0,13.2,1
