assignee_code,assignee_id,skills,skill_scores
A-1003,9ea943f2-30ca-4d24-8b71-317aab5fe966,Bug fixing / Maintenance;Build & Release Engineering;Code Refactoring & Cleanup;Design & API Evolution;Documentation;Feature / Improvement Implementation;Other;Project / General Task;Testing & Verification,5;1;1;2;3;5;1;2;5
A-1004,c847ef51-e893-4d33-9b3f-7e8c5c9635d8,Bug fixing / Maintenance;Build & Release Engineering;Code Refactoring & Cleanup;Design & API Evolution;Documentation;Feature / Improvement Implementation;Other;Performance Optimization;Testing & Verification,41;7;2;11;13;9;37;1;13
A-1012,8be53b87-5ecd-40dd-9b9e-c8ad8cf3ca74,Bug fixing / Maintenance;Build & Release Engineering;Feature / Improvement Implementation;Performance Optimization;Testing & Verification,37;1;9;1;10
A-1014,8fa960a2-37af-4d5b-8b1b-69f381497228,Bug fixing / Maintenance;Build & Release Engineering;Code Refactoring & Cleanup;Design & API Evolution;Documentation;Feature / Improvement Implementation;Other;Project / General Task;Testing & Verification,67;2;2;2;5;30;2;2;23
A-1020,3c36815f-8226-4e5a-8cf5-d42d218586c8,Bug fixing / Maintenance;Build & Release Engineering;Code Refactoring & Cleanup;Design & API Evolution;Documentation;Feature / Improvement Implementation;Other;Performance Optimization;Project / General Task;Testing & Verification,240;9;1;12;9;29;20;1;1;51
A-1023,fe640dc8-7595-4175-8e66-5d04af57684f,Bug fixing / Maintenance;Build & Release Engineering;Feature / Improvement Implementation;Other;Testing & Verification,8;1;3;1;2
A-1024,75babf81-dcbc-4c94-b093-9317ab12964f,Bug fixing / Maintenance;Build & Release Engineering;Design & API Evolution;Documentation;Feature / Improvement Implementation;Other;Performance Optimization;Testing & Verification,28;4;1;10;12;7;2;18
A-1026,0cf2cf3f-6fa8-42a6-8561-6233a7f4c439,Bug fixing / Maintenance;Build & Release Engineering;Code Refactoring & Cleanup;Design & API Evolution;Documentation;Feature / Improvement Implementation;Other;Performance Optimization;Project / General Task;Testing & Verification,163;11;6;17;13;22;58;9;5;54
A-1027,d8f2dda8-9024-48ea-9b2c-630136f4f4b7,Bug fixing / Maintenance;Build & Release Engineering;Design & API Evolution;Documentation;Feature / Improvement Implementation;Other;Performance Optimization;Testing & Verification,23;2;5;4;6;9;1;10
A-1028,b219be9e-96a6-432f-87ce-2bf0b4185a0f,Bug fixing / Maintenance;Build & Release Engineering;Design & API Evolution;Documentation;Feature / Improvement Implementation;Other;Performance Optimization;Testing & Verification,48;5;3;11;20;21;3;20
A-1029,1a1c8948-3b9d-40ee-83de-447aaef58986,Bug fixing / Maintenance;Build & Release Engineering;Code Refactoring & Cleanup;Design & API Evolution;Documentation;Feature / Improvement Implementation;Other;Performance Optimization;Project / General Task;Testing & Verification,85;11;3;22;5;21;136;1;8;28
A-1030,4474b3a6-0a40-4206-89de-8e5b42964d0c,Bug fixing / Maintenance;Documentation;Feature / Improvement Implementation;Other;Performance Optimization,1;1;2;1;1
A-1034,4563fabc-1fa0-4120-9922-1696abc92280,Bug fixing / Maintenance;Build & Release Engineering;Code Refactoring & Cleanup;Design & API Evolution;Documentation;Feature / Improvement Implementation;Other;Performance Optimization;Testing & Verification,117;13;8;29;12;18;80;1;30
A-1035,c7491960-ca34-489d-845d-1cdbf2ab66f0,Bug fixing / Maintenance;Build & Release Engineering;Code Refactoring & Cleanup;Design & API Evolution;Documentation;Feature / Improvement Implementation;Other;Performance Optimization;Project / General Task;Testing & Verification,12;18;1;2;2;7;21;2;1;3
A-1040,95406767-afdb-4dba-8b88-06a6f1257911,Bug fixing / Maintenance;Build & Release Engineering;Design & API Evolution;Documentation;Feature / Improvement Implementation;Other;Performance Optimization;Testing & Verification,24;1;3;4;17;10;1;8
A-1043,32439da3-f953-4973-83f5-ee35fc205e87,Build & Release Engineering;Feature / Improvement Implementation,1;1
A-1047,eb969b54-baf4-4f39-8ca9-40f23114f1fd,Bug fixing / Maintenance;Build & Release Engineering;Code Refactoring & Cleanup;Design & API Evolution;Documentation;Feature / Improvement Implementation;Other;Performance Optimization;Testing & Verification,41;7;6;2;14;32;10;3;30
A-1048,7315b984-f4cd-422e-aff9-86a7c533af85,Bug fixing / Maintenance;Build & Release Engineering;Code Refactoring & Cleanup;Design & API Evolution;Documentation;Feature / Improvement Implementation;Other;Performance Optimization;Project / General Task;Testing & Verification,28;4;8;3;13;14;4;3;2;11
A-1050,fa0fe5ba-cdab-4f43-8f4e-b8f116c18731,Bug fixing / Maintenance;Build & Release Engineering;Design & API Evolution;Feature / Improvement Implementation;Performance Optimization;Testing & Verification,2;2;2;4;15;1
A-1051,e1489738-67d4-4b66-825f-c5a9f1a49232,Bug fixing / Maintenance;Build & Release Engineering;Code Refactoring & Cleanup;Design & API Evolution;Documentation;Feature / Improvement Implementation;Other;Performance Optimization;Testing & Verification,30;6;3;2;15;15;24;5;15
A-1054,88b36df0-8510-424f-aab4-e2784016fdd8,Bug fixing / Maintenance;Build & Release Engineering;Code Refactoring & Cleanup;Design & API Evolution;Documentation;Feature / Improvement Implementation;Other;Performance Optimization;Testing & Verification,7;4;2;4;2;8;12;3;4
A-1062,dcda5211-f918-4f18-b602-cf64e01ddc9e,Bug fixing / Maintenance;Build & Release Engineering;Code Refactoring & Cleanup;Design & API Evolution;Documentation;Feature / Improvement Implementation;Other;Performance Optimization;Testing & Verification,82;9;6;9;9;34;39;4;35
A-1063,5e917249-d46c-4a11-8da4-f5cc2cb4f30f,Bug fixing / Maintenance;Build & Release Engineering;Code Refactoring & Cleanup;Design & API Evolution;Documentation;Feature / Improvement Implementation;Other;Performance Optimization;Testing & Verification,123;7;4;5;4;34;42;16;21
A-1064,ddc8a324-fcdd-4f07-a223-2b320db61e88,Bug fixing / Maintenance;Code Refactoring & Cleanup;Design & API Evolution;Documentation;Feature / Improvement Implementation;Other;Performance Optimization;Testing & Verification,141;3;2;4;33;9;1;17
A-1065,8113b7c0-46ab-4b28-91b0-a34f32213b54,Bug fixing / Maintenance;Build & Release Engineering;Code Refactoring & Cleanup;Design & API Evolution;Documentation;Feature / Improvement Implementation;Other;Performance Optimization;Project / General Task;Testing & Verification,66;13;3;12;5;29;41;2;1;32
A-1066,2af6c562-5e2d-4c30-a315-cb34d2037000,Bug fixing / Maintenance;Documentation;Feature / Improvement Implementation;Other;Testing & Verification,20;1;1;1;3
A-1068,8f290bc9-7dde-4ce8-b1bb-d6a754111ff2,Bug fixing / Maintenance;Build & Release Engineering;Design & API Evolution;Documentation;Feature / Improvement Implementation;Other;Performance Optimization,26;2;4;2;12;3;2
A-1070,9832e127-4c3f-4008-85cc-ba54c637442a,Bug fixing / Maintenance;Build & Release Engineering;Design & API Evolution;Documentation;Feature / Improvement Implementation;Performance Optimization;Project / General Task;Testing & Verification,9;1;1;5;3;1;1;1
A-1073,59fe80fb-7e72-4b8c-a225-5392a760b2ee,Bug fixing / Maintenance;Build & Release Engineering;Feature / Improvement Implementation;Performance Optimization;Testing & Verification,20;4;11;1;3
A-1078,c3711a09-6963-40e9-a6ed-454c0764c135,Bug fixing / Maintenance;Build & Release Engineering;Code Refactoring & Cleanup;Design & API Evolution;Documentation;Feature / Improvement Implementation;Other;Performance Optimization;Project / General Task;Testing & Verification,177;41;2;8;15;86;98;22;3;144
A-1081,005ed5ca-e0a4-4606-91a4-8d437618928d,Bug fixing / Maintenance;Documentation;Feature / Improvement Implementation;Testing & Verification,13;1;3;1
A-1083,05c3b16d-ae83-4a0f-9d66-af870d021639,Bug fixing / Maintenance;Design & API Evolution;Feature / Improvement Implementation;Other;Testing & Verification,13;4;7;3;3
A-1087,8b0dd3b2-c986-4135-a279-47aa261a7841,Bug fixing / Maintenance;Build & Release Engineering;Code Refactoring & Cleanup;Design & API Evolution;Documentation;Feature / Improvement Implementation;Other;Performance Optimization;Testing & Verification,33;6;2;5;4;23;2;1;11
A-1090,344a76c1-250b-43b0-919e-98b9730cc16c,Bug fixing / Maintenance;Build & Release Engineering;Code Refactoring & Cleanup;Design & API Evolution;Documentation;Feature / Improvement Implementation;Other;Performance Optimization;Testing & Verification,21;8;5;7;4;15;40;2;4
A-1091,71052b0a-5392-47d1-b710-cd4d4fcf280b,Bug fixing / Maintenance;Build & Release Engineering;Design & API Evolution;Documentation;Feature / Improvement Implementation;Other;Testing & Verification,18;1;1;3;14;2;3
A-1096,50edda30-287a-44ec-9de8-6c856cd7af33,Bug fixing / Maintenance;Testing & Verification,1;8
A-1098,4d66d467-092a-45ba-9887-e670a5af5fb8,Bug fixing / Maintenance;Build & Release Engineering;Code Refactoring & Cleanup;Design & API Evolution;Documentation;Feature / Improvement Implementation;Other;Performance Optimization;Testing & Verification,76;3;3;4;3;40;4;3;29
A-1101,b761d96d-1386-4786-b141-29aa2be6132f,Bug fixing / Maintenance;Build & Release Engineering;Code Refactoring & Cleanup;Design & API Evolution;Documentation;Feature / Improvement Implementation;Other;Performance Optimization;Testing & Verification,31;6;1;9;22;18;11;1;13
