Task_ID,Topo_Level,Batch_Index,Summary,Task_Tag,Priority,Duration_Hours,Assigned_To,Start_Hour,End_Hour,Skill_Match
29,0,1,Change org.apache.hadoop.examples. AggregateWordCount and  org.apache.hadoop.examples.AggregateWordHistogram to use new mapreduce api.,Design & API Evolution,Major,17.6,A-290,0.0,19.8,1
32,0,1,Change org.apache.hadoop.mapred.lib.KeyFieldBasedComparator and org.apache.hadoop.mapred.lib.KeyFieldBasedPartitioner to use new api,Design & API Evolution,Major,19.8,A-720,0.0,19.8,1
1000,1,1,correct example code in /api/org/apache/hadoop/util/Tool.html,Design & API Evolution,Trivial,1.6,A-139,19.8,21.8,1
1003,1,1,Hadoop Streaming JAR location might be updated,Build & Release Engineering,Trivial,1.6,A-1279,19.8,21.8,0
1010,1,1,Job ACL file should not be executable,Bug fixing / Maintenance,Trivial,1.6,A-8319,19.8,21.8,0
1019,1,1,ASF mapreduce,Other,Trivial,1.6,A-858,19.8,21.8,1
1024,1,1,Fix references to misspelled message name getProtocolSigature,Documentation,Trivial,1.6,A-8300,19.8,21.8,0
1047,1,1,Update BlockPlacementPolicyRaid,Feature / Improvement Implementation,Trivial,1.6,A-2504,19.8,21.8,1
1048,1,1,Spelling errors in log messages (MapTask),Bug fixing / Maintenance,Trivial,1.6,A-1257,19.8,21.8,1
105,1,1,Update ignore list,Bug fixing / Maintenance,Trivial,1.6,A-8260,19.8,21.8,1
1100,1,1,Monitoring the job tracker ui of hadoop using other open source monitoring tools like Nagios,Feature / Improvement Implementation,Trivial,1.6,A-940,19.8,21.8,1
1101,1,1,Make TestFairSchedulerSystem fail with more verbose output,Testing & Verification,Trivial,1.6,A-720,19.8,21.8,1
1118,1,1,Log the reason string of healthcheck script,Bug fixing / Maintenance,Trivial,1.6,A-8433,19.8,21.8,1
1122,1,1,"Show the reducer taskid and map/reduce tasktrackers for ""Failed fetch notification #_ for task attempt..."" log messages",Feature / Improvement Implementation,Trivial,1.6,A-8374,19.8,21.8,0
