from_issue_key,to_issue_key,link_type,raw_link_type,direction,from_summary,to_summary,same_group,same_component,same_release
MAPREDUCE-6050,MAPREDUCE-6932,is blocked by,Blocker,inward,Upgrade JUnit3 TestCase to JUnit 4,Upgrade JUnit from 4 to 5 in hadoop-mapreduce,0,0,0
MAPREDUCE-6691,MAPREDUCE-6699,is blocked by,Blocker,inward,move the shell code out of hadoop-mapreduce-project,hadoop-mapred unit tests for dynamic commands,0,0,0
MAPREDUCE-6691,MAPREDUCE-6699,blocks,Blocker,outward,move the shell code out of hadoop-mapreduce-project,hadoop-mapred unit tests for dynamic commands,0,0,0
MAPREDUCE-6458,MAPREDUCE-6504,is blocked by,Blocker,inward,"Figure out the way to pass build-in classpath (files in distributed cache, etc.) from parent to spawned shells",take HADOOP_CLASSPATH off of the appendable list for trunk,0,0,0
MAPREDUCE-6458,MAPREDUCE-6504,blocks,Blocker,outward,"Figure out the way to pass build-in classpath (files in distributed cache, etc.) from parent to spawned shells",take HADOOP_CLASSPATH off of the appendable list for trunk,0,0,0
MAPREDUCE-6388,MAPREDUCE-6376,blocks,Blocker,outward,Remove deprecation warnings from JobHistoryServer classes,Add avro binary support for jhist files,0,0,0
MAPREDUCE-6388,MAPREDUCE-6376,is blocked by,Blocker,inward,Remove deprecation warnings from JobHistoryServer classes,Add avro binary support for jhist files,0,0,0
MAPREDUCE-6192,MAPREDUCE-6358,is blocked by,Blocker,inward,Create unit test to automatically compare MR related classes and mapred-default.xml,Document missing properties in mapred-default.xml,0,0,0
MAPREDUCE-6189,MAPREDUCE-6327,is blocked by,Blocker,inward,TestMRTimelineEventHandling fails in trunk,[Event producers] Implement MapReduce AM writing MR events/counters to v2 ATS,0,0,0
MAPREDUCE-6316,MAPREDUCE-6319,is blocked by,Blocker,inward,Task Attempt List entries should link to the task overview,Get rid of the usage of parseHadoopAttemptID in HsTaskPage for consistency,0,0,0
MAPREDUCE-6316,MAPREDUCE-6319,blocks,Blocker,outward,Task Attempt List entries should link to the task overview,Get rid of the usage of parseHadoopAttemptID in HsTaskPage for consistency,0,0,0
MAPREDUCE-6288,MAPREDUCE-6271,blocks,Blocker,outward,mapred job -status fails with AccessControlException ,org.apache.hadoop.mapreduce.Cluster GetJob() display warn log,0,0,0
