issue_key,summary,group_key,group_domain,group_release,group_worktype,group_priority,group_has_pr,dev_has_activity,indegree,outdegree,component_id,is_root,is_leaf
MAPREDUCE-1,Hadoop  mapreduce should always ship the jar file(s) specified by the user,,,,,,,,0,0,1238,1,1
MAPREDUCE-10,NPE in SocketChannelOutputStream during large sort benchmark,,,,,,,,0,0,929,1,1
MAPREDUCE-100,Sporadic TestEmptyJobWithDFS failure due to NPE is JobTracker.submitJob(),,,,,,,,0,0,162,1,1
MAPREDUCE-1000,JobHistory.initDone() should retain the try ... catch in the body,,,,,,,,0,0,369,1,1
MAPREDUCE-1001,Reducing code duplication in Mumak,,,,,,,,0,0,650,1,1
MAPREDUCE-1002,"After MAPREDUCE-862, command line queue-list doesn't print any queues",,,,,,,,0,0,2634,1,1
MAPREDUCE-1003,trunk build fails when -Declipse.home is set,,,,,,,,0,0,4149,1,1
MAPREDUCE-1004,ant binary does not  copy the jar files properly,,,,,,,,0,0,5712,1,1
MAPREDUCE-1005,why should not capacity sheduler jar not copied under lib during build,,,,,,,,0,0,2535,1,1
MAPREDUCE-1006,Making JobStoryProducer and ClusterStory pluggable in Mumak,,,,,,,,0,0,1255,1,1
MAPREDUCE-1007,MAPREDUCE-777 breaks the UI for hierarchial Queues. ,,,,,,,,0,2,3507,1,0
MAPREDUCE-1008,distcp needs CLI unit tests,,,,,,,,0,0,1251,1,1
MAPREDUCE-1009,Forrest documentation needs to be updated to describes features provided for supporting hierarchical queues,,,,,,,,0,0,3986,1,1
MAPREDUCE-101,Deserialize interface to support mechanism for supporting progress method in RecordReader,,,,,,,,0,0,6512,1,1
MAPREDUCE-1010,Adding tests for changes in archives.,,,,,,,,0,0,3203,1,1
MAPREDUCE-1011,Git and Subversion ignore of build.properties,,,,,,,,0,0,2315,1,1
MAPREDUCE-1012,Context interfaces should be Public Evolving,,,,,,,,0,0,455,1,1
MAPREDUCE-1013, MapReduce Project page does not show 0.20.1 documentation/release information.,,,,,,,,0,0,6308,1,1
MAPREDUCE-1014,"After the 0.21 branch, MapReduce trunk doesn't compile",,,,,,,,0,0,4061,1,1
MAPREDUCE-1015,Map-Reduce interface classification,,,,,,,,0,0,2300,1,1
MAPREDUCE-1016,Make the format of the Job History be JSON instead of Avro binary,,,,,,,,0,4,767,1,0
MAPREDUCE-1017,Compression and output splitting for Sqoop,,,,,,,,0,0,4501,1,1
MAPREDUCE-1018,Document changes to the memory management and scheduling model,,,,,,,,0,0,1313,1,1
MAPREDUCE-1019,Stale user directories left on TTs after MAPREDUCE-856,,,,,,,,0,0,610,1,1
MAPREDUCE-102,NPE in tracker expiry thread.,,,,,,,,0,0,5795,1,1
MAPREDUCE-1020,Add more unit tests to test the queue refresh feature MAPREDUCE-893,,,,,,,,0,0,2364,1,1
MAPREDUCE-1021,mapred-default.xml does not document all framework config parameters,,,,,,,,0,0,285,1,1
MAPREDUCE-1022,Trunk tests fail because of test-failure in Vertica,,,,,,,,0,0,1634,1,1
MAPREDUCE-1023,Newly introduced findBugs warnings should be suppressed,,,,,,,,0,0,4543,1,1
MAPREDUCE-1024,Provide proper test cases to test the CLI of hierarchical queues,,,,,,,,0,0,4571,1,1
MAPREDUCE-1025,Subprocesses of tasks should be killed even if mapred.userlog.limit.kb is set to a positive value when setsid is used for launching tasks,,,,,,,,2,0,1712,0,1
MAPREDUCE-1026,Shuffle should be secure,,,,,,,,0,0,2674,1,1
MAPREDUCE-1027,jobtracker.jsp can have an html text block for announcements by admins.,,,,,,,,0,0,534,1,1
MAPREDUCE-1028,"Cleanup tasks are scheduled using high memory configuration, leaving tasks in unassigned state.",,,,,,,,0,0,2807,1,1
MAPREDUCE-1029,TestCopyFiles fails on testHftpAccessControl(),,,,,,,,0,0,6723,1,1
MAPREDUCE-103,The TaskTracker's shell environment should not be passed to the children.,,,,,,,,0,0,5097,1,1
