from_issue_key,to_issue_key,link_type,raw_link_type,direction
MAPREDUCE-7368,HIVE-25717,relates to,Reference,outward
MAPREDUCE-7368,MAPREDUCE-2548,supercedes,Supercedes,outward
MAPREDUCE-7366,MAPREDUCE-7331,duplicates,Duplicate,outward
MAPREDUCE-7341,MAPREDUCE-7366,is superceded by,Supercedes,inward
MAPREDUCE-7352,YARN-9817,duplicates,Duplicate,outward
HADOOP-17098,MAPREDUCE-7350,is part of,Incorporates,inward
HADOOP-17152,MAPREDUCE-7350,is related to,Reference,inward
HADOOP-17683,MAPREDUCE-7348,is broken by,Regression,inward
HADOOP-17979,MAPREDUCE-7341,is blocked by,Blocker,inward
MAPREDUCE-7341,HADOOP-17976,contains,Container,outward
MAPREDUCE-7341,HADOOP-16204,incorporates,Incorporates,outward
MAPREDUCE-7341,MAPREDUCE-7331,relates to,Reference,outward
HADOOP-17691,MAPREDUCE-7341,is related to,Reference,inward
HADOOP-17502,MAPREDUCE-7341,is related to,Reference,inward
HADOOP-17981,MAPREDUCE-7341,is related to,Reference,inward
MAPREDUCE-7341,HADOOP-17274,supercedes,Supercedes,outward
MAPREDUCE-7341,MAPREDUCE-7282,supercedes,Supercedes,outward
MAPREDUCE-7341,MAPREDUCE-7300,supercedes,Supercedes,outward
MAPREDUCE-7341,MAPREDUCE-7366,supercedes,Supercedes,outward
MAPREDUCE-7341,HADOOP-17906,Testing discovered,Testing,outward
HADOOP-17833,MAPREDUCE-7341,is depended upon by,dependent,inward
HADOOP-17133,MAPREDUCE-7334,is broken by,Regression,inward
MAPREDUCE-7366,MAPREDUCE-7331,is duplicated by,Duplicate,inward
MAPREDUCE-7341,MAPREDUCE-7331,is related to,Reference,inward
MAPREDUCE-7322,MAPREDUCE-7325,is related to,Reference,inward
HADOOP-16747,MAPREDUCE-7323,is a child of,Child-Issue,inward
MAPREDUCE-7322,MAPREDUCE-7321,fixes,Completes,outward
MAPREDUCE-7322,MAPREDUCE-7325,relates to,Reference,outward
MAPREDUCE-7320,MAPREDUCE-7321,is fixed by,Completes,inward
MAPREDUCE-7322,MAPREDUCE-7321,is fixed by,Completes,inward
MAPREDUCE-7320,MAPREDUCE-7321,fixes,Completes,outward
HADOOP-16830,MAPREDUCE-7315,is a child of,Child-Issue,inward
HADOOP-16264,MAPREDUCE-7305,is a child of,Child-Issue,inward
HADOOP-16878,MAPREDUCE-7303,is broken by,Regression,inward
MAPREDUCE-7302,HADOOP-17316,relates to,Reference,outward
YARN-10460,MAPREDUCE-7302,is related to,Reference,inward
MAPREDUCE-7300,MAPREDUCE-7282,relates to,Reference,outward
SPARK-33019,MAPREDUCE-7300,is related to,Reference,inward
MAPREDUCE-7341,MAPREDUCE-7300,is superceded by,Supercedes,inward
MAPREDUCE-7294,MAPREDUCE-6824,relates to,Reference,outward
MAPREDUCE-7287,HADOOP-17122,relates to,Reference,outward
HADOOP-17095,MAPREDUCE-7286,is a child of,Child-Issue,inward
MAPREDUCE-7286,MAPREDUCE-6881,depends upon,dependent,outward
MAPREDUCE-7281,MAPREDUCE-7285,is related to,Reference,inward
HDFS-15450,MAPREDUCE-7284,is broken by,Regression,inward
SPARK-33019,MAPREDUCE-7282,is related to,Reference,inward
MAPREDUCE-7300,MAPREDUCE-7282,is related to,Reference,inward
MAPREDUCE-7341,MAPREDUCE-7282,is superceded by,Supercedes,inward
MAPREDUCE-7281,MAPREDUCE-7285,relates to,Reference,outward
MAPREDUCE-7280,HBASE-24521,blocks,Blocker,outward
MAPREDUCE-6485,MAPREDUCE-7278,is caused by,Problem/Incident,inward
MAPREDUCE-7274,MAPREDUCE-5583,relates to,Reference,outward
YARN-9879,MAPREDUCE-7269,is broken by,Regression,inward
MAPREDUCE-7237,MAPREDUCE-7268,is broken by,Regression,inward
MAPREDUCE-7185,MAPREDUCE-7267,is related to,Reference,inward
MAPREDUCE-7240,MAPREDUCE-7264,is related to,Reference,inward
MAPREDUCE-7249,MAPREDUCE-7264,is related to,Reference,inward
YARN-1469,MAPREDUCE-7264,is related to,Reference,inward
MAPREDUCE-7260,YARN-10029,blocks,Blocker,outward
MAPREDUCE-7257,MAPREDUCE-7256,duplicates,Duplicate,outward
MAPREDUCE-7252,MAPREDUCE-7257,is broken by,Regression,inward
MAPREDUCE-7257,MAPREDUCE-7256,is duplicated by,Duplicate,inward
MAPREDUCE-7208,MAPREDUCE-7252,is a child of,Child-Issue,inward
MAPREDUCE-7252,MAPREDUCE-7257,breaks,Regression,outward
MAPREDUCE-7249,MAPREDUCE-7264,relates to,Reference,outward
MAPREDUCE-7240,MAPREDUCE-7249,is related to,Reference,inward
MAPREDUCE-7240,MAPREDUCE-7249,relates to,Reference,outward
MAPREDUCE-7240,MAPREDUCE-7264,relates to,Reference,outward
MAPREDUCE-6197,MAPREDUCE-7237,is related to,Reference,inward
MAPREDUCE-7237,MAPREDUCE-7268,breaks,Regression,outward
MAPREDUCE-6415,MAPREDUCE-7236,is related to,Reference,inward
MAPREDUCE-6415,MAPREDUCE-7235,is related to,Reference,inward
MAPREDUCE-7231,MAPREDUCE-7099,duplicates,Duplicate,outward
YARN-9451,MAPREDUCE-7230,is caused by,Problem/Incident,inward
HADOOP-12747,MAPREDUCE-7225,is caused by,Problem/Incident,inward
MAPREDUCE-7208,MAPREDUCE-7252,is a parent of,Child-Issue,outward
MAPREDUCE-7208,TEZ-4106,relates to,Reference,outward
MAPREDUCE-7207,MAPREDUCE-7010,relates to,Reference,outward
MAPREDUCE-7205,YARN-4597,relates to,Reference,outward
MAPREDUCE-7201,MAPREDUCE-7010,relates to,Reference,outward
MAPREDUCE-6190,MAPREDUCE-7198,is broken by,Regression,inward
MAPREDUCE-6740,MAPREDUCE-7195,is caused by,Problem/Incident,inward
MAPREDUCE-7194,MAPREDUCE-7193,supercedes,Supercedes,outward
MAPREDUCE-7194,MAPREDUCE-7193,is superceded by,Supercedes,inward
MAPREDUCE-7186,MAPREDUCE-7056,duplicates,Duplicate,outward
MAPREDUCE-7185,MAPREDUCE-7267,relates to,Reference,outward
HADOOP-16107,MAPREDUCE-7184,is caused by,Problem/Incident,inward
HADOOP-15229,MAPREDUCE-7184,is caused by,Problem/Incident,inward
MAPREDUCE-7184,HADOOP-14394,relates to,Reference,outward
MAPREDUCE-7184,HADOOP-14397,relates to,Reference,outward
MAPREDUCE-7182,HADOOP-15364,depends upon,dependent,outward
MAPREDUCE-7182,HADOOP-15229,depends upon,dependent,outward
HADOOP-13887,MAPREDUCE-7182,is depended upon by,dependent,inward
HADOOP-16829,MAPREDUCE-7182,is depended upon by,dependent,inward
MAPREDUCE-7181,YARN-3488,requires,Required,outward
MAPREDUCE-7180,YARN-9347,relates to,Reference,outward
YARN-9260,MAPREDUCE-7180,is related to,Reference,inward
YARN-1197,MAPREDUCE-7180,is related to,Reference,inward
MAPREDUCE-7179,MAPREDUCE-6762,relates to,Reference,outward
MAPREDUCE-7179,MAPREDUCE-6852,relates to,Reference,outward
MAPREDUCE-7179,MAPREDUCE-6566,relates to,Reference,outward
MAPREDUCE-7125,MAPREDUCE-7175,is duplicated by,Duplicate,inward
MAPREDUCE-7175,MAPREDUCE-6052,relates to,Reference,outward
MAPREDUCE-6719,MAPREDUCE-7172,is caused by,Problem/Incident,inward
YARN-8223,MAPREDUCE-7170,is broken by,Regression,inward
MAPREDUCE-7169,MAPREDUCE-6066,duplicates,Duplicate,outward
YARN-9835,MAPREDUCE-7165,is duplicated by,Duplicate,inward
YARN-9555,MAPREDUCE-7165,is duplicated by,Duplicate,inward
MAPREDUCE-7061,MAPREDUCE-7165,is broken by,Regression,inward
HADOOP-15961,MAPREDUCE-7164,is related to,Reference,inward
MAPREDUCE-7158,MAPREDUCE-7162,is broken by,Regression,inward
MAPREDUCE-7159,MAPREDUCE-7033,relates to,Reference,outward
MAPREDUCE-7158,MAPREDUCE-7162,breaks,Regression,outward
HADOOP-15836,MAPREDUCE-7155,is caused by,Problem/Incident,inward
MAPREDUCE-7154,HADOOP-14556,relates to,Reference,outward
HADOOP-15862,MAPREDUCE-7154,is related to,Reference,inward
MAPREDUCE-6515,MAPREDUCE-7151,is related to,Reference,inward
HADOOP-14556,MAPREDUCE-7149,is related to,Reference,inward
MAPREDUCE-7148,TEZ-4110,relates to,Reference,outward
MAPREDUCE-7142,HADOOP-11123,blocks,Blocker,outward
HADOOP-15775,MAPREDUCE-7142,is superceded by,Supercedes,inward
HADOOP-15909,MAPREDUCE-7141,is related to,Reference,inward
MAPREDUCE-7140,MAPREDUCE-7133,relates to,Reference,outward
MAPREDUCE-6178,MAPREDUCE-7137,is duplicated by,Duplicate,inward
HADOOP-15738,MAPREDUCE-7137,is duplicated by,Duplicate,inward
MAPREDUCE-6440,MAPREDUCE-7133,is duplicated by,Duplicate,inward
MAPREDUCE-7140,MAPREDUCE-7133,is related to,Reference,inward
MAPREDUCE-7131,MAPREDUCE-7015,relates to,Reference,outward
MAPREDUCE-7125,MAPREDUCE-7175,duplicates,Duplicate,outward
MAPREDUCE-4503,MAPREDUCE-7118,is caused by,Problem/Incident,inward
MAPREDUCE-7118,MAPREDUCE-4549,relates to,Reference,outward
HADOOP-15475,MAPREDUCE-7111,is related to,Reference,inward
MAPREDUCE-7109,MAPREDUCE-5817,relates to,Reference,outward
HADOOP-15475,MAPREDUCE-7108,is related to,Reference,inward
HADOOP-15475,MAPREDUCE-7105,is related to,Reference,inward
MAPREDUCE-7104,MAPREDUCE-7103,duplicates,Duplicate,outward
MAPREDUCE-7104,HADOOP-15475,relates to,Reference,outward
MAPREDUCE-7104,MAPREDUCE-7103,is duplicated by,Duplicate,inward
HADOOP-15475,MAPREDUCE-7103,is related to,Reference,inward
HADOOP-15475,MAPREDUCE-7102,is related to,Reference,inward
MAPREDUCE-7101,MAPREDUCE-6251,relates to,Reference,outward
MAPREDUCE-7101,MAPREDUCE-6680,relates to,Reference,outward
MAPREDUCE-7100,YARN-9276,relates to,Reference,outward
MAPREDUCE-7231,MAPREDUCE-7099,is duplicated by,Duplicate,inward
MAPREDUCE-7079,MAPREDUCE-7099,is caused by,Problem/Incident,inward
HADOOP-16058,MAPREDUCE-7099,is depended upon by,dependent,inward
HADOOP-10783,MAPREDUCE-7098,is part of,Incorporates,inward
MAPREDUCE-7097,YARN-7157,relates to,Reference,outward
HADOOP-16058,MAPREDUCE-7092,Is contained by,Container,inward
HADOOP-16058,MAPREDUCE-7092,is part of,Incorporates,inward
MAPREDUCE-7092,MAPREDUCE-5907,relates to,Reference,outward
HADOOP-15620,MAPREDUCE-7092,is depended upon by,dependent,inward
HADOOP-16058,MAPREDUCE-7091,Is contained by,Container,inward
HADOOP-16153,MAPREDUCE-7091,is duplicated by,Duplicate,inward
HADOOP-16058,MAPREDUCE-7091,is part of,Incorporates,inward
HADOOP-16058,MAPREDUCE-7090,Is contained by,Container,inward
HADOOP-16058,MAPREDUCE-7090,is part of,Incorporates,inward
MAPREDUCE-7086,HIVE-19258,blocks,Blocker,outward
HIVE-23072,MAPREDUCE-7086,is related to,Reference,inward
MAPREDUCE-7080,MAPREDUCE-7081,is duplicated by,Duplicate,inward
