issue_key,jira_id,task_id
MAPREDUCE-557,12389352,1
MAPREDUCE-558,12389843,2
MAPREDUCE-559,12400046,3
MAPREDUCE-560,12401745,4
MAPREDUCE-1203,12405616,5
MAPREDUCE-381,12410252,6
MAPREDUCE-382,12411289,7
MAPREDUCE-640,12411324,8
MAPREDUCE-502,12411564,9
MAPREDUCE-226,12412950,10
MAPREDUCE-117,12413358,11
MAPREDUCE-540,12414195,12
MAPREDUCE-554,12414203,13
MAPREDUCE-549,12414793,14
MAPREDUCE-542,12415140,15
MAPREDUCE-335,12415251,16
MAPREDUCE-77,12415715,17
MAPREDUCE-541,12416069,18
MAPREDUCE-211,12416755,19
MAPREDUCE-716,12416794,20
MAPREDUCE-465,12427706,20
MAPREDUCE-67,12416831,21
MAPREDUCE-945,12417270,22
MAPREDUCE-545,12419311,23
MAPREDUCE-550,12419366,24
MAPREDUCE-144,12419381,25
MAPREDUCE-438,12421806,26
MAPREDUCE-487,12421912,27
MAPREDUCE-789,12431169,27
MAPREDUCE-1460,12455373,27
MAPREDUCE-553,12422678,28
MAPREDUCE-355,12422771,29
MAPREDUCE-366,12422772,29
MAPREDUCE-367,12422842,29
MAPREDUCE-356,12422860,29
MAPREDUCE-357,12422865,29
MAPREDUCE-358,12422978,29
MAPREDUCE-359,12422981,29
MAPREDUCE-360,12423105,29
MAPREDUCE-478,12422943,30
MAPREDUCE-12,12422961,31
MAPREDUCE-362,12423107,32
MAPREDUCE-363,12423108,32
MAPREDUCE-364,12423110,32
MAPREDUCE-365,12423111,32
MAPREDUCE-368,12426644,32
MAPREDUCE-369,12427701,32
MAPREDUCE-370,12427702,32
MAPREDUCE-371,12427703,32
MAPREDUCE-373,12427705,32
MAPREDUCE-639,12423431,33
MAPREDUCE-196,12423445,34
MAPREDUCE-565,12423910,35
MAPREDUCE-87,12424124,36
MAPREDUCE-624,12424498,37
MAPREDUCE-153,12424634,38
MAPREDUCE-52,12424686,39
MAPREDUCE-18,12424893,40
MAPREDUCE-463,12424895,41
MAPREDUCE-2206,12491611,41
MAPREDUCE-336,12424896,42
MAPREDUCE-5408,12659266,42
MAPREDUCE-284,12424903,43
MAPREDUCE-353,12424905,44
MAPREDUCE-179,12425126,45
MAPREDUCE-511,12425189,46
MAPREDUCE-530,12425196,47
MAPREDUCE-637,12425350,48
MAPREDUCE-642,12425400,49
MAPREDUCE-285,12425423,50
MAPREDUCE-268,12425425,51
MAPREDUCE-157,12425481,52
MAPREDUCE-198,12425567,53
MAPREDUCE-333,12425798,54
MAPREDUCE-567,12426309,55
MAPREDUCE-40,12426416,56
MAPREDUCE-675,12426510,57
MAPREDUCE-11,12426539,58
MAPREDUCE-467,12426555,59
MAPREDUCE-676,12426831,60
MAPREDUCE-136,12426968,61
MAPREDUCE-516,12426991,62
MAPREDUCE-532,12427077,63
MAPREDUCE-672,12427080,64
MAPREDUCE-628,12427087,65
MAPREDUCE-631,12427091,65
MAPREDUCE-110,12427090,66
MAPREDUCE-632,12427177,67
MAPREDUCE-625,12427422,68
MAPREDUCE-627,12427427,68
MAPREDUCE-626,12427514,68
MAPREDUCE-416,12427425,69
MAPREDUCE-130,12427426,70
MAPREDUCE-2714,12514754,70
MAPREDUCE-947,12427497,71
