from_task_id,to_task_id,edge_count,link_types,example_from_issue,example_to_issue
1092,1094,2,blocks;is blocked by,MAPREDUCE-2413,MAPREDUCE-2415
1114,1046,2,blocks;is blocked by,MAPREDUCE-2445,MAPREDUCE-2327
120,88,2,blocks;is blocked by,MAPREDUCE-694,MAPREDUCE-522
1272,1270,2,blocks;is blocked by,MAPREDUCE-2677,MAPREDUCE-2675
1292,1270,2,blocks;is blocked by,MAPREDUCE-2701,MAPREDUCE-2675
1303,1308,2,blocks;is blocked by,MAPREDUCE-2716,MAPREDUCE-2726
1344,1676,2,blocks;is blocked by,MAPREDUCE-2775,MAPREDUCE-3270
1357,1503,2,blocks;is blocked by,MAPREDUCE-2792,MAPREDUCE-3013
1367,1293,2,blocks;is blocked by,MAPREDUCE-2807,MAPREDUCE-2708
1399,1316,2,blocks;is blocked by,MAPREDUCE-2880,MAPREDUCE-2736
1405,1404,6,blocks;is blocked by,MAPREDUCE-2898,MAPREDUCE-2889
143,82,2,blocks;is blocked by,MAPREDUCE-735,MAPREDUCE-2
1442,1455,2,blocks;is blocked by,MAPREDUCE-2937,MAPREDUCE-2952
1444,523,2,blocks;is blocked by,MAPREDUCE-2939,MAPREDUCE-2940
1482,1322,2,blocks;is blocked by,MAPREDUCE-2988,MAPREDUCE-2747
1495,1634,2,blocks;is blocked by,MAPREDUCE-3003,MAPREDUCE-3199
1522,1318,2,blocks;is blocked by,MAPREDUCE-3036,MAPREDUCE-2738
1532,1318,2,blocks;is blocked by,MAPREDUCE-3050,MAPREDUCE-2738
1532,1354,2,blocks;is blocked by,MAPREDUCE-3050,MAPREDUCE-2789
1532,1355,2,blocks;is blocked by,MAPREDUCE-3050,MAPREDUCE-2790
154,140,2,blocks;is blocked by,MAPREDUCE-751,MAPREDUCE-728
154,168,2,blocks;is blocked by,MAPREDUCE-751,MAPREDUCE-776
1563,1614,2,blocks;is blocked by,MAPREDUCE-3104,MAPREDUCE-3175
1592,1483,2,blocks;is blocked by,MAPREDUCE-3144,MAPREDUCE-2989
1594,1288,2,blocks;is blocked by,MAPREDUCE-3146,MAPREDUCE-2696
1604,1480,2,blocks;is blocked by,MAPREDUCE-3159,MAPREDUCE-2986
1606,1607,2,blocks;is blocked by,MAPREDUCE-3161,MAPREDUCE-3162
1612,1746,2,blocks;is blocked by,MAPREDUCE-3169,MAPREDUCE-3369
1648,1293,2,blocks;is blocked by,MAPREDUCE-3233,MAPREDUCE-2708
169,292,2,blocks;is blocked by,MAPREDUCE-777,MAPREDUCE-975
1720,1738,2,blocks;is blocked by,MAPREDUCE-3333,MAPREDUCE-3355
1722,1389,2,blocks;is blocked by,MAPREDUCE-3336,MAPREDUCE-2863
1727,1389,2,blocks;is blocked by,MAPREDUCE-3342,MAPREDUCE-2863
1727,1703,2,blocks;is blocked by,MAPREDUCE-3342,MAPREDUCE-3309
1736,2122,2,blocks;is blocked by,MAPREDUCE-3353,MAPREDUCE-3921
1768,1704,2,blocks;is blocked by,MAPREDUCE-3396,MAPREDUCE-3311
1779,242,2,blocks;is blocked by,MAPREDUCE-3409,MAPREDUCE-3427
1814,1805,2,blocks;is blocked by,MAPREDUCE-3463,MAPREDUCE-3450
1826,1985,2,blocks;is blocked by,MAPREDUCE-3481,MAPREDUCE-3719
1923,1832,2,blocks;is blocked by,MAPREDUCE-3634,MAPREDUCE-3489
1928,1850,2,blocks;is blocked by,MAPREDUCE-3641,MAPREDUCE-3525
1928,1857,2,blocks;is blocked by,MAPREDUCE-3641,MAPREDUCE-3534
1946,1985,2,blocks;is blocked by,MAPREDUCE-3667,MAPREDUCE-3719
197,198,2,blocks;is blocked by,MAPREDUCE-814,MAPREDUCE-817
1979,1985,2,blocks;is blocked by,MAPREDUCE-3713,MAPREDUCE-3719
1980,1985,2,blocks;is blocked by,MAPREDUCE-3714,MAPREDUCE-3719
1987,1985,2,blocks;is blocked by,MAPREDUCE-3721,MAPREDUCE-3719
1996,1985,2,blocks;is blocked by,MAPREDUCE-3732,MAPREDUCE-3719
2010,2015,2,blocks;is blocked by,MAPREDUCE-3754,MAPREDUCE-3760
2022,1985,2,blocks;is blocked by,MAPREDUCE-3770,MAPREDUCE-3719
2043,1850,2,blocks;is blocked by,MAPREDUCE-3808,MAPREDUCE-3524
2044,1850,2,blocks;is blocked by,MAPREDUCE-3809,MAPREDUCE-3524
