issue_key,event_time,from_status,to_status
MAPREDUCE-7369,2021-12-08T15:49:13.737000+00:00,Open,Patch Available
MAPREDUCE-7368,2021-12-08T11:11:56.001000+00:00,Open,Resolved
MAPREDUCE-7366,2021-10-25T16:16:09.118000+00:00,Open,Resolved
MAPREDUCE-7366,2021-10-26T16:07:17.867000+00:00,Resolved,Reopened
MAPREDUCE-7366,2021-10-26T16:07:40.837000+00:00,Reopened,Resolved
MAPREDUCE-7365,2021-10-15T09:36:32.883000+00:00,Open,Resolved
MAPREDUCE-7363,2021-09-28T16:54:47.717000+00:00,Open,Resolved
MAPREDUCE-7356,2021-07-13T12:55:00.653000+00:00,Open,In Progress
MAPREDUCE-7356,2021-07-13T12:55:05.650000+00:00,In Progress,Patch Available
MAPREDUCE-7356,2021-07-13T14:00:55.221000+00:00,Patch Available,Resolved
MAPREDUCE-7354,2021-06-21T07:48:13.589000+00:00,Open,Resolved
MAPREDUCE-7353,2021-06-16T10:53:54.118000+00:00,Open,Patch Available
MAPREDUCE-7353,2021-07-07T21:59:27.216000+00:00,Patch Available,Resolved
MAPREDUCE-7352,2021-06-14T12:57:06.871000+00:00,Open,Resolved
MAPREDUCE-7351,2021-07-01T09:01:34.564000+00:00,Open,Patch Available
MAPREDUCE-7351,2021-07-07T03:40:14.505000+00:00,Patch Available,Resolved
MAPREDUCE-7350,2021-06-07T02:54:45.040000+00:00,Open,Resolved
MAPREDUCE-7348,2021-05-26T05:04:56.690000+00:00,Open,Patch Available
MAPREDUCE-7348,2021-05-26T06:53:46.780000+00:00,Patch Available,Resolved
MAPREDUCE-7347,2021-05-25T12:02:27.040000+00:00,Open,Patch Available
MAPREDUCE-7344,2021-05-04T20:52:20.552000+00:00,Open,Patch Available
MAPREDUCE-7343,2021-05-13T18:48:13.834000+00:00,Open,Resolved
MAPREDUCE-7342,2021-05-01T08:31:10.305000+00:00,Open,In Progress
MAPREDUCE-7342,2021-05-01T08:33:00.141000+00:00,In Progress,Patch Available
MAPREDUCE-7342,2021-08-29T23:49:19.749000+00:00,Patch Available,Resolved
MAPREDUCE-7341,2021-05-03T11:08:17.876000+00:00,Open,In Progress
MAPREDUCE-7334,2021-04-09T07:07:52.455000+00:00,Open,Resolved
MAPREDUCE-7332,2021-03-25T17:46:17.025000+00:00,Open,In Progress
MAPREDUCE-7332,2021-03-25T18:05:28.766000+00:00,In Progress,Patch Available
MAPREDUCE-7332,2021-03-26T15:42:32.018000+00:00,Patch Available,Resolved
MAPREDUCE-7329,2021-04-09T03:11:25.105000+00:00,Open,Resolved
MAPREDUCE-7326,2021-03-07T21:46:17.429000+00:00,Open,Resolved
MAPREDUCE-7325,2021-03-18T21:27:16.938000+00:00,Open,In Progress
MAPREDUCE-7325,2021-03-18T21:29:15.658000+00:00,In Progress,Patch Available
MAPREDUCE-7325,2021-03-22T20:55:19.477000+00:00,Patch Available,Resolved
MAPREDUCE-7324,2021-02-24T23:06:24.766000+00:00,Open,Patch Available
MAPREDUCE-7324,2021-03-02T21:51:59.942000+00:00,Patch Available,Resolved
MAPREDUCE-7323,2021-02-22T06:57:47.869000+00:00,Open,Patch Available
MAPREDUCE-7323,2021-02-22T14:17:49.063000+00:00,Patch Available,Resolved
MAPREDUCE-7322,2021-03-01T22:47:29.105000+00:00,Open,In Progress
MAPREDUCE-7322,2021-03-02T15:52:14.353000+00:00,In Progress,Patch Available
MAPREDUCE-7322,2021-03-10T20:32:34.230000+00:00,Patch Available,Open
MAPREDUCE-7322,2021-03-11T15:53:47.052000+00:00,Open,Patch Available
MAPREDUCE-7322,2021-03-16T19:53:40.663000+00:00,Patch Available,Resolved
MAPREDUCE-7321,2021-03-17T17:42:30.712000+00:00,Open,Resolved
MAPREDUCE-7321,2021-06-10T08:12:12.443000+00:00,Resolved,Reopened
MAPREDUCE-7321,2021-06-10T08:12:19.235000+00:00,Reopened,Resolved
MAPREDUCE-7320,2021-02-17T18:45:17.323000+00:00,Open,In Progress
MAPREDUCE-7320,2021-02-23T21:12:07.166000+00:00,In Progress,Open
MAPREDUCE-7320,2021-02-23T21:13:06.270000+00:00,Open,In Progress
MAPREDUCE-7320,2021-02-26T22:12:00.677000+00:00,In Progress,Resolved
MAPREDUCE-7319,2021-02-09T16:08:52.898000+00:00,Open,Patch Available
MAPREDUCE-7319,2021-02-09T19:37:19.853000+00:00,Patch Available,Resolved
MAPREDUCE-7317,2021-01-27T19:11:22.490000+00:00,Open,Resolved
MAPREDUCE-7315,2020-12-31T16:02:37.788000+00:00,Open,Resolved
MAPREDUCE-7314,2021-01-20T19:07:50.907000+00:00,Open,Patch Available
MAPREDUCE-7311,2020-11-29T23:42:19.231000+00:00,Open,Patch Available
MAPREDUCE-7311,2021-09-01T08:31:17.648000+00:00,Patch Available,Resolved
MAPREDUCE-7310,2020-11-29T23:19:04.392000+00:00,Open,Patch Available
MAPREDUCE-7310,2021-01-12T07:34:13.217000+00:00,Patch Available,Resolved
MAPREDUCE-7309,2020-11-20T19:57:47.129000+00:00,Open,Patch Available
MAPREDUCE-7309,2020-11-25T10:48:42.210000+00:00,Patch Available,Resolved
MAPREDUCE-7308,2020-11-23T16:11:11.175000+00:00,Open,Patch Available
MAPREDUCE-7307,2020-11-23T16:34:49.367000+00:00,Open,Resolved
MAPREDUCE-7305,2020-11-13T05:40:16.208000+00:00,Open,Patch Available
MAPREDUCE-7305,2020-11-18T05:26:54.939000+00:00,Patch Available,Resolved
MAPREDUCE-7304,2020-11-17T09:27:03.991000+00:00,Open,Patch Available
MAPREDUCE-7304,2020-11-17T09:34:00.789000+00:00,Patch Available,Open
MAPREDUCE-7304,2020-11-17T09:34:38.962000+00:00,Open,Patch Available
MAPREDUCE-7304,2020-11-17T15:45:29.200000+00:00,Patch Available,Open
MAPREDUCE-7304,2020-11-17T15:45:46.993000+00:00,Open,Patch Available
MAPREDUCE-7304,2020-11-18T07:49:01.900000+00:00,Patch Available,Open
MAPREDUCE-7304,2020-11-18T07:49:44.927000+00:00,Open,Patch Available
MAPREDUCE-7304,2020-11-18T12:19:28.060000+00:00,Patch Available,Open
MAPREDUCE-7304,2020-11-18T12:20:29.403000+00:00,Open,Patch Available
MAPREDUCE-7304,2020-11-20T12:18:39.124000+00:00,Patch Available,Resolved
MAPREDUCE-7303,2020-10-21T07:32:07.549000+00:00,Open,Patch Available
MAPREDUCE-7303,2020-10-22T19:50:14.213000+00:00,Patch Available,Resolved
MAPREDUCE-7303,2021-06-01T08:36:34.728000+00:00,Resolved,Reopened
MAPREDUCE-7302,2020-10-20T11:20:50.273000+00:00,Open,Patch Available
MAPREDUCE-7302,2020-10-28T09:56:25.694000+00:00,Patch Available,Resolved
MAPREDUCE-7301,2020-10-08T21:58:34.205000+00:00,Open,Patch Available
MAPREDUCE-7301,2020-10-12T18:22:55.754000+00:00,Patch Available,Resolved
MAPREDUCE-7300,2021-07-05T20:19:45.505000+00:00,Open,Resolved
MAPREDUCE-7299,2020-10-05T01:18:50.569000+00:00,Open,Patch Available
MAPREDUCE-7298,2020-09-27T10:40:56.430000+00:00,Open,Patch Available
MAPREDUCE-7298,2020-09-27T16:20:06.218000+00:00,Patch Available,Open
MAPREDUCE-7298,2020-09-27T16:20:15.842000+00:00,Open,Patch Available
MAPREDUCE-7298,2020-10-02T15:43:26.841000+00:00,Patch Available,Resolved
MAPREDUCE-7297,2020-10-07T17:17:46.573000+00:00,Open,Patch Available
MAPREDUCE-7296,2020-09-16T01:35:42.647000+00:00,Open,Patch Available
MAPREDUCE-7294,2020-08-13T04:34:34.391000+00:00,Open,In Progress
MAPREDUCE-7294,2020-09-22T19:00:19.527000+00:00,In Progress,Resolved
MAPREDUCE-7293,2020-11-12T16:34:29.545000+00:00,Open,Resolved
MAPREDUCE-7292,2020-08-20T16:06:01.220000+00:00,Open,Patch Available
MAPREDUCE-7290,2020-08-08T03:52:49.214000+00:00,Open,Patch Available
MAPREDUCE-7290,2020-08-08T07:11:13.643000+00:00,Patch Available,Open
MAPREDUCE-7290,2020-08-08T07:11:31.043000+00:00,Open,Patch Available
MAPREDUCE-7290,2020-08-08T11:24:31.022000+00:00,Patch Available,Open
MAPREDUCE-7290,2020-08-08T11:24:54.291000+00:00,Open,Patch Available
MAPREDUCE-7289,2020-09-29T14:10:36.372000+00:00,Open,Resolved
MAPREDUCE-7288,2020-08-01T08:19:53.768000+00:00,Open,Patch Available
MAPREDUCE-7288,2020-08-06T00:39:04.057000+00:00,Patch Available,Resolved
MAPREDUCE-7287,2021-05-28T19:52:14.346000+00:00,Open,Resolved
MAPREDUCE-7286,2020-08-11T02:27:02.493000+00:00,Open,Resolved
MAPREDUCE-7285,2020-07-15T02:23:04.024000+00:00,Open,Patch Available
MAPREDUCE-7285,2020-07-15T06:25:35.967000+00:00,Patch Available,Resolved
MAPREDUCE-7284,2020-07-13T10:00:00.800000+00:00,Open,Patch Available
MAPREDUCE-7284,2020-07-15T04:46:57.730000+00:00,Patch Available,Resolved
MAPREDUCE-7282,2021-07-05T20:18:23.838000+00:00,Open,Resolved
MAPREDUCE-7281,2020-06-17T11:07:52.207000+00:00,Open,Patch Available
MAPREDUCE-7281,2020-06-19T22:40:18.824000+00:00,Patch Available,Resolved
