Task_ID,Topo_Level,Batch_Index,Summary,Task_Tag,Priority,Duration_Hours,Assigned_To,Start_Hour,End_Hour,Skill_Match
1006,1,1,"PartyContentWrapper.getPartyContentTextList method uses ""contentPurposeEnumId"" field from ""PartyContent"" entity that was removed",Bug fixing / Maintenance,Trivial,1.6,A-379,0.0,1.6,1
1016,1,1,Making a success out of the the conditions for order in oagisSendProcessShipment of Oagis component,Feature / Improvement Implementation,Trivial,1.6,A-99,0.0,1.6,1
1017,1,1,When survey products are added to the cart then displaying survey price in the cart and adding it to the cart total.,Feature / Improvement Implementation,Trivial,1.6,A-274,0.0,1.6,1
1052,1,1,[patch] rateProductTaxCalc expecting a value for orderShippingAmount but marked optional in servicedef,Bug fixing / Maintenance,Trivial,1.6,A-315,0.0,1.6,1
1056,1,1,visit tracking should default to on,Bug fixing / Maintenance,Trivial,1.6,A-150,0.0,1.6,1
1068,1,1,GoodIdentificationAndProduct missing Product relationship (patch),Feature / Improvement Implementation,Trivial,1.6,A-47,0.0,1.6,1
1089,1,1,Popup calendar for selecting dates is incorrected formated when using OfBiz using FireFox,Bug fixing / Maintenance,Trivial,1.6,A-148,0.0,1.6,1
1110,1,1,Logged in party is not able to update its own status (disable his profile),Bug fixing / Maintenance,Trivial,1.6,A-279,0.0,1.6,0
1115,1,1,Added roleTypeIdTo field in the CommunicationEvent Search Form,Feature / Improvement Implementation,Trivial,1.6,A-367,0.0,1.6,0
1125,1,1,services.xsd references www.ofbiz.org,Documentation,Trivial,1.6,A-166,0.0,1.6,0
1135,1,1,UI Label for Product ProductInventoryRequiredProduct,Feature / Improvement Implementation,Trivial,1.6,A-288,0.0,1.6,1
1141,1,1,Currency conversion broken when creating accounting transaction entries,Bug fixing / Maintenance,Trivial,1.6,A-18,0.0,1.6,1
1146,1,1,label correction in /ofb/applications/party/data/PartyTypeData.xml,Feature / Improvement Implementation,Trivial,1.6,A-376,0.0,1.6,1
1152,1,1,/ofbiz/framework/base/config/debug.properties,Bug fixing / Maintenance,Trivial,1.6,A-141,0.0,1.6,1
1153,1,1,"Skip "".svn"" subdirectories when searching for JAR files during ofbiz startup",Bug fixing / Maintenance,Trivial,1.6,A-42,0.0,1.6,1
1154,1,1,seeding database error found,Bug fixing / Maintenance,Trivial,1.6,A-300,0.0,1.6,1
1160,1,1,small bugs due to bad ui labels,Bug fixing / Maintenance,Trivial,1.6,A-345,0.0,1.6,1
1162,1,1,Patch to customize display sequence of app bar,Feature / Improvement Implementation,Trivial,1.6,A-128,0.0,1.6,0
1168,1,1,Location does not exist Warnings,Bug fixing / Maintenance,Trivial,1.6,A-219,0.0,1.6,1
1177,1,1,Remove hardcoded value,Bug fixing / Maintenance,Trivial,1.6,A-395,0.0,1.6,1
1197,1,1,Support for Groovy Screen Widget Actions,Feature / Improvement Implementation,Trivial,1.6,A-226,0.0,1.6,1
1216,1,1,Add support for VisaElectron card number validation in UtilValidate.java as defined Wikipedia,Feature / Improvement Implementation,Trivial,1.6,A-3,0.0,1.6,1
1220,1,1,Typos in editInvoice.groovy script,Bug fixing / Maintenance,Trivial,1.6,A-386,0.0,1.6,1
1227,1,1,Missing paginate target causes  bugs on some screens,Bug fixing / Maintenance,Trivial,1.6,A-224,0.0,1.6,1
1232,1,1,Pop up calendar is not displayed correctly in ecommerce,Bug fixing / Maintenance,Trivial,1.6,A-61,0.0,1.6,1
1234,1,1,Missing import statement crashes  quick lookup in ordermgr,Bug fixing / Maintenance,Trivial,1.6,A-388,0.0,1.6,1
1237,1,1,ant clean-all gives errors,Bug fixing / Maintenance,Trivial,1.6,A-413,0.0,1.6,1
1238,1,1,.classpath file references commons-dbcp-20070730.jar which does not exist in the directory,Documentation,Trivial,1.6,A-27,0.0,1.6,1
1246,1,1,Why PaymentBudgetAllocation's budgetid and budgetitemseqid was not foreing key for budgetitem,Bug fixing / Maintenance,Trivial,1.6,A-201,0.0,1.6,1
1252,1,1,Enhancement in ProjectMgr and WorkEffort component,Feature / Improvement Implementation,Trivial,1.6,A-355,0.0,1.6,1
1256,1,1,Moved screenlets out of table and into div's to make it CSS stylable in checkoutoptions.ftl for ecommerce ,Feature / Improvement Implementation,Trivial,1.6,A-332,0.0,1.6,1
1264,1,1,Approve requirement screen label should say NOT YET approved requirements,Bug fixing / Maintenance,Trivial,1.6,A-206,0.0,1.6,0
1267,1,1,"german translations for framework - base, minilang, service, webapp",Feature / Improvement Implementation,Trivial,1.6,A-8,0.0,1.6,1
1280,1,1,"There is currently something wrong in how the main eComm page is rendered in, at least, FF3 and Opera 9.02 (IE7 is ok). ",Feature / Improvement Implementation,Trivial,1.6,A-2,0.0,1.6,1
1291,1,1,Add support of fromDate & thruDate in CustRequestRole entity,Feature / Improvement Implementation,Trivial,1.6,A-353,0.0,1.6,1
1327,1,1,Create a party relationship between a new customer and the product store in the eCommerce application,Feature / Improvement Implementation,Trivial,1.6,A-371,0.0,1.6,1
134,1,1,Expire credit card years,Feature / Improvement Implementation,Trivial,1.6,A-197,0.0,1.6,1
1409,1,1,Duplicated labels on framework components,Feature / Improvement Implementation,Trivial,1.6,A-162,0.0,1.6,0
1414,1,1,Typo fixes,Bug fixing / Maintenance,Trivial,1.6,A-37,0.0,1.6,1
1439,1,1,ProductConfigWrapper.class : listPrice,Feature / Improvement Implementation,Trivial,1.6,A-71,0.0,1.6,1
144,1,1,Still some little problems with IE 6 in ecommerce,Feature / Improvement Implementation,Trivial,1.6,A-238,0.0,1.6,1
1458,1,1,Amend typo in inlineProductDetail.ftl file's Java script.,Feature / Improvement Implementation,Trivial,1.6,A-350,0.0,1.6,0
1488,1,1,Display price with VAT for configurable goods in cart,Feature / Improvement Implementation,Trivial,1.6,A-342,0.0,1.6,1
1494,1,1,Error when update skill or training in the party and human resources components,Bug fixing / Maintenance,Trivial,1.6,A-88,0.0,1.6,1
1497,1,1,Avoid error when an uncompatible original image is uploaded,Feature / Improvement Implementation,Trivial,1.6,A-139,0.0,1.6,1
1499,1,1,log view layout,Bug fixing / Maintenance,Trivial,1.6,A-215,0.0,1.6,1
1503,1,1,Cart : same product but different configuration with the same option,Feature / Improvement Implementation,Trivial,1.6,A-158,0.0,1.6,0
1505,1,1,Internationalize Image Transform errors,Feature / Improvement Implementation,Trivial,1.6,A-183,0.0,1.6,1
1508,1,1,Error in Feature Type creation,Bug fixing / Maintenance,Trivial,1.6,A-119,0.0,1.6,1
1509,1,1,Product Id for SEO,Feature / Improvement Implementation,Trivial,1.6,A-385,0.0,1.6,0
1510,1,1,Unknown buffered image type for PNG image,Bug fixing / Maintenance,Trivial,1.6,A-333,0.0,1.6,1
152,1,1,Demo of warehouse functionality on handheld,Feature / Improvement Implementation,Trivial,1.6,A-266,0.0,1.6,1
1530,1,1,"HTML : Select option disabled=""disabled"" doesn't work with IE",Bug fixing / Maintenance,Trivial,1.6,A-96,0.0,1.6,1
1555,1,1,New targets for custom component's build.xml file,Build & Release Engineering,Trivial,1.6,A-216,0.0,1.6,1
1565,1,1,Add Cancel Order Functionality to https://localhost:8443/ordermgr/control/orderview,Feature / Improvement Implementation,Trivial,1.6,A-347,0.0,1.6,0
1589,1,1,Replace the footer in  BizznessTime theme,Other,Trivial,1.6,A-275,0.0,1.6,0
16,1,1,Add Company logo to PackingSlip.pdf,Feature / Improvement Implementation,Trivial,1.6,A-271,0.0,1.6,0
1608,1,1,"{code}, {quote}, {warning} should be centered and ""stretchable""",Other,Trivial,1.6,A-142,0.0,1.6,0
161,1,1,ant target run-install-seed should depend on run-install,Feature / Improvement Implementation,Trivial,1.6,A-55,0.0,1.6,1
1617,1,1,ij.ofbiz does not work,Bug fixing / Maintenance,Trivial,1.6,A-296,0.0,1.6,1
