from_issue_key,to_issue_key,link_type,raw_link_type,direction,from_summary,to_summary,same_group,same_component,same_release
OFBIZ-12189,OFBIZ-12103,blocks,Blocker,outward,Exception error on ecommerce portal while trying to register new user,Unable to cancel item from ecommerce,0,0,0
OFBIZ-12189,OFBIZ-12103,is blocked by,Blocker,inward,Exception error on ecommerce portal while trying to register new user,Unable to cancel item from ecommerce,0,0,0
OFBIZ-11961,OFBIZ-7935,blocks,Blocker,outward,Refactor hardcoded shipping integration service references to make them configurable,Move 3rd party shipping integrations from product application to plugins,0,0,0
OFBIZ-11671,OFBIZ-6110,blocks,Blocker,outward,Improve ecommerce component data set(s),Move as much as possible demo data from ecommerce to product or order components,0,0,0
OFBIZ-11266,OFBIZ-11265,blocks,Blocker,outward,content/control/WebSiteCms?webSiteId=CmsSite fails,Getting policy error while editing html text data using cms,0,0,0
OFBIZ-11266,OFBIZ-11265,is blocked by,Blocker,inward,content/control/WebSiteCms?webSiteId=CmsSite fails,Getting policy error while editing html text data using cms,0,0,0
OFBIZ-11028,OFBIZ-10969,blocks,Blocker,outward,field emplFromDate is forgot in PayHistory entity,Unable to create Employments,0,0,0
OFBIZ-11022,OFBIZ-11018,blocks,Blocker,outward,Edit WebSite Path Alias is not working,Redirection of pathAlias to aliasTo does not work properly,0,0,0
OFBIZ-11022,OFBIZ-11018,is blocked by,Blocker,inward,Edit WebSite Path Alias is not working,Redirection of pathAlias to aliasTo does not work properly,0,0,0
OFBIZ-11028,OFBIZ-10969,is blocked by,Blocker,inward,field emplFromDate is forgot in PayHistory entity,Unable to create Employments,0,0,0
OFBIZ-10578,OFBIZ-10804,Blocked,Blocked,inward,MIsc UI improvements in pages of ecommerce component,Screen seems distorted while allowing split to Shipment,0,0,0
OFBIZ-10691,OFBIZ-10604,Blocked,Blocked,outward,Refactoring ‘EntityCondition’,Isolate EntityOperator and EntityConditionValue from EntityConditionBase ,0,0,0
OFBIZ-10691,OFBIZ-10604,Blocked,Blocked,inward,Refactoring ‘EntityCondition’,Isolate EntityOperator and EntityConditionValue from EntityConditionBase ,0,0,0
OFBIZ-10593,OFBIZ-10579,blocks,Blocker,outward,‘EntityConditionVisitor’ is a confused visitor pattern,Date filtered queries with caching should be restricted to cache,0,0,0
OFBIZ-10593,OFBIZ-10579,is blocked by,Blocker,inward,‘EntityConditionVisitor’ is a confused visitor pattern,Date filtered queries with caching should be restricted to cache,0,0,0
OFBIZ-10578,OFBIZ-10804,Blocked,Blocked,outward,MIsc UI improvements in pages of ecommerce component,Screen seems distorted while allowing split to Shipment,0,0,0
OFBIZ-9873,OFBIZ-10390,is blocked by,Blocker,inward,Create a PoC for a documentation system for OFBiz based on Asciidoc,New documentation for EntitySync,0,0,0
OFBIZ-10277,OFBIZ-10307,is blocked by,Blocker,inward,The getJSONuiLabel javascript function is no longer working,Navigate from a domain to another with automated signed in authentication,0,0,0
OFBIZ-10047,OFBIZ-10304,is blocked by,Blocker,inward,Tomcat SSO,"The ""request"" attribute type of the userLogin service is wrong",0,0,0
OFBIZ-10277,OFBIZ-10307,blocks,Blocker,outward,The getJSONuiLabel javascript function is no longer working,Navigate from a domain to another with automated signed in authentication,0,0,0
OFBIZ-10047,OFBIZ-10304,blocks,Blocker,outward,Tomcat SSO,"The ""request"" attribute type of the userLogin service is wrong",0,0,0
OFBIZ-9873,OFBIZ-10390,blocks,Blocker,outward,Create a PoC for a documentation system for OFBiz based on Asciidoc,New documentation for EntitySync,0,0,0
OFBIZ-9444,OFBIZ-9391,blocks,Blocker,outward,Dependency problem between Solr 6.6.0 and Guava,Update Apache Solr/Lucene to release 6.6.0,0,0,0
