issue_key,summary,group_key,group_domain,group_release,group_worktype,group_priority,group_has_pr,dev_has_activity,indegree,outdegree,component_id,is_root,is_leaf
OFBIZ-1,Just a test issue before we move all new issues here.,,,,,,,,0,0,10559,1,1
OFBIZ-10,non existend ContentId caused NPE (attached patch fixes this),,,,,,,,0,0,11080,1,1
OFBIZ-100,Addressing Verification,,,,,,,,2,0,4246,0,1
OFBIZ-1000,SOAPEventHandler does not return error messages,,,,,,,,0,0,6635,1,1
OFBIZ-10000,Remove occurrences of all deprecated delegator methods by EntityQuery methods,,,,,,,,0,0,9709,1,1
OFBIZ-10001,Convert CategoryContentServices.xml mini lang to groovy,,,,,,,,0,0,904,1,1
OFBIZ-10002,Document how the thread-pool max-threads works,,,,,,,,0,0,4988,1,1
OFBIZ-10003,Lookup Not Working with All Screens,,,,,,,,0,0,3928,1,1
OFBIZ-10004,Error in Create Billing Account from Party Profile,,,,,,,,0,0,11982,1,1
OFBIZ-10005,Broken screen while performing find operation on 'MarketingCampaignAndVisit' entity from webtools,,,,,,,,0,0,3565,1,1
OFBIZ-10006,Exception Error rendering on all View Category pages,,,,,,,,0,0,8283,1,1
OFBIZ-10007,Party Classification Groups are not listing on FindParty screen.,,,,,,,,0,0,9642,1,1
OFBIZ-10008,Add mechanism to prevent the usage of EntitySyncRemove,,,,,,,,0,0,2475,1,1
OFBIZ-10009,Issue with Invoices created against returns of 'replacement' type items  ,,,,,,,,0,0,10825,1,1
OFBIZ-1001,Oracle Database Date Query Problems,,,,,,,,0,0,7321,1,1
OFBIZ-10010,No option to create the account contacts in SFA component,,,,,,,,0,0,3284,1,1
OFBIZ-10011,Update markup of Home page according to standard markup given by Bootstrap v4.0.0,,,,,,,,0,0,4743,1,1
OFBIZ-10012,"Alert message : ""Developer: for lookups to work you must provide a form name!"" appears when try to select contentId from Lookup",,,,,,,,0,0,7233,1,1
OFBIZ-10013,Screen Rendering issue on Payment Overview screen,,,,,,,,0,0,3527,1,1
OFBIZ-10014,Error while adding the product to the order ,,,,,,,,0,0,103,1,1
OFBIZ-10015,Unable to create inventory item label,,,,,,,,0,0,6194,1,1
OFBIZ-10016,Update markup of Login page according to standard markup given by Bootstrap v4.0.0,,,,,,,,0,0,915,1,1
OFBIZ-10017,Alignment Issue on Variant product view page,,,,,,,,0,0,7237,1,1
OFBIZ-10018,Update markup of Register page according to standard markup given by Bootstrap v4.0.0,,,,,,,,0,0,4097,1,1
OFBIZ-10019,Replace ?default(value) by !value in Freemarker templates,,,,,,,,0,0,6415,1,1
OFBIZ-1002,"Content Updation - with textarea,freemarker objects problem ..",,,,,,,,0,0,629,1,1
OFBIZ-10020,Improve groovy DSL : makeValue accept fields map and call delegator.makeValidValue,,,,,,,,0,0,6689,1,1
OFBIZ-10021,Accounting: Handle service response effectively,,,,,,,,0,0,7015,1,1
OFBIZ-10022,Use latitude and longitude while creating address records,,,,,,,,0,0,8772,1,1
OFBIZ-10023,Replace org.apache.commons.lang.StringEscapeUtils.unescapeHtml() method by org.jsoup.parser.Parser.unescapeEntities(),,,,,,,,0,0,11726,1,1
OFBIZ-10024, INOUT entity-auto engine parameter not seen in SECA,,,,,,,,0,0,2582,1,1
OFBIZ-10025,Add logVerbose to GroovyBaseScript.groovy,,,,,,,,0,0,5420,1,1
OFBIZ-10026,Update build.gradle to the latest dependencies,,,,,,,,0,0,9378,1,1
