from_issue_key,to_issue_key,link_type,raw_link_type,direction
OFBIZ-12473,OFBIZ-12472,is a clone of,Cloners,outward
OFBIZ-12473,OFBIZ-12472,is cloned by,Cloners,inward
OFBIZ-12470,OFBIZ-12449,is a clone of,Cloners,outward
OFBIZ-12453,OFBIZ-12454,is depended upon by,dependent,inward
OFBIZ-6189,OFBIZ-12453,is related to,Reference,inward
OFBIZ-12453,OFBIZ-12454,depends upon,dependent,outward
OFBIZ-12470,OFBIZ-12449,is cloned by,Cloners,inward
OFBIZ-12445,OFBIZ-6002,supercedes,Supercedes,outward
OFBIZ-12434,OFBIZ-12443,is broken by,Regression,inward
OFBIZ-12441,OFBIZ-4462,is a clone of,Cloners,outward
OFBIZ-11960,OFBIZ-12441,is broken by,Regression,inward
OFBIZ-12434,OFBIZ-12443,breaks,Regression,outward
OFBIZ-12430,OFBIZ-12431,is related to,Reference,inward
OFBIZ-12430,OFBIZ-12431,relates to,Reference,outward
OFBIZ-12426,OFBIZ-12344,relates to,Reference,outward
OFBIZ-11328,OFBIZ-12426,is related to,Reference,inward
OFBIZ-12386,OFBIZ-12422,is broken by,Regression,inward
OFBIZ-12406,OFBIZ-12384,relates to,Reference,outward
OFBIZ-12384,OFBIZ-12405,is related to,Reference,inward
OFBIZ-12384,OFBIZ-12404,is related to,Reference,inward
OFBIZ-12403,OFBIZ-12384,relates to,Reference,outward
OFBIZ-12401,OFBIZ-9498,relates to,Reference,outward
OFBIZ-12401,OFBIZ-10407,relates to,Reference,outward
OFBIZ-12399,OFBIZ-10757,relates to,Reference,outward
OFBIZ-12392,OFBIZ-12394,is related to,Reference,inward
OFBIZ-12392,OFBIZ-12394,relates to,Reference,outward
OFBIZ-11442,OFBIZ-12392,is broken by,Regression,inward
OFBIZ-12386,OFBIZ-12422,breaks,Regression,outward
OFBIZ-12384,OFBIZ-12404,relates to,Reference,outward
OFBIZ-12384,OFBIZ-12405,relates to,Reference,outward
OFBIZ-12403,OFBIZ-12384,is related to,Reference,inward
OFBIZ-12406,OFBIZ-12384,is related to,Reference,inward
OFBIZ-12375,OFBIZ-12370,relates to,Reference,outward
OFBIZ-12374,OFBIZ-12370,relates to,Reference,outward
OFBIZ-12373,OFBIZ-12370,relates to,Reference,outward
OFBIZ-12372,OFBIZ-12370,relates to,Reference,outward
OFBIZ-12371,OFBIZ-12370,relates to,Reference,outward
OFBIZ-12371,OFBIZ-12370,is related to,Reference,inward
OFBIZ-12372,OFBIZ-12370,is related to,Reference,inward
OFBIZ-12373,OFBIZ-12370,is related to,Reference,inward
OFBIZ-12374,OFBIZ-12370,is related to,Reference,inward
OFBIZ-12375,OFBIZ-12370,is related to,Reference,inward
OFBIZ-5980,OFBIZ-12370,is related to,Reference,inward
OFBIZ-12367,OFBIZ-82,is a clone of,Cloners,outward
OFBIZ-12358,OFBIZ-5980,depends upon,dependent,outward
OFBIZ-7532,OFBIZ-12357,is broken by,Regression,inward
OFBIZ-12352,OFBIZ-5980,depends upon,dependent,outward
OFBIZ-12426,OFBIZ-12344,is related to,Reference,inward
OFBIZ-11716,OFBIZ-12332,is related to,Reference,inward
OFBIZ-12080,OFBIZ-12297,is broken by,Regression,inward
OFBIZ-12290,OFBIZ-12198,relates to,Reference,outward
OFBIZ-10590,OFBIZ-12285,is duplicated by,Duplicate,inward
OFBIZ-11442,OFBIZ-12282,is broken by,Regression,inward
OFBIZ-12249,OFBIZ-12273,is caused by,Problem/Incident,inward
OFBIZ-12212,OFBIZ-12273,is related to,Reference,inward
OFBIZ-3500,OFBIZ-12263,is related to,Reference,inward
OFBIZ-9832,OFBIZ-12263,is related to,Reference,inward
OFBIZ-12249,OFBIZ-12273,causes,Problem/Incident,outward
OFBIZ-12246,OFBIZ-12245,Dependent,Dependent,outward
OFBIZ-12246,OFBIZ-12245,Dependent,Dependent,inward
OFBIZ-12236,OFBIZ-12238,is related to,Reference,inward
OFBIZ-12236,OFBIZ-12238,relates to,Reference,outward
OFBIZ-12212,OFBIZ-12273,relates to,Reference,outward
OFBIZ-12097,OFBIZ-12201,is broken by,Regression,inward
OFBIZ-12290,OFBIZ-12198,is related to,Reference,inward
OFBIZ-9217,OFBIZ-12193,is broken by,Regression,inward
OFBIZ-12171,OFBIZ-12192,is related to,Reference,inward
OFBIZ-12189,OFBIZ-12103,blocks,Blocker,outward
OFBIZ-12185,OFBIZ-11462,fixes,Completes,outward
OFBIZ-12166,OFBIZ-12176,is depended upon by,dependent,inward
OFBIZ-8358,OFBIZ-12175,is broken by,Regression,inward
OFBIZ-12171,OFBIZ-10213,relates to,Reference,outward
OFBIZ-12171,OFBIZ-12192,relates to,Reference,outward
INFRA-21376,OFBIZ-12171,is related to,Reference,inward
OFBIZ-12166,OFBIZ-12176,depends upon,dependent,outward
OFBIZ-12165,OFBIZ-11848,is a clone of,Cloners,outward
OFBIZ-12162,OFBIZ-10444,relates to,Reference,outward
OFBIZ-12147,OFBIZ-12148,is related to,Reference,inward
OFBIZ-12147,OFBIZ-12148,relates to,Reference,outward
LEGAL-556,OFBIZ-12141,is blocked by,Blocker,inward
OFBIZ-12133,OFBIZ-12132,is a clone of,Cloners,outward
OFBIZ-12132,OFBIZ-12131,is a clone of,Cloners,outward
OFBIZ-12133,OFBIZ-12132,is cloned by,Cloners,inward
OFBIZ-12131,OFBIZ-12130,is a clone of,Cloners,outward
OFBIZ-12132,OFBIZ-12131,is cloned by,Cloners,inward
OFBIZ-12130,OFBIZ-12129,is a clone of,Cloners,outward
OFBIZ-12131,OFBIZ-12130,is cloned by,Cloners,inward
OFBIZ-12129,OFBIZ-12128,is a clone of,Cloners,outward
OFBIZ-12130,OFBIZ-12129,is cloned by,Cloners,inward
OFBIZ-12128,OFBIZ-12127,is a clone of,Cloners,outward
OFBIZ-12129,OFBIZ-12128,is cloned by,Cloners,inward
OFBIZ-12127,OFBIZ-12126,is a clone of,Cloners,outward
OFBIZ-12128,OFBIZ-12127,is cloned by,Cloners,inward
OFBIZ-12126,OFBIZ-12125,is a clone of,Cloners,outward
OFBIZ-12127,OFBIZ-12126,is cloned by,Cloners,inward
OFBIZ-12126,OFBIZ-12125,is cloned by,Cloners,inward
OFBIZ-12117,OFBIZ-12100,duplicates,Duplicate,outward
OFBIZ-11993,OFBIZ-12105,is related to,Reference,inward
OFBIZ-11955,OFBIZ-12105,is related to,Reference,inward
OFBIZ-12189,OFBIZ-12103,is blocked by,Blocker,inward
OFBIZ-12117,OFBIZ-12100,is duplicated by,Duplicate,inward
OFBIZ-12097,OFBIZ-12201,breaks,Regression,outward
OFBIZ-12093,OFBIZ-12069,fixes,Completes,outward
OFBIZ-11948,OFBIZ-12080,is duplicated by,Duplicate,inward
OFBIZ-11949,OFBIZ-12080,is duplicated by,Duplicate,inward
OFBIZ-12052,OFBIZ-12080,is duplicated by,Duplicate,inward
OFBIZ-12080,OFBIZ-12297,breaks,Regression,outward
OFBIZ-12023,OFBIZ-12070,is fixed by,Completes,inward
OFBIZ-12093,OFBIZ-12069,is fixed by,Completes,inward
OFBIZ-11684,OFBIZ-12064,is related to,Reference,inward
OFBIZ-11799,OFBIZ-12064,is related to,Reference,inward
OFBIZ-12053,OFBIZ-12054,is related to,Reference,inward
OFBIZ-12053,OFBIZ-12054,relates to,Reference,outward
OFBIZ-12052,OFBIZ-12080,duplicates,Duplicate,outward
OFBIZ-6873,OFBIZ-12046,is caused by,Problem/Incident,inward
OFBIZ-12018,OFBIZ-12041,is related to,Reference,inward
OFBIZ-12038,OFBIZ-12041,is related to,Reference,inward
OFBIZ-12038,OFBIZ-12041,relates to,Reference,outward
OFBIZ-12018,OFBIZ-12038,is related to,Reference,inward
OFBIZ-12037,OFBIZ-12036,relates to,Reference,outward
OFBIZ-12037,OFBIZ-12036,is related to,Reference,inward
OFBIZ-10047,OFBIZ-12033,is related to,Reference,inward
OFBIZ-12032,OFBIZ-10434,duplicates,Duplicate,outward
OFBIZ-12023,OFBIZ-12026,is depended upon by,dependent,inward
OFBIZ-12023,OFBIZ-12070,fixes,Completes,outward
OFBIZ-12023,OFBIZ-12026,depends upon,dependent,outward
OFBIZ-12018,OFBIZ-12038,relates to,Reference,outward
OFBIZ-12018,OFBIZ-12041,relates to,Reference,outward
OFBIZ-12002,OFBIZ-12018,is related to,Reference,inward
OFBIZ-10275,OFBIZ-12014,is related to,Reference,inward
OFBIZ-11822,OFBIZ-12014,is broken by,Regression,inward
OFBIZ-12007,OFBIZ-9241,duplicates,Duplicate,outward
OFBIZ-12007,OFBIZ-9241,causes,Problem/Incident,outward
OFBIZ-12002,OFBIZ-12018,relates to,Reference,outward
OFBIZ-12000,OFBIZ-12001,is a child of,Child-Issue,inward
OFBIZ-12000,OFBIZ-12001,is a parent of,Child-Issue,outward
OFBIZ-12000,OFBIZ-11928,is a parent of,Child-Issue,outward
OFBIZ-11993,OFBIZ-12105,relates to,Reference,outward
OFBIZ-11413,OFBIZ-11986,is caused by,Problem/Incident,inward
OFBIZ-11462,OFBIZ-11983,is broken by,Regression,inward
OFBIZ-11924,OFBIZ-11982,Is contained by,Container,inward
OFBIZ-11924,OFBIZ-11981,Is contained by,Container,inward
OFBIZ-11974,OFBIZ-11405,contains,Container,outward
OFBIZ-11799,OFBIZ-11964,is related to,Reference,inward
OFBIZ-11961,OFBIZ-7935,blocks,Blocker,outward
OFBIZ-11960,OFBIZ-12441,breaks,Regression,outward
OFBIZ-11955,OFBIZ-12105,relates to,Reference,outward
OFBIZ-11946,OFBIZ-11954,is related to,Reference,inward
OFBIZ-11949,OFBIZ-12080,duplicates,Duplicate,outward
OFBIZ-11948,OFBIZ-12080,duplicates,Duplicate,outward
OFBIZ-11946,OFBIZ-11954,relates to,Reference,outward
OFBIZ-9540,OFBIZ-11933,is part of,Incorporates,inward
OFBIZ-9591,OFBIZ-11933,is part of,Incorporates,inward
OFBIZ-9643,OFBIZ-11933,is part of,Incorporates,inward
OFBIZ-9254,OFBIZ-11929,is part of,Incorporates,inward
OFBIZ-12000,OFBIZ-11928,is a child of,Child-Issue,inward
OFBIZ-11924,OFBIZ-11981,contains,Container,outward
OFBIZ-11924,OFBIZ-11982,contains,Container,outward
OFBIZ-11916,OFBIZ-11899,depends upon,dependent,outward
OFBIZ-11914,OFBIZ-11909,duplicates,Duplicate,outward
OFBIZ-11911,OFBIZ-11912,is fixed by,Completes,inward
OFBIZ-11912,OFBIZ-11911,duplicates,Duplicate,outward
OFBIZ-11911,OFBIZ-11912,fixes,Completes,outward
OFBIZ-11912,OFBIZ-11911,is duplicated by,Duplicate,inward
OFBIZ-11914,OFBIZ-11909,is duplicated by,Duplicate,inward
OFBIZ-11468,OFBIZ-11909,is caused by,Problem/Incident,inward
OFBIZ-11916,OFBIZ-11899,is depended upon by,dependent,inward
OFBIZ-11884,OFBIZ-11889,is duplicated by,Duplicate,inward
OFBIZ-11885,OFBIZ-11889,is duplicated by,Duplicate,inward
OFBIZ-11885,OFBIZ-11889,duplicates,Duplicate,outward
OFBIZ-11884,OFBIZ-11889,duplicates,Duplicate,outward
OFBIZ-9750,OFBIZ-11863,Parent Feature,Parent Feature,inward
OFBIZ-12165,OFBIZ-11848,is cloned by,Cloners,inward
OFBIZ-11847,OFBIZ-11407,is a clone of,Cloners,outward
OFBIZ-11436,OFBIZ-11844,is broken by,Regression,inward
OFBIZ-11442,OFBIZ-11843,is caused by,Problem/Incident,inward
OFBIZ-11836,OFBIZ-11842,is broken by,Regression,inward
OFBIZ-11837,OFBIZ-7415,relates to,Reference,outward
OFBIZ-11836,OFBIZ-11842,breaks,Regression,outward
OFBIZ-11336,OFBIZ-11826,is related to,Reference,inward
OFBIZ-11822,OFBIZ-12014,breaks,Regression,outward
OFBIZ-10275,OFBIZ-11822,is broken by,Regression,inward
OFBIZ-11801,OFBIZ-11800,is a clone of,Cloners,outward
OFBIZ-11801,OFBIZ-11800,is cloned by,Cloners,inward
OFBIZ-11799,OFBIZ-11964,relates to,Reference,outward
OFBIZ-11799,OFBIZ-12064,relates to,Reference,outward
OFBIZ-11741,OFBIZ-11799,is related to,Reference,inward
OFBIZ-11788,OFBIZ-11344,relates to,Reference,outward
OFBIZ-11752,OFBIZ-9269,is a clone of,Cloners,outward
OFBIZ-11741,OFBIZ-11799,relates to,Reference,outward
OFBIZ-11735,OFBIZ-10669,fixes,Completes,outward
OFBIZ-11726,OFBIZ-5959,depends upon,dependent,outward
OFBIZ-5980,OFBIZ-11718,is fixed by,Completes,inward
OFBIZ-11718,OFBIZ-5965,relates to,Reference,outward
OFBIZ-11718,OFBIZ-5959,relates to,Reference,outward
OFBIZ-1959,OFBIZ-11717,is related to,Reference,inward
OFBIZ-6849,OFBIZ-11717,is related to,Reference,inward
OFBIZ-11716,OFBIZ-12332,relates to,Reference,outward
OFBIZ-10539,OFBIZ-11714,is caused by,Problem/Incident,inward
OFBIZ-11713,OFBIZ-5980,relates to,Reference,outward
OFBIZ-11713,OFBIZ-6976,relates to,Reference,outward
OFBIZ-11713,OFBIZ-11712,depends upon,dependent,outward
OFBIZ-11713,OFBIZ-11712,is depended upon by,dependent,inward
OFBIZ-11710,OFBIZ-11649,relates to,Reference,outward
OFBIZ-11710,OFBIZ-10902,depends upon,dependent,outward
OFBIZ-11706,OFBIZ-11686,relates to,Reference,outward
OFBIZ-11699,OFBIZ-6976,relates to,Reference,outward
OFBIZ-11693,INFRA-20311,depends upon,dependent,outward
OFBIZ-11706,OFBIZ-11686,is related to,Reference,inward
OFBIZ-11685,OFBIZ-11684,duplicates,Duplicate,outward
OFBIZ-11685,OFBIZ-4674,supercedes,Supercedes,outward
OFBIZ-11685,OFBIZ-11684,is duplicated by,Duplicate,inward
OFBIZ-11684,OFBIZ-12064,relates to,Reference,outward
OFBIZ-11684,OFBIZ-4674,supercedes,Supercedes,outward
OFBIZ-11683,OFBIZ-4674,supercedes,Supercedes,outward
OFBIZ-4674,OFBIZ-11677,is related to,Reference,inward
OFBIZ-11677,OFBIZ-10835,supercedes,Supercedes,outward
OFBIZ-11671,OFBIZ-6110,blocks,Blocker,outward
OFBIZ-11657,OFBIZ-11649,depends upon,dependent,outward
OFBIZ-11648,OFBIZ-11657,is depended upon by,dependent,inward
OFBIZ-11652,OFBIZ-11657,is depended upon by,dependent,inward
OFBIZ-7017,OFBIZ-11657,is depended upon by,dependent,inward
OFBIZ-11654,OFBIZ-11649,depends upon,dependent,outward
OFBIZ-11654,OFBIZ-11651,depends upon,dependent,outward
OFBIZ-11652,OFBIZ-11654,is depended upon by,dependent,inward
OFBIZ-4674,OFBIZ-11653,is related to,Reference,inward
OFBIZ-11652,OFBIZ-10905,relates to,Reference,outward
OFBIZ-11652,OFBIZ-11649,depends upon,dependent,outward
OFBIZ-11652,OFBIZ-11654,depends upon,dependent,outward
OFBIZ-11652,OFBIZ-11657,depends upon,dependent,outward
OFBIZ-11648,OFBIZ-11651,is depended upon by,dependent,inward
OFBIZ-11654,OFBIZ-11651,is depended upon by,dependent,inward
OFBIZ-11710,OFBIZ-11649,is related to,Reference,inward
OFBIZ-10902,OFBIZ-11649,is related to,Reference,inward
OFBIZ-11648,OFBIZ-11649,is depended upon by,dependent,inward
OFBIZ-11652,OFBIZ-11649,is depended upon by,dependent,inward
OFBIZ-11654,OFBIZ-11649,is depended upon by,dependent,inward
OFBIZ-11657,OFBIZ-11649,is depended upon by,dependent,inward
OFBIZ-7017,OFBIZ-11649,is depended upon by,dependent,inward
OFBIZ-11648,OFBIZ-11649,depends upon,dependent,outward
OFBIZ-11648,OFBIZ-11651,depends upon,dependent,outward
OFBIZ-11648,OFBIZ-11657,depends upon,dependent,outward
OFBIZ-11648,OFBIZ-7017,depends upon,dependent,outward
OFBIZ-11643,OFBIZ-6849,is a clone of,Cloners,outward
OFBIZ-11402,OFBIZ-11633,is broken by,Regression,inward
OFBIZ-9299,OFBIZ-11633,is broken by,Regression,inward
OFBIZ-10231,OFBIZ-11620,is broken by,Regression,inward
OFBIZ-9905,OFBIZ-11620,is broken by,Regression,inward
OFBIZ-11619,OFBIZ-6243,duplicates,Duplicate,outward
OFBIZ-11600,OFBIZ-11506,relates to,Reference,outward
OFBIZ-11306,OFBIZ-11593,is broken by,Regression,inward
OFBIZ-11402,OFBIZ-11590,is broken by,Regression,inward
OFBIZ-11306,OFBIZ-11586,is broken by,Regression,inward
OFBIZ-11585,OFBIZ-11306,relates to,Reference,outward
OFBIZ-11572,OFBIZ-11413,requires,Required,outward
OFBIZ-11571,OFBIZ-10991,depends upon,dependent,outward
OFBIZ-11571,OFBIZ-11031,depends upon,dependent,outward
OFBIZ-11521,OFBIZ-11571,is depended upon by,dependent,inward
OFBIZ-11553,OFBIZ-11556,Is contained by,Container,inward
OFBIZ-11553,OFBIZ-11555,Is contained by,Container,inward
OFBIZ-11553,OFBIZ-11554,Is contained by,Container,inward
OFBIZ-11553,OFBIZ-11554,contains,Container,outward
OFBIZ-11553,OFBIZ-11555,contains,Container,outward
OFBIZ-11553,OFBIZ-11556,contains,Container,outward
OFBIZ-11535,OFBIZ-11545,Is contained by,Container,inward
OFBIZ-11535,OFBIZ-11544,Is contained by,Container,inward
OFBIZ-11535,OFBIZ-11543,Is contained by,Container,inward
OFBIZ-11535,OFBIZ-11542,Is contained by,Container,inward
OFBIZ-11535,OFBIZ-11541,Is contained by,Container,inward
OFBIZ-11535,OFBIZ-11540,Is contained by,Container,inward
OFBIZ-11535,OFBIZ-11539,Is contained by,Container,inward
OFBIZ-11535,OFBIZ-11538,Is contained by,Container,inward
OFBIZ-11535,OFBIZ-11537,Is contained by,Container,inward
OFBIZ-11535,OFBIZ-11536,Is contained by,Container,inward
OFBIZ-11535,OFBIZ-11536,contains,Container,outward
OFBIZ-11535,OFBIZ-11537,contains,Container,outward
OFBIZ-11535,OFBIZ-11538,contains,Container,outward
OFBIZ-11535,OFBIZ-11539,contains,Container,outward
OFBIZ-11535,OFBIZ-11540,contains,Container,outward
OFBIZ-11535,OFBIZ-11541,contains,Container,outward
OFBIZ-11535,OFBIZ-11542,contains,Container,outward
OFBIZ-11535,OFBIZ-11543,contains,Container,outward
OFBIZ-11535,OFBIZ-11544,contains,Container,outward
OFBIZ-11535,OFBIZ-11545,contains,Container,outward
OFBIZ-11531,OFBIZ-11533,Is contained by,Container,inward
OFBIZ-11531,OFBIZ-11532,Is contained by,Container,inward
OFBIZ-11531,OFBIZ-11532,contains,Container,outward
OFBIZ-11531,OFBIZ-11533,contains,Container,outward
OFBIZ-11530,OFBIZ-11529,incorporates,Incorporates,outward
OFBIZ-11530,OFBIZ-11529,is part of,Incorporates,inward
OFBIZ-11526,OFBIZ-11528,Is contained by,Container,inward
