assignee_code,assignee_id,skills,skill_scores,hourly_cost_usd,seniority_level
A-1,cc2d8162-25a0-4321-84c8-433ff84f642a,Bug fixing / Maintenance;Build & Release Engineering;Design & API Evolution;Documentation;Feature / Improvement Implementation;Other;Project / General Task;Testing & Verification,23;8;1;6;7;4;5;30,77.0,senior
A-10,dcdf3747-2235-418c-ac15-8cef3316b096,Bug fixing / Maintenance;Build & Release Engineering;Design & API Evolution;Documentation;Feature / Improvement Implementation;Other;Performance Optimization;Testing & Verification,9;14;4;5;3;1;1;3,70.0,senior
A-100,ed3255f9-7436-485b-9266-98d7258da765,Bug fixing / Maintenance,4,18.0,junior
A-101,44011b79-27ed-4216-b3e1-54c4f0eaee52,Bug fixing / Maintenance,2,18.0,junior
A-102,43cd398f-6e80-4a77-8b7b-4ff66c068f99,Bug fixing / Maintenance;Feature / Improvement Implementation,1;1,20.0,junior
A-103,04827508-4392-4afe-a5b0-07ce6de7d170,Bug fixing / Maintenance;Feature / Improvement Implementation,1;1,20.0,junior
A-104,aa696787-13d0-4c0b-834e-0cfd21ba7793,Bug fixing / Maintenance;Build & Release Engineering;Code Refactoring & Cleanup;Design & API Evolution;Documentation;Feature / Improvement Implementation;Other;Performance Optimization;Project / General Task;Testing & Verification,73;18;19;20;13;26;81;3;3;46,132.5,expert
A-105,073a8f1b-b540-4fc8-b643-12e8ff27d249,Bug fixing / Maintenance;Feature / Improvement Implementation,1;1,20.0,junior
A-106,052f897b-46e3-4655-8f15-8aa81c69aa3e,Bug fixing / Maintenance;Build & Release Engineering;Design & API Evolution;Documentation;Feature / Improvement Implementation;Performance Optimization;Testing & Verification,22;6;5;6;8;1;8,89.0,senior
A-107,fdbf92b5-6cfa-4c8d-b65d-93c91f04244f,Feature / Improvement Implementation;Testing & Verification,1;1,21.0,junior
A-108,38a42ea4-db9b-4cd1-b8ef-fec2696d3507,Bug fixing / Maintenance;Design & API Evolution;Feature / Improvement Implementation,1;1;1,37.5,mid
A-109,6039302c-cf9d-4d3e-87a0-1cb2aa291875,Bug fixing / Maintenance,1,18.0,junior
A-11,9ced0fba-1897-4669-85d0-3465ea373680,Bug fixing / Maintenance;Build & Release Engineering,6;4,27.5,junior
A-110,7df05cae-115e-40c4-899e-e65884bcb9d0,Bug fixing / Maintenance;Documentation;Feature / Improvement Implementation;Project / General Task,2;1;1;1,33.0,mid
A-111,713d3f23-4b94-4448-bb31-ecb3d7ed3a44,Bug fixing / Maintenance;Design & API Evolution;Feature / Improvement Implementation,1;1;2,37.5,mid
A-112,030c2ba8-9000-4057-aea1-193e8cdd7510,Bug fixing / Maintenance,1,18.0,junior
A-113,52be6da8-45f2-4c44-a3be-b7d3a7bb51bd,Code Refactoring & Cleanup,1,24.0,junior
A-114,3341513a-ae46-4314-8534-46c994e93204,Bug fixing / Maintenance;Build & Release Engineering;Code Refactoring & Cleanup;Design & API Evolution;Documentation;Feature / Improvement Implementation;Other;Testing & Verification,23;5;1;5;3;13;1;4,82.0,senior
A-115,254c73e1-594c-40d8-923b-09c1eb8872c8,Bug fixing / Maintenance;Documentation;Feature / Improvement Implementation,4;1;1,35.5,mid
A-116,6c0f4def-1e70-4a9f-819d-fc00eaed089b,Bug fixing / Maintenance;Build & Release Engineering;Code Refactoring & Cleanup;Design & API Evolution;Documentation;Feature / Improvement Implementation;Other;Performance Optimization;Project / General Task;Testing & Verification,125;40;3;16;24;38;14;1;22;26,132.5,expert
A-117,4751d950-7b11-4605-9909-2e11afcff69a,Bug fixing / Maintenance;Performance Optimization;Testing & Verification,1;1;2,34.0,mid
A-118,988fa4d3-f9c1-4c8f-8131-2c7f51e7da16,Bug fixing / Maintenance;Build & Release Engineering;Code Refactoring & Cleanup;Design & API Evolution;Documentation;Feature / Improvement Implementation;Other;Project / General Task;Testing & Verification,30;6;1;2;1;18;8;1;2,111.5,expert
A-119,35974b75-bb49-4ad4-b57a-a4b03baecaa0,Bug fixing / Maintenance;Build & Release Engineering;Design & API Evolution;Documentation;Feature / Improvement Implementation;Other;Performance Optimization;Project / General Task;Testing & Verification,119;47;12;15;33;2;1;28;77,130.5,expert
A-12,0aae928c-88c5-4f93-9803-20624285e82b,Bug fixing / Maintenance;Feature / Improvement Implementation,7;1,24.0,junior
A-120,34748da2-cc00-4c81-b981-9db26c3854dd,Bug fixing / Maintenance;Build & Release Engineering;Feature / Improvement Implementation,1;2;4,43.0,mid
A-121,fdfe8079-9964-4b58-b10e-ac728a817a38,Bug fixing / Maintenance;Build & Release Engineering;Project / General Task,15;4;2,44.0,mid
A-122,95ac5367-4bba-4362-b06e-11e82e03aead,Design & API Evolution,1,30.0,junior
A-123,14712315-e264-4310-8501-12825ee77677,Build & Release Engineering;Testing & Verification,1;1,24.0,junior
A-124,40603149-daf9-46ff-89e7-174d12d0c178,Bug fixing / Maintenance,1,18.0,junior
A-125,b8d3fe48-e110-4a7a-9ed3-f1491ff42379,Bug fixing / Maintenance,3,18.0,junior
A-126,a748e2d9-8af5-40ad-97f8-dc92d54c8869,Bug fixing / Maintenance;Build & Release Engineering;Documentation;Feature / Improvement Implementation;Other;Performance Optimization;Testing & Verification,15;2;1;1;1;1;1,66.0,senior
A-127,de1356cb-ba37-4bb4-8a00-4d49752688d1,Bug fixing / Maintenance,1,18.0,junior
A-128,051dd826-36eb-42bb-8069-4c590dcb9b8f,Bug fixing / Maintenance,1,18.0,junior
A-129,579c5f94-6b12-497e-88a5-5c501664c669,Bug fixing / Maintenance;Documentation,37;1,23.5,junior
A-13,85d7ca9a-d6a5-4115-b91b-5673af911b83,Other,1,10.0,junior
A-130,984c1748-71a5-41e9-a9a4-26221154b575,Bug fixing / Maintenance,3,18.0,junior
A-131,07ee2cd8-7175-4dbd-bd94-1f8f4eb06923,Bug fixing / Maintenance;Build & Release Engineering;Design & API Evolution;Feature / Improvement Implementation;Other;Performance Optimization;Project / General Task,15;1;3;7;1;1;1,70.0,senior
A-132,fbdacb61-6962-41dc-b1ae-e0341c238bd6,Bug fixing / Maintenance,3,18.0,junior
A-133,26db85de-66d5-416a-86b0-6182d693c0de,Bug fixing / Maintenance;Build & Release Engineering;Design & API Evolution;Documentation;Feature / Improvement Implementation;Other;Performance Optimization;Project / General Task;Testing & Verification,65;3;6;4;24;2;1;1;9,130.5,expert
A-134,cf5a5764-f8d8-4c71-a764-bbb05ba19f64,Bug fixing / Maintenance;Documentation;Feature / Improvement Implementation,9;1;8,41.0,mid
A-135,90c38afa-aff9-49a1-88af-540f586aec42,Bug fixing / Maintenance,2,18.0,junior
A-136,03e62f68-1db8-4d13-99f8-95113ef7cff8,Bug fixing / Maintenance;Build & Release Engineering;Code Refactoring & Cleanup;Design & API Evolution;Documentation;Feature / Improvement Implementation;Other;Performance Optimization;Project / General Task;Testing & Verification,707;40;12;21;23;60;201;11;4;100,132.5,expert
A-137,782be755-e073-419d-a7d5-8c0b986f20be,Bug fixing / Maintenance,1,18.0,junior
A-138,927bce68-8b22-4575-8d5e-6a843125eb3c,Bug fixing / Maintenance;Build & Release Engineering,1;1,23.0,junior
A-139,2726c44a-5466-4e99-aa2e-3395213f6b8d,Bug fixing / Maintenance;Build & Release Engineering;Code Refactoring & Cleanup;Design & API Evolution;Documentation;Feature / Improvement Implementation;Other;Performance Optimization;Testing & Verification,114;13;2;12;22;23;39;4;91,137.5,expert
A-14,d55fbbad-034a-4900-ab3b-309186e82c97,Bug fixing / Maintenance;Build & Release Engineering;Design & API Evolution;Documentation;Feature / Improvement Implementation;Performance Optimization;Project / General Task;Testing & Verification,25;12;7;3;12;1;1;7,85.0,senior
A-140,6f8b2ff8-2c02-490b-bb32-b85f366b8d93,Build & Release Engineering,1,28.0,junior
A-141,63cdd23f-678c-4dad-86b5-92c1be5d0bc8,Bug fixing / Maintenance;Design & API Evolution;Feature / Improvement Implementation;Other;Performance Optimization;Testing & Verification,1;4;7;3;1;1,69.5,senior
A-142,14232596-4e96-486f-a4e3-808adec821c7,Bug fixing / Maintenance,1,18.0,junior
A-143,5d938c8b-f3ff-4440-bbcb-7b94a14193cf,Bug fixing / Maintenance;Feature / Improvement Implementation,1;1,20.0,junior
A-144,f3bc786a-e38c-4c90-b7ef-725cb58c8124,Testing & Verification,1,20.0,junior
A-145,ef84f0f9-fa07-4e12-ab67-2900e5f98ab9,Bug fixing / Maintenance,3,18.0,junior
A-146,c55bf898-cfe0-4885-8705-7ab856bff43b,Bug fixing / Maintenance,3,18.0,junior
A-147,67dd98d4-b3b2-4ef5-bcbb-d6efdbdbf633,Bug fixing / Maintenance,2,18.0,junior
A-148,7d3c12cd-7d68-4033-a5fc-5b3b3ea22798,Bug fixing / Maintenance;Design & API Evolution;Documentation;Feature / Improvement Implementation,28;1;2;11,47.5,mid
A-149,4d769156-4e83-493b-a797-f89c3668b0c2,Bug fixing / Maintenance;Build & Release Engineering;Design & API Evolution;Documentation;Feature / Improvement Implementation,18;2;1;2;11,50.0,mid
A-15,93ab6c02-cda0-481f-bb8e-e7113033e37b,Documentation,1,16.0,junior
A-150,34cbfdb5-d492-41a8-aead-47a6d27d9a89,Bug fixing / Maintenance,3,18.0,junior
A-151,ce411fe3-c9a0-4760-995f-3dca3e547e19,Bug fixing / Maintenance;Documentation;Feature / Improvement Implementation;Other;Testing & Verification,18;2;7;2;1,38.0,mid
A-152,3fce2fa3-2c3b-4aea-b2eb-cb2caf656715,Bug fixing / Maintenance;Build & Release Engineering;Design & API Evolution,1;1;1,40.5,mid
A-153,c56b3128-0619-4b19-8771-d487b4520f71,Bug fixing / Maintenance,5,21.5,junior
A-154,538c181a-1ac9-4269-ab16-54eec869fb5e,Bug fixing / Maintenance,4,18.0,junior
A-155,8f30f6f9-9e93-4f38-9652-ed6948ce0f10,Bug fixing / Maintenance;Design & API Evolution;Testing & Verification,3;1;2,43.0,mid
