Task_ID,Topo_Level,Batch_Index,Summary,Task_Tag,Priority,Duration_Hours,Assigned_To,Start_Hour,End_Hour,Skill_Match,Topo_Order
43,1,1,4 javadoc warnings (broken glass),Documentation,Trivial,2.0,A-150,0.0,2.0,0,1
81,1,1,Validation structure of interface methods should be cleaned up,Bug fixing / Maintenance,Trivial,1.6,A-126,0.0,1.6,1,2
10,1,1,Service interface needs toElement() and ServiceElement interface needs toComponent(),Design & API Evolution,Minor,3.0,A-292,0.0,3.0,0,3
101,1,1,OMXMLElementTest class incorrectly returning the DOMXMLElementTest class as its test suit.,Testing & Verification,Minor,2.0,A-362,0.0,2.0,1,4
11,1,1,Service should have getEndpoint() method for consistency,Bug fixing / Maintenance,Minor,2.5,A-172,0.0,2.5,0,5
111,1,1,XMLElement should provide a method to retrieve its text content.,Feature / Improvement Implementation,Minor,2.0,A-119,0.0,2.0,1,6
113,1,1,WSDL-viewer contribution,Feature / Improvement Implementation,Minor,2.0,A-69,0.0,2.0,1,7
126,1,1,Calling getSource() method on XMLElement interface returns NullPointerException in OM implementation ,Bug fixing / Maintenance,Minor,2.5,A-371,0.0,2.5,0,8
131,1,1,Code should use Java generics,Feature / Improvement Implementation,Minor,3.0,A-138,0.0,3.0,0,9
135,1,1,Exception when serializing empty Description.,Bug fixing / Maintenance,Minor,2.5,A-363,0.0,2.5,0,10
137,1,1,Improve User Guide,Documentation,Minor,3.0,A-160,0.0,3.0,0,11
15,1,1,DOMWSDLReader.parseBinding() check that we have a valid NCName before setting it on the new BindingImpl,Bug fixing / Maintenance,Minor,3.0,A-351,0.0,3.0,0,12
150,1,1,"WSDL-viewer does not distinguish between nillable=""true"" and nillable=""false""",Bug fixing / Maintenance,Minor,2.5,A-38,0.0,2.5,0,13
17,1,1,Parse a WSDL document from a DOM Element,Documentation,Minor,3.0,A-266,0.0,3.0,0,14
23,1,1,StAX based parsing for Woden,Feature / Improvement Implementation,Minor,2.0,A-198,0.0,2.0,1,15
29,1,1,Move trunk from .../woden/java to .../woden/trunk/java,Project / General Task,Minor,3.0,A-44,0.0,3.0,0,16
37,1,1,Problem with Test Case: javax/xml/namespace/QNameTest/testGoodDeserializeQNameWithoutPrefix(),Testing & Verification,Minor,3.0,A-403,0.0,3.0,0,17
38,1,1,Multiple wsdl*xsd files,Feature / Improvement Implementation,Minor,2.0,A-315,0.0,2.0,1,18
6,1,1,Duplicate Validation feature constant,Project / General Task,Minor,3.0,A-45,0.0,3.0,0,19
69,1,1,readWSDL method args should be java.net.URI instead of String,Feature / Improvement Implementation,Minor,2.5,A-277,0.0,2.5,0,20
79,1,1,Implement the EBNF grammar for HTTP Location,Feature / Improvement Implementation,Minor,2.0,A-141,0.0,2.0,1,21
86,1,1,Document the URI Resolver in the Woden userguide.,Documentation,Minor,3.0,A-214,0.0,3.0,0,22
96,1,1,style default from interface not applied to operations,Bug fixing / Maintenance,Minor,2.5,A-334,0.0,2.5,0,23
97,1,1,"parser does not handle faults with element=""#any"" etc.",Bug fixing / Maintenance,Minor,2.5,A-186,0.0,2.5,0,24
99,1,1,Use svn:eol-style=native,Bug fixing / Maintenance,Minor,2.5,A-250,0.0,2.5,0,25
1,1,1,Create an Ant Task to Validate a Set of WSDL 2.0 Files,Feature / Improvement Implementation,Major,3.3000000000000003,A-23,0.0,3.3000000000000003,0,26
100,1,1,OMWSDLReader mismatch with DOMWSDLFactory,Bug fixing / Maintenance,Major,2.2,A-114,0.0,2.2,1,27
102,1,1,Remove QNameUtils class,Feature / Improvement Implementation,Major,3.3000000000000003,A-274,0.0,3.3000000000000003,0,28
103,1,1,FlickrHTTP-1G test fails due to NS prefix and interface extension errors,Testing & Verification,Major,2.2,A-410,0.0,2.2,1,29
104,1,1,Correct the WSDL object model implementation inheritance,Bug fixing / Maintenance,Major,2.75,A-180,0.0,2.75,0,30
105,1,1,Include the prefix in QNames from the target namespace,Bug fixing / Maintenance,Major,4.4,A-206,0.0,4.4,0,31
106,1,1,ImportElement and IncludeElement should extend NestedElement,Bug fixing / Maintenance,Major,4.4,A-50,4.4,8.8,0,32
107,1,1,Remove the setParentElement method from the API,Bug fixing / Maintenance,Major,2.2,A-221,0.0,2.2,1,33
108,1,1,Share client-configurable objects across the Woden implementation,Design & API Evolution,Major,3.3000000000000003,A-67,0.0,3.3000000000000003,0,34
109,1,1,DescriptionImpl methods addElementDeclaration and addTypeDefinition should not be public,Feature / Improvement Implementation,Major,2.2,A-237,0.0,2.2,1,35
110,1,1,Remove WSDLReader.readWSDL methods that take an ErrorHandler parameter,Feature / Improvement Implementation,Major,3.3000000000000003,A-193,0.0,3.3000000000000003,0,36
112,1,1,getInterfaceMessageReferenceElement() method required on BindingMessageReferenceElement,Documentation,Major,2.2,A-7,0.0,2.2,1,37
114,1,1,Create a Test Suite for the WSDL Viewer,Testing & Verification,Major,4.4,A-355,0.0,4.4,0,38
115,1,1,NPE when interface extension used with Element API,Bug fixing / Maintenance,Major,2.75,A-98,0.0,2.75,0,39
116,1,1,URISyntaxException in SimpleURIResolver when path contains spaces,Bug fixing / Maintenance,Major,3.3000000000000003,A-158,0.0,3.3000000000000003,0,40
119,1,1,Improve formatting of messages with no message parameters,Feature / Improvement Implementation,Major,3.3000000000000003,A-90,0.0,3.3000000000000003,0,41
12,1,1,Component Model is Missing {http location uncited ignored},Bug fixing / Maintenance,Major,3.3000000000000003,A-386,0.0,3.3000000000000003,0,42
120,1,1,WSDL-Viewer support for SOAP Headers,Feature / Improvement Implementation,Major,4.4,A-169,0.0,4.4,0,43
122,1,1,Remove return type from validate method,Bug fixing / Maintenance,Major,3.3000000000000003,A-142,0.0,3.3000000000000003,0,44
125,1,1,Schema resolving issue in Axis2,Design & API Evolution,Major,4.4,A-294,0.0,4.4,0,45
127,1,1,WSDL-Viewer: Self-referencing element within a xsd:choice block circumvents anti-recursion,Bug fixing / Maintenance,Major,2.2,A-229,0.0,2.2,1,46
128,1,1,Infinite loop with wsdl viewer,Bug fixing / Maintenance,Major,4.4,A-55,0.0,4.4,0,47
129,1,1,WSDL-Viewer no longer able to resolve relative url for XSD's in certain situations,Bug fixing / Maintenance,Major,3.3000000000000003,A-111,0.0,3.3000000000000003,0,48
13,1,1,HTTP Extensions Fail To Parse SparqlQuery-1G Correctly,Bug fixing / Maintenance,Major,3.3000000000000003,A-205,0.0,3.3000000000000003,0,49
130,1,1,Circular reference in referenced XSD causes infinite loop,Documentation,Major,4.4,A-161,0.0,4.4,0,50
132,1,1,OMWSDLReader should support to read from WSDLSource.,Feature / Improvement Implementation,Major,3.3000000000000003,A-182,0.0,3.3000000000000003,0,51
134,1,1,Dependencies should refactor among modules.,Build & Release Engineering,Major,2.2,A-411,0.0,2.2,1,52
136,1,1,Some files missing licence details ,Bug fixing / Maintenance,Major,2.2,A-167,0.0,2.2,1,53
138,1,1,"Error while converting wsdl 1.0 to wsdl 2.0 , when wsdl 1.0 has messages with more than 1 part",Bug fixing / Maintenance,Major,4.4,A-122,0.0,4.4,0,54
139,1,1,Woden parsing error found when deploying service AAR in simple Axis2 server,Bug fixing / Maintenance,Major,3.3000000000000003,A-102,0.0,3.3000000000000003,0,55
140,1,1,xml:lang attribute not written on the DocumentationElements,Documentation,Major,4.4,A-196,0.0,4.4,0,56
141,1,1,wsdl-viewer does not generate request types if same request and response types are used in two different operations,Bug fixing / Maintenance,Major,3.3000000000000003,A-367,0.0,3.3000000000000003,0,57
142,1,1,Upgrade  Woden trunk to use XmlSchema 2   ,Build & Release Engineering,Major,2.2,A-60,0.0,2.2,1,58
143,1,1,Failed to build Woden on Java 7 - unit test fails,Testing & Verification,Major,2.75,A-75,0.0,2.75,0,59
144,1,1,"Woden WSDLReader returns invalid WSDL Description when multiple ""style"" tags are present",Bug fixing / Maintenance,Major,2.75,A-303,0.0,2.75,0,60
145,1,1,Syntax error in DOAP file release section,Bug fixing / Maintenance,Major,2.2,A-96,0.0,2.2,1,61
146,1,1,wsdl-viewer schemaLocation with query params rendered without escaping,Bug fixing / Maintenance,Major,2.2,A-148,0.0,2.2,1,62
148,1,1,cannot compiler woden,Bug fixing / Maintenance,Major,3.3000000000000003,A-281,0.0,3.3000000000000003,0,63
149,1,1,Code error in org.apache.woden.internal.DOMWSDLWriter,Bug fixing / Maintenance,Major,3.3000000000000003,A-341,0.0,3.3000000000000003,0,64
16,1,1,<types> is missing prefix declarations,Bug fixing / Maintenance,Major,3.3000000000000003,A-82,0.0,3.3000000000000003,0,65
18,1,1,Un-necessary schema definition returned by Woden,Bug fixing / Maintenance,Major,3.3000000000000003,A-288,0.0,3.3000000000000003,0,66
19,1,1,DescriptionElement.setTargetNamespace() should filter down to child elements,Feature / Improvement Implementation,Major,3.3000000000000003,A-394,0.0,3.3000000000000003,0,67
20,1,1,Upgrade Ant Task to Write 2006-06-10 Version of Component Model Interchange Format,Build & Release Engineering,Major,4.4,A-195,0.0,4.4,0,68
22,1,1,WSDL Convertor drops the schema namespace during Conversion,Bug fixing / Maintenance,Major,2.2,A-5,0.0,2.2,1,69
25,1,1,Use composition in the element model instead of aggregation,Feature / Improvement Implementation,Major,3.3000000000000003,A-342,0.0,3.3000000000000003,0,70
26,1,1,Refactor Ant Task Implementation by Namespace,Code Refactoring & Cleanup,Major,4.4,A-112,0.0,4.4,0,71
28,1,1,Create ElementSource as an abstraction to eliminate DOM dependencies from the Woden API,Build & Release Engineering,Major,4.4,A-153,0.0,4.4,0,72
3,1,1,HTTP Binding Extensions,Feature / Improvement Implementation,Major,2.75,A-331,0.0,2.75,0,73
30,1,1,Unit tests for WSDL import and include,Testing & Verification,Major,2.2,A-6,0.0,2.2,1,74
32,1,1,Unit tests for Feature and Property,Testing & Verification,Major,4.4,A-101,0.0,4.4,0,75
