issue_key,summary,group_key,group_domain,group_release,group_worktype,group_priority,group_has_pr,dev_has_activity,indegree,outdegree,component_id,is_root,is_leaf
WODEN-1,element attr of interface->input can contain a type and no validation error is reported,,,,,,,,0,0,231,1,1
WODEN-10,Test Case Failure: test-suite/documents/good/SchemaId-1G/schemaIds.wsdl,,,,,,,,0,0,219,1,1
WODEN-100,Resolve Errors in W3C Test Schema-1G,,,,,,,,0,0,228,1,1
WODEN-101,Resolve Errors in W3C Test SparqlQuery-1G,,,,,,,,0,0,220,1,1
WODEN-102,Resolve Errors in W3C Test SparqlQuerySimplified-1G,,,,,,,,0,0,3,1,1
WODEN-103,Woden is failing several binding assertions in the WSDL validation report,,,,,,,,0,0,27,1,1
WODEN-104,Woden is failing several import/include assertions in the WSDL validation report,,,,,,,,0,0,216,1,1
WODEN-105,Woden is failing several interface assertions in the WSDL validation report,,,,,,,,0,0,127,1,1
WODEN-106,Woden is failing several types/schema assertions in the WSDL validation report,,,,,,,,0,0,218,1,1
WODEN-107,Woden is failing several qname assertions in the WSDL validation report,,,,,,,,0,0,121,1,1
WODEN-108,Include README (including incubation disclaimer) in woden jars,,,,,,,,0,0,163,1,1
WODEN-109,"Include ""incubating"" in the jar names",,,,,,,,0,0,227,1,1
WODEN-11,Test Case Failure: test-suite/documents/good/SparqlQuery-1G/sparql-protocol-query.wsdl,,,,,,,,0,0,32,1,1
WODEN-110,MessageTest-2G does not return httplocation correctly,,,,,,,,0,0,13,1,1
WODEN-111,Technical documentation on Woden architecture and design,,,,,,,,0,0,183,1,1
WODEN-112,Woden Use Cases,,,,,,,,0,0,41,1,1
WODEN-113,ErrorInfo should show Line/Column nos.,,,,,,,,0,0,119,1,1
WODEN-114,Handling non-W3C XML Schema type systems,,,,,,,,0,0,174,1,1
WODEN-115,Support WSDL 2.0 <description> nested within other XML documents,,,,,,,,0,0,74,1,1
WODEN-116,woden build.properties no longer reflects current ant version,,,,,,,,0,0,25,1,1
WODEN-117,BindingFaultReferenceElement provides no Direction attribute,,,,,,,,0,0,240,1,1
WODEN-118,NPE when <import> location does not resolve to a document,,,,,,,,0,0,190,1,1
WODEN-119,readWSDL method args should be java.net.URI instead of String,,,,,,,,0,0,87,1,1
WODEN-12,Test Case Failure: test-suite/documents/good/CreditCardFaults-1G/use-credit-card-faults.wsdl,,,,,,,,0,0,62,1,1
WODEN-120,readWSDL methods should return Description not DescriptionElement,,,,,,,,0,0,109,1,1
WODEN-121,Problem in Obtaining Mep (of operation Guaranteed Fault) in MessageTest-1G ,,,,,,,,0,0,122,1,1
WODEN-122,Implement EBNFgrammar for {http location}  in HTTPLocation class,,,,,,,,0,0,94,1,1
WODEN-123,Component model should contain ALL schema elements and types,,,,,,,,0,0,213,1,1
WODEN-124,"Resolve wsdl:import by namespace, local cache first",,,,,,,,0,0,7,1,1
WODEN-125,QName.valueOf behaviour does not match the Javadoc,,,,,,,,0,0,45,1,1
WODEN-126,Underlying <xs:schema> element should be accessible from API,,,,,,,,0,0,50,1,1
WODEN-127,Testcase HTTPBinding-2G fails,,,,,,,,0,0,221,1,1
