Task_ID,Topo_Level,Batch_Index,Solution_Index,Summary,Task_Tag,Priority,Duration_Hours,Assigned_To,Start_Hour,End_Hour,Skill_Match
43,1,1,1,4 javadoc warnings (broken glass),Documentation,Trivial,2.0,A-62,0.0,8.8,0
81,1,1,1,Validation structure of interface methods should be cleaned up,Bug fixing / Maintenance,Trivial,1.6,A-135,0.0,8.8,1
10,1,1,1,Service interface needs toElement() and ServiceElement interface needs toComponent(),Design & API Evolution,Minor,3.0,A-15,0.0,8.8,0
101,1,1,1,OMXMLElementTest class incorrectly returning the DOMXMLElementTest class as its test suit.,Testing & Verification,Minor,3.0,A-197,0.0,8.8,0
11,1,1,1,Service should have getEndpoint() method for consistency,Bug fixing / Maintenance,Minor,2.0,A-240,0.0,8.8,1
111,1,1,1,XMLElement should provide a method to retrieve its text content.,Feature / Improvement Implementation,Minor,2.5,A-17,0.0,8.8,0
113,1,1,1,WSDL-viewer contribution,Feature / Improvement Implementation,Minor,2.0,A-77,0.0,8.8,1
126,1,1,1,Calling getSource() method on XMLElement interface returns NullPointerException in OM implementation ,Bug fixing / Maintenance,Minor,2.5,A-194,0.0,8.8,0
131,1,1,1,Code should use Java generics,Feature / Improvement Implementation,Minor,2.5,A-292,0.0,8.8,0
135,1,1,1,Exception when serializing empty Description.,Bug fixing / Maintenance,Minor,2.0,A-198,0.0,8.8,1
137,1,1,1,Improve User Guide,Documentation,Minor,3.0,A-71,0.0,8.8,0
15,1,1,1,DOMWSDLReader.parseBinding() check that we have a valid NCName before setting it on the new BindingImpl,Bug fixing / Maintenance,Minor,2.5,A-80,0.0,8.8,0
150,1,1,1,"WSDL-viewer does not distinguish between nillable=""true"" and nillable=""false""",Bug fixing / Maintenance,Minor,2.5,A-86,0.0,8.8,0
17,1,1,1,Parse a WSDL document from a DOM Element,Documentation,Minor,2.0,A-362,0.0,8.8,1
23,1,1,1,StAX based parsing for Woden,Feature / Improvement Implementation,Minor,2.0,A-163,0.0,8.8,1
29,1,1,1,Move trunk from .../woden/java to .../woden/trunk/java,Project / General Task,Minor,3.0,A-385,0.0,8.8,0
37,1,1,1,Problem with Test Case: javax/xml/namespace/QNameTest/testGoodDeserializeQNameWithoutPrefix(),Testing & Verification,Minor,2.0,A-20,0.0,8.8,1
38,1,1,1,Multiple wsdl*xsd files,Feature / Improvement Implementation,Minor,2.0,A-323,0.0,8.8,1
6,1,1,1,Duplicate Validation feature constant,Project / General Task,Minor,3.0,A-242,0.0,8.8,0
69,1,1,1,readWSDL method args should be java.net.URI instead of String,Feature / Improvement Implementation,Minor,2.5,A-373,0.0,8.8,0
79,1,1,1,Implement the EBNF grammar for HTTP Location,Feature / Improvement Implementation,Minor,2.0,A-215,0.0,8.8,1
86,1,1,1,Document the URI Resolver in the Woden userguide.,Documentation,Minor,2.5,A-291,0.0,8.8,0
