issue_key,event_time,from_status,to_status
MJAR-282,2022-01-05T17:33:32.359000+00:00,Open,Closed
MJAR-281,2022-01-05T17:34:07.935000+00:00,Open,Closed
MJAR-279,2021-10-26T16:12:46.583000+00:00,Open,Closed
MJAR-278,2021-10-15T12:16:01.167000+00:00,Open,In Progress
MJAR-276,2022-01-05T17:35:27.098000+00:00,Open,Closed
MJAR-273,2022-01-05T17:30:22.112000+00:00,Open,Closed
MJAR-272,2020-06-09T21:04:48.314000+00:00,Open,Closed
MJAR-270,2021-12-19T17:59:50.947000+00:00,Open,Closed
MJAR-269,2020-01-17T22:42:05.666000+00:00,Open,Closed
MJAR-268,2022-01-05T18:02:22.710000+00:00,Open,Closed
MJAR-266,2019-08-28T07:25:47.173000+00:00,Open,Closed
MJAR-263,2019-11-03T09:13:46.490000+00:00,Open,Closed
MJAR-261,2018-12-06T16:23:25.277000+00:00,Open,In Progress
MJAR-261,2018-12-06T16:32:23.658000+00:00,In Progress,Closed
MJAR-260,2018-12-06T16:33:54.927000+00:00,Open,Closed
MJAR-259,2019-05-08T20:04:20.317000+00:00,Open,In Progress
MJAR-259,2019-05-08T20:05:17.168000+00:00,In Progress,Closed
MJAR-258,2018-10-23T14:30:25.664000+00:00,Open,Closed
MJAR-257,2019-12-18T07:23:19.421000+00:00,Open,Closed
MJAR-256,2018-08-31T11:51:25.220000+00:00,Open,In Progress
MJAR-256,2018-08-31T11:52:05.220000+00:00,In Progress,Closed
MJAR-255,2018-07-29T09:00:21.027000+00:00,Open,Closed
MJAR-254,2019-01-16T22:39:00.958000+00:00,Open,Closed
MJAR-253,2019-05-08T20:10:06.775000+00:00,Open,Closed
MJAR-252,2018-05-18T14:36:27.292000+00:00,Open,Closed
MJAR-251,2018-05-19T10:35:32.403000+00:00,Open,Closed
MJAR-249,2018-03-28T18:41:46.252000+00:00,Open,In Progress
MJAR-249,2018-03-30T17:54:04.900000+00:00,In Progress,Closed
MJAR-248,2019-02-16T20:49:49.413000+00:00,Open,Closed
MJAR-247,2018-03-16T13:57:21.353000+00:00,Open,Closed
MJAR-246,2018-02-14T05:53:07.430000+00:00,Open,Closed
MJAR-245,2018-03-28T18:23:16.308000+00:00,Open,In Progress
MJAR-245,2018-03-30T18:10:50.977000+00:00,In Progress,Closed
MJAR-244,2018-02-22T22:37:09.386000+00:00,Open,Closed
MJAR-243,2017-12-26T14:36:08.002000+00:00,Open,Closed
MJAR-242,2017-12-06T20:04:33+00:00,Open,Closed
MJAR-241,2018-05-19T10:41:51.914000+00:00,Open,Closed
MJAR-240,2018-03-30T20:19:54.946000+00:00,Open,Closed
MJAR-238,2018-03-16T13:55:26.092000+00:00,Open,Closed
MJAR-238,2018-03-16T13:56:54.325000+00:00,Closed,Reopened
MJAR-238,2019-01-17T18:29:51.360000+00:00,Reopened,Closed
MJAR-237,2017-09-16T16:37:55.965000+00:00,Open,Closed
MJAR-236,2017-04-15T10:52:51.554000+00:00,Open,Closed
MJAR-235,2017-04-15T10:20:51.766000+00:00,Open,Closed
MJAR-234,2017-03-25T09:44:06.209000+00:00,Open,Closed
MJAR-233,2016-08-08T18:58:01.792000+00:00,Open,Closed
MJAR-232,2017-01-13T14:21:13.766000+00:00,Open,Closed
MJAR-230,2016-06-18T12:39:27.157000+00:00,Open,Closed
MJAR-229,2016-06-18T13:49:23.955000+00:00,Open,Closed
MJAR-228,2016-06-18T13:49:10.440000+00:00,Open,Closed
MJAR-227,2016-05-29T15:44:50.389000+00:00,Open,Resolved
MJAR-227,2016-05-29T15:44:56.255000+00:00,Resolved,Closed
MJAR-226,2016-06-06T19:19:13.161000+00:00,Open,Closed
