Task_ID,Topo_Level,Batch_Index,Summary,Task_Tag,Priority,Duration_Hours,Assigned_To,Start_Hour,End_Hour,Skill_Match,Topo_Order
1001,1,1,The documentation still points to 2008 in the copyright notice,Documentation,Trivial,1.6,A-366,0.0,1.6,1,1
1003,1,1,minor typos in ZooKeeper Programmer's Guide web page,Documentation,Trivial,1.6,A-79,0.0,1.6,1,2
1026,1,1,"zookeeper client does not accept ""-members"" option in reconfig command",Bug fixing / Maintenance,Trivial,1.6,A-139,0.0,1.6,1,3
1040,1,1,Please add download link for tutorial,Feature / Improvement Implementation,Trivial,2.0,A-31,0.0,2.0,0,4
1047,1,1,wrong time calculation in zkfuse.cc,Bug fixing / Maintenance,Trivial,1.6,A-236,0.0,1.6,1,5
1065,1,1,bin scripts don't dereference symlinks,Documentation,Trivial,1.6,A-87,0.0,1.6,1,6
1082,1,1,"Update code conventions link on ""How to contribute"" page",Bug fixing / Maintenance,Trivial,1.6,A-404,0.0,1.6,1,7
1101,1,1,"Move common code from {Follower, Observer}ZooKeeperServer into LearnerZooKeeperServer",Design & API Evolution,Trivial,2.0,A-195,0.0,2.0,0,8
1110,1,1,Tolerate incorrectly set system hostname in tests,Testing & Verification,Trivial,1.6,A-400,0.0,1.6,1,9
1125,1,1,addrvec_next() fails to set next parameter if addrvec_hasnext() returns false,Bug fixing / Maintenance,Trivial,1.6,A-371,0.0,1.6,1,10
1136,1,1,cppunit test testNonexistingHost in TestZookeeperInit is failing on Unbuntu,Testing & Verification,Trivial,2.0,A-158,0.0,2.0,0,11
1182,1,1,bump version in the C library as we prepare for 3.5.0 release,Build & Release Engineering,Trivial,1.6,A-20,0.0,1.6,1,12
1232,1,1,typos in zookeeperProgrammers,Bug fixing / Maintenance,Trivial,1.6,A-347,0.0,1.6,1,13
1279,1,1,Typo in src/c/src/load_gen.c,Bug fixing / Maintenance,Trivial,1.6,A-365,0.0,1.6,1,14
1291,1,1,ruok command is not consistent with other four letter commands,Bug fixing / Maintenance,Trivial,1.6,A-145,0.0,1.6,1,15
1298,1,1,Remove ZOO_NOTWATCHING_EVENT,Feature / Improvement Implementation,Trivial,1.6,A-320,0.0,1.6,1,16
1315,1,1,Typo in Watcher.java,Feature / Improvement Implementation,Trivial,1.6,A-345,0.0,1.6,1,17
1326,1,1,Let DataNode.getChildren() return an unmodifiable view of its children set,Feature / Improvement Implementation,Trivial,1.6,A-81,0.0,1.6,1,18
1335,1,1,Add missing packet types to LearnerHandler.packetToString(),Feature / Improvement Implementation,Trivial,1.6,A-88,0.0,1.6,1,19
1336,1,1,Enhance error logs with LearnerHandler.packetToString(),Feature / Improvement Implementation,Trivial,2.0,A-338,0.0,2.0,0,20
