from_issue_key,to_issue_key,link_type,raw_link_type,direction,from_summary,to_summary,same_group,same_component,same_release
ZOOKEEPER-2342,ZOOKEEPER-3737,is blocked by,Blocker,inward,Migrate to Log4J 2.,Unable to eliminate log4j1 transitive dependency,0,0,0
ZOOKEEPER-3630,ZOOKEEPER-3599,blocks,Blocker,outward,Autodetection of SSL library during Zookeeper C client build,"cli.c: Resuscitate ""old-style"" argument parsing",0,0,0
ZOOKEEPER-3630,ZOOKEEPER-3599,is blocked by,Blocker,inward,Autodetection of SSL library during Zookeeper C client build,"cli.c: Resuscitate ""old-style"" argument parsing",0,0,0
ZOOKEEPER-2122,ZOOKEEPER-3567,is blocked by,Blocker,inward,Impplement SSL support in the Zookeeper C client library,Add SSL support for the zk python client,0,0,0
ZOOKEEPER-3534,ZOOKEEPER-3478,Blocked,Blocked,outward,Non-stop communication between participants and observers.,Leader restart shuts down all the followers,0,0,0
ZOOKEEPER-3436,ZOOKEEPER-3530,is blocked by,Blocker,inward,Enhance Mavenized Make C client ,Include compiled C-client in the binary tarball,0,0,0
ZOOKEEPER-3534,ZOOKEEPER-3478,Blocked,Blocked,inward,Non-stop communication between participants and observers.,Leader restart shuts down all the followers,0,0,0
ZOOKEEPER-3436,ZOOKEEPER-3530,blocks,Blocker,outward,Enhance Mavenized Make C client ,Include compiled C-client in the binary tarball,0,0,0
ZOOKEEPER-3402,ZOOKEEPER-3374,blocks,Blocker,outward,Add a multiRead operation,Use MultiRead operation in the BFS utility,0,0,0
ZOOKEEPER-3402,ZOOKEEPER-3381,blocks,Blocker,outward,Add a multiRead operation,Add multi watchregistration support for multiRead operation,0,0,0
ZOOKEEPER-3402,ZOOKEEPER-3381,is blocked by,Blocker,inward,Add a multiRead operation,Add multi watchregistration support for multiRead operation,0,0,0
ZOOKEEPER-3402,ZOOKEEPER-3374,is blocked by,Blocker,inward,Add a multiRead operation,Use MultiRead operation in the BFS utility,0,0,0
ZOOKEEPER-3221,ZOOKEEPER-645,Blocked,Blocked,outward,WriteLock in recipes may get wrong child name as lock id,Bug in WriteLock recipe implementation?,0,0,0
ZOOKEEPER-3188,ZOOKEEPER-3189,is blocked by,Blocker,inward,Improve resilience to network,Support new configuration syntax for resilient network feature,0,0,0
ZOOKEEPER-3188,ZOOKEEPER-3189,blocks,Blocker,outward,Improve resilience to network,Support new configuration syntax for resilient network feature,0,0,0
ZOOKEEPER-3016,ZOOKEEPER-2186,Blocked,Blocked,outward,Follower QuorumCnxManager$Listener thread died due to incorrect client packet,QuorumCnxManager#receiveConnection may crash with random input,0,0,0
ZOOKEEPER-2789,ZOOKEEPER-1277,Blocked,Blocked,outward,Reassign `ZXID` for solving 32bit overflow problem,servers stop serving when lower 32bits of zxid roll over,0,0,0
ZOOKEEPER-2684,ZOOKEEPER-2024,Blocked,Blocked,outward,Fix a crashing bug in the mixed workloads commit processor,Major throughput improvement with mixed workloads,0,0,0
ZOOKEEPER-2342,ZOOKEEPER-3737,blocks,Blocker,outward,Migrate to Log4J 2.,Unable to eliminate log4j1 transitive dependency,0,0,0
ZOOKEEPER-2280,ZOOKEEPER-2238,blocks,Blocker,outward,NettyServerCnxnFactory doesn't honor maxClientCnxns param,Support limiting the maximum number of connections/clients to a zookeeper server.,0,0,0
ZOOKEEPER-2280,ZOOKEEPER-2238,is blocked by,Blocker,inward,NettyServerCnxnFactory doesn't honor maxClientCnxns param,Support limiting the maximum number of connections/clients to a zookeeper server.,0,0,0
ZOOKEEPER-3016,ZOOKEEPER-2186,Blocked,Blocked,inward,Follower QuorumCnxManager$Listener thread died due to incorrect client packet,QuorumCnxManager#receiveConnection may crash with random input,0,0,0
ZOOKEEPER-2122,ZOOKEEPER-3567,blocks,Blocker,outward,Impplement SSL support in the Zookeeper C client library,Add SSL support for the zk python client,0,0,0
ZOOKEEPER-901,ZOOKEEPER-2080,is blocked by,Blocker,inward,Redesign of QuorumCnxManager,Fix deadlock in dynamic reconfiguration,0,0,0
ZOOKEEPER-2068,ZOOKEEPER-2063,blocks,Blocker,outward,ServerCnxnTest.testServerCnxnExpiry failed when using Netty server option,Netty+SSL support for client-server communication,0,0,0
ZOOKEEPER-2068,ZOOKEEPER-2063,is blocked by,Blocker,inward,ServerCnxnTest.testServerCnxnExpiry failed when using Netty server option,Netty+SSL support for client-server communication,0,0,0
ZOOKEEPER-2684,ZOOKEEPER-2024,Blocked,Blocked,inward,Fix a crashing bug in the mixed workloads commit processor,Major throughput improvement with mixed workloads,0,0,0
ZOOKEEPER-1346,ZOOKEEPER-1729,is blocked by,Blocker,inward,Add Jetty HTTP server support for four letter words.,"Add l4w command ""snap"" to trigger log rotation and snapshotting ",0,0,0
ZOOKEEPER-1666,ZOOKEEPER-1652,blocks,Blocker,outward,Avoid Reverse DNS lookup if the hostname in connection string is literal IP address.,zookeeper java client does a reverse dns lookup when connecting,0,0,0
ZOOKEEPER-1666,ZOOKEEPER-1652,is blocked by,Blocker,inward,Avoid Reverse DNS lookup if the hostname in connection string is literal IP address.,zookeeper java client does a reverse dns lookup when connecting,0,0,0
ZOOKEEPER-1625,ZOOKEEPER-107,blocks,Blocker,outward,"zkServer.sh is looking for clientPort in config file, but it may no longer be there with ZK-1411",Allow dynamic changes to server cluster membership,0,0,0
ZOOKEEPER-1346,ZOOKEEPER-1729,blocks,Blocker,outward,Add Jetty HTTP server support for four letter words.,"Add l4w command ""snap"" to trigger log rotation and snapshotting ",0,0,0
ZOOKEEPER-2789,ZOOKEEPER-1277,Blocked,Blocked,inward,Reassign `ZXID` for solving 32bit overflow problem,servers stop serving when lower 32bits of zxid roll over,0,0,0
ZOOKEEPER-1125,ZOOKEEPER-1055,blocks,Blocker,outward,Intermittent java core test failures,check for duplicate ACLs in addACL() and create(),0,0,0
ZOOKEEPER-938,ZOOKEEPER-1112,is blocked by,Blocker,inward,Support Kerberos authentication of clients.,Add support for C client for SASL authentication,0,0,0
ZOOKEEPER-1125,ZOOKEEPER-1055,is blocked by,Blocker,inward,Intermittent java core test failures,check for duplicate ACLs in addACL() and create(),0,0,0
ZOOKEEPER-938,ZOOKEEPER-1045,is blocked by,Blocker,inward,Support Kerberos authentication of clients.,Support Quorum Peer mutual authentication via SASL,0,0,0
ZOOKEEPER-938,ZOOKEEPER-1045,blocks,Blocker,outward,Support Kerberos authentication of clients.,Support Quorum Peer mutual authentication via SASL,0,0,0
ZOOKEEPER-938,ZOOKEEPER-1112,blocks,Blocker,outward,Support Kerberos authentication of clients.,Add support for C client for SASL authentication,0,0,0
ZOOKEEPER-915,ZOOKEEPER-907,blocks,Blocker,outward,Errors that happen during sync() processing at the leader do not get propagated back to the client.,"Spurious ""KeeperErrorCode = Session moved"" messages",0,0,0
ZOOKEEPER-915,ZOOKEEPER-907,is blocked by,Blocker,inward,Errors that happen during sync() processing at the leader do not get propagated back to the client.,"Spurious ""KeeperErrorCode = Session moved"" messages",0,0,0
ZOOKEEPER-901,ZOOKEEPER-2080,blocks,Blocker,outward,Redesign of QuorumCnxManager,Fix deadlock in dynamic reconfiguration,0,0,0
ZOOKEEPER-895,ZOOKEEPER-823,blocks,Blocker,outward,ClientCnxn.authInfo must be thread safe,update ZooKeeper java client to optionally use Netty for connections,0,0,0
ZOOKEEPER-865,ZOOKEEPER-863,blocks,Blocker,outward,Runaway thread,Runaway thread - Zookeeper inside Eclipse,0,0,0
ZOOKEEPER-865,ZOOKEEPER-863,is blocked by,Blocker,inward,Runaway thread,Runaway thread - Zookeeper inside Eclipse,0,0,0
ZOOKEEPER-616,ZOOKEEPER-849,is blocked by,Blocker,inward,Provide a function to parse out the name and the sequence number from a zknode path,Provide Path class,0,0,0
ZOOKEEPER-14,ZOOKEEPER-843,is blocked by,Blocker,inward,Connect timeouts not calculated properly,Session class?,0,0,0
ZOOKEEPER-762,ZOOKEEPER-836,is blocked by,Blocker,inward,Allow dynamic addition/removal of server nodes in the client API,hostlist as string,0,0,0
ZOOKEEPER-277,ZOOKEEPER-835,is blocked by,Blocker,inward,Define PATH_SEPARATOR,Refactoring Zookeeper Client Code,0,0,0
ZOOKEEPER-895,ZOOKEEPER-823,is blocked by,Blocker,inward,ClientCnxn.authInfo must be thread safe,update ZooKeeper java client to optionally use Netty for connections,0,0,0
ZOOKEEPER-702,ZOOKEEPER-823,is blocked by,Blocker,inward,GSoC 2010: Failure Detector Model,update ZooKeeper java client to optionally use Netty for connections,0,0,0
ZOOKEEPER-762,ZOOKEEPER-836,blocks,Blocker,outward,Allow dynamic addition/removal of server nodes in the client API,hostlist as string,0,0,0
ZOOKEEPER-631,ZOOKEEPER-742,is blocked by,Blocker,inward,zkpython's C code could do with a style clean-up,Deallocatng None on writes,0,0,0
ZOOKEEPER-702,ZOOKEEPER-823,blocks,Blocker,outward,GSoC 2010: Failure Detector Model,update ZooKeeper java client to optionally use Netty for connections,0,0,0
ZOOKEEPER-677,ZOOKEEPER-676,blocks,Blocker,outward,c client doesn't allow ipv6 numeric connect string,50%-75% connection loss exceptions using zkpython,0,0,0
ZOOKEEPER-677,ZOOKEEPER-676,is blocked by,Blocker,inward,c client doesn't allow ipv6 numeric connect string,50%-75% connection loss exceptions using zkpython,0,0,0
ZOOKEEPER-569,ZOOKEEPER-653,is blocked by,Blocker,inward,Failure of elected leader can lead to never-ending leader election,hudson failure in LETest,0,0,0
ZOOKEEPER-3221,ZOOKEEPER-645,Blocked,Blocked,inward,WriteLock in recipes may get wrong child name as lock id,Bug in WriteLock recipe implementation?,0,0,0
ZOOKEEPER-631,ZOOKEEPER-742,blocks,Blocker,outward,zkpython's C code could do with a style clean-up,Deallocatng None on writes,0,0,0
ZOOKEEPER-616,ZOOKEEPER-849,blocks,Blocker,outward,Provide a function to parse out the name and the sequence number from a zknode path,Provide Path class,0,0,0
ZOOKEEPER-569,ZOOKEEPER-653,blocks,Blocker,outward,Failure of elected leader can lead to never-ending leader election,hudson failure in LETest,0,0,0
ZOOKEEPER-537,ZOOKEEPER-224,blocks,Blocker,outward,The zookeeper jar includes the java source files,Deploy ZooKeeper jars/artifacts to a Maven Repository,0,0,0
ZOOKEEPER-340,ZOOKEEPER-367,is blocked by,Blocker,inward,binaryinputarchive throws out runtimeexceptions for unreasonable length datastructures.,"RecoveryTest failure - ""unreasonable length"" IOException",0,0,0
ZOOKEEPER-340,ZOOKEEPER-367,blocks,Blocker,outward,binaryinputarchive throws out runtimeexceptions for unreasonable length datastructures.,"RecoveryTest failure - ""unreasonable length"" IOException",0,0,0
ZOOKEEPER-286,ZOOKEEPER-284,blocks,Blocker,outward,Make GenerateLoad use InstanceContainers,JMX doesn't get the clientPort correctly,0,0,0
ZOOKEEPER-286,ZOOKEEPER-284,is blocked by,Blocker,inward,Make GenerateLoad use InstanceContainers,JMX doesn't get the clientPort correctly,0,0,0
ZOOKEEPER-277,ZOOKEEPER-835,blocks,Blocker,outward,Define PATH_SEPARATOR,Refactoring Zookeeper Client Code,0,0,0
ZOOKEEPER-252,ZOOKEEPER-229,blocks,Blocker,outward,PurgeTxnLog is not handling the new dataDir directory structure,improve documentation regarding user's responsibility to cleanup datadir (snaps/logs),0,0,0
ZOOKEEPER-252,ZOOKEEPER-229,is blocked by,Blocker,inward,PurgeTxnLog is not handling the new dataDir directory structure,improve documentation regarding user's responsibility to cleanup datadir (snaps/logs),0,0,0
ZOOKEEPER-537,ZOOKEEPER-224,is blocked by,Blocker,inward,The zookeeper jar includes the java source files,Deploy ZooKeeper jars/artifacts to a Maven Repository,0,0,0
ZOOKEEPER-215,ZOOKEEPER-149,blocks,Blocker,outward,expand system test environment,c interface is missing tests against java server (mock only),0,0,0
ZOOKEEPER-186,ZOOKEEPER-145,blocks,Blocker,outward,"add new ""releasenotes.xml"" to forrest documentation",write detailed release notes for users migrating from 2.x to 3.0,0,0,0
ZOOKEEPER-181,ZOOKEEPER-73,blocks,Blocker,outward,"Some Source Forge Documents did not get moved over: javaExample, zookeeperTutorial, zookeeperInternals",Move ZK wiki from SourceForge to Apache,0,0,0
ZOOKEEPER-154,ZOOKEEPER-155,is blocked by,Blocker,inward,reliability graph diagram in overview doc needs context,"improve ""the zookeeper project"" section of overview doc",0,0,0
ZOOKEEPER-154,ZOOKEEPER-155,blocks,Blocker,outward,reliability graph diagram in overview doc needs context,"improve ""the zookeeper project"" section of overview doc",0,0,0
ZOOKEEPER-215,ZOOKEEPER-149,is blocked by,Blocker,inward,expand system test environment,c interface is missing tests against java server (mock only),0,0,0
ZOOKEEPER-186,ZOOKEEPER-145,is blocked by,Blocker,inward,"add new ""releasenotes.xml"" to forrest documentation",write detailed release notes for users migrating from 2.x to 3.0,0,0,0
