issue_key,summary,group_key,group_domain,group_release,group_worktype,group_priority,group_has_pr,dev_has_activity,indegree,outdegree,component_id,is_root,is_leaf
ZOOKEEPER-1,Initial ZooKeeper code contribution from Yahoo!,,,,,,,,0,0,1578,1,1
ZOOKEEPER-10,Bad error message,,,,,,,,0,0,1769,1,1
ZOOKEEPER-100,Avoid extending Thread in the public ZooKeeper API,,,,,,,,0,0,3633,1,1
ZOOKEEPER-1000,Provide SSL in zookeeper to be able to run cross colos.,,,,,,,,0,0,3347,1,1
ZOOKEEPER-1002,The Barrier sample code should create a EPHEMERAL znode instead of EPHEMERAL_SEQUENTIAL znode,,,,,,,,0,0,722,1,1
ZOOKEEPER-1003,provide a separate client library jar ,,,,,,,,0,0,1828,1,1
ZOOKEEPER-1004,TestClient.cc:363: Assertion: equality assertion failed,,,,,,,,0,0,1758,1,1
ZOOKEEPER-1005,Zookeeper servers fail to elect a leader succesfully.,,,,,,,,0,0,4191,1,1
ZOOKEEPER-1006,"QuorumPeer ""Address already in use"" -- regression in 3.3.3",,,,,,,,0,0,1966,1,1
ZOOKEEPER-1007,iarchive leak in C client,,,,,,,,0,0,2896,1,1
ZOOKEEPER-1008,ZK should give more specific error on missing myid,,,,,,,,0,0,2929,1,1
ZOOKEEPER-101,"Integrate ZooKeeper with ""violations"" feature on hudson",,,,,,,,0,0,233,1,1
ZOOKEEPER-1010,"Remove or move ManagedUtil to contrib, because it has direct log4j dependencies",,,,,,,,0,0,1484,1,1
ZOOKEEPER-1011,fix Java Barrier Documentation example's race condition issue and polish up the Barrier Documentation,,,,,,,,0,0,2275,1,1
ZOOKEEPER-1012,support distinct JVMFLAGS for zookeeper server in zkServer.sh and zookeeper client in zkCli.sh,,,,,,,,0,0,3393,1,1
ZOOKEEPER-1013,zkServer.sh usage message should mention all startup options,,,,,,,,0,0,3716,1,1
ZOOKEEPER-1014,"DateFormat.getDateTimeInstance() is very expensive, we can cache it to improve performance",,,,,,,,0,0,1420,1,1
ZOOKEEPER-1015,"DateFormat.getDateTimeInstance() is very expensive, we can cache it to improve performance",,,,,,,,0,0,2094,1,1
ZOOKEEPER-1017,"Follower.followLeader throws SocketException, then shutdown Follower",,,,,,,,0,0,2812,1,1
ZOOKEEPER-1018,The connection permutation in get_addrs uses a weak and inefficient shuffle,,,,,,,,0,0,2116,1,1
ZOOKEEPER-1019,zkfuse doesn't list dependency on boost in README,,,,,,,,0,0,2765,1,1
ZOOKEEPER-102,Need to replace Jute with supported code,,,,,,,,0,0,1222,1,1
ZOOKEEPER-1020,Implement function in C client to determine which host you're currently connected to.,,,,,,,,0,0,2856,1,1
ZOOKEEPER-1022,let the children under a ZNode in order.,,,,,,,,0,0,3892,1,1
ZOOKEEPER-1023,zkpython: add_auth can deadlock the interpreter,,,,,,,,0,0,519,1,1
ZOOKEEPER-1024,let path be binary,,,,,,,,0,0,1984,1,1
ZOOKEEPER-1025,zkCli is overly sensitive to to spaces.,,,,,,,,0,0,774,1,1
ZOOKEEPER-1026,Sequence number assignment decreases after old node rejoins cluster,,,,,,,,0,0,3215,1,1
ZOOKEEPER-1027,chroot not transparent in zoo_create(),,,,,,,,0,0,4193,1,1
ZOOKEEPER-1028,"In python bindings, zookeeper.set2() should return a stat dict but instead returns None",,,,,,,,0,0,661,1,1
ZOOKEEPER-1029,C client bug in zookeeper_init (if bad hostname is given),,,,,,,,0,0,494,1,1
ZOOKEEPER-103,Reorganize the ZooKeeper source distro to follow maven conventions,,,,,,,,2,0,443,0,1
ZOOKEEPER-1030,Increase default for maxClientCnxns,,,,,,,,0,0,1128,1,1
ZOOKEEPER-1031,Introduce virtual cluster IP and start that cluster IP on the host running ZK leader,,,,,,,,0,0,1113,1,1
ZOOKEEPER-1032,speed up recovery from leader failure,,,,,,,,0,0,2399,1,1
ZOOKEEPER-1033,"c client should install includes into INCDIR/zookeeper, not INCDIR/c-client-src",,,,,,,,0,0,3360,1,1
ZOOKEEPER-1034,perl bindings should automatically find the zookeeper c-client headers,,,,,,,,0,0,3433,1,1
ZOOKEEPER-1035,CREATOR_ALL_ACL does not work together with IPAuthenticationProvider,,,,,,,,0,0,1991,1,1
ZOOKEEPER-1036,send UPTODATE to follower until a quorum of servers synced with leader,,,,,,,,0,0,877,1,1
ZOOKEEPER-1037,Create BookKeeper subproject,,,,,,,,0,0,3036,1,1
ZOOKEEPER-1038,Move bookkeeper and hedwig code in subversion,,,,,,,,0,0,3105,1,1
ZOOKEEPER-1039,give bookkeeper committers access to bookkeeper svn,,,,,,,,0,0,202,1,1
ZOOKEEPER-104,KeptSet: a distributed data stucture backed by the children of a ZooKeeper node,,,,,,,,0,0,3094,1,1
ZOOKEEPER-1040,create bookkeeper webpage,,,,,,,,0,0,219,1,1
ZOOKEEPER-1041,get hudson running on bookkeeper,,,,,,,,0,0,4009,1,1
ZOOKEEPER-1042,Generate zookeeper test jar for maven installation,,,,,,,,0,0,243,1,1
ZOOKEEPER-1043,Looped NPE at org.apache.zookeeper.server.NIOServerCnxn$Factory.run(NIOServerCnxn.java:244),,,,,,,,0,0,2787,1,1
ZOOKEEPER-1044,Allow dynamic changes to roles of a peer,,,,,,,,0,0,2827,1,1
ZOOKEEPER-1045,Support Quorum Peer mutual authentication via SASL,,,,,,,,2,0,48,0,1
ZOOKEEPER-1046,Creating a new sequential node results in a ZNODEEXISTS error,,,,,,,,0,0,1517,1,1
ZOOKEEPER-1047,ZooKeeper Standalone does not shutdown cleanly,,,,,,,,0,0,2639,1,1
ZOOKEEPER-1048,addauth command does not work in cli_mt/cli_st,,,,,,,,0,0,4046,1,1
ZOOKEEPER-1049,Session expire/close flooding renders heartbeats to delay significantly,,,,,,,,0,0,1157,1,1
