from_issue_key,to_issue_key,link_type,raw_link_type,direction
ZOOKEEPER-4434,ZOOKEEPER-3142,relates to,Reference,outward
ZOOKEEPER-4433,ZOOKEEPER-2872,relates to,Reference,outward
ZOOKEEPER-4427,ZOOKEEPER-2342,supercedes,Supercedes,outward
ZOOKEEPER-2342,ZOOKEEPER-4423,is related to,Reference,inward
ZOOKEEPER-4421,ZOOKEEPER-3781,relates to,Reference,outward
ZOOKEEPER-4390,ZOOKEEPER-4337,relates to,Reference,outward
ZOOKEEPER-4278,ZOOKEEPER-4385,is related to,Reference,inward
ZOOKEEPER-2260,ZOOKEEPER-4383,is related to,Reference,inward
ZOOKEEPER-4367,ZOOKEEPER-4235,duplicates,Duplicate,outward
ZOOKEEPER-3807,ZOOKEEPER-4356,is duplicated by,Duplicate,inward
ZOOKEEPER-4390,ZOOKEEPER-4337,is related to,Reference,inward
ZOOKEEPER-4335,ZOOKEEPER-2937,is a clone of,Cloners,outward
ZOOKEEPER-4332,ZOOKEEPER-1162,duplicates,Duplicate,outward
ZOOKEEPER-4332,ZOOKEEPER-4314,relates to,Reference,outward
ZOOKEEPER-4226,ZOOKEEPER-4327,is duplicated by,Duplicate,inward
ZOOKEEPER-4274,ZOOKEEPER-4327,is duplicated by,Duplicate,inward
ZOOKEEPER-4332,ZOOKEEPER-4314,is related to,Reference,inward
ZOOKEEPER-1162,ZOOKEEPER-4314,is related to,Reference,inward
ZOOKEEPER-4312,ZOOKEEPER-3874,Parent Feature,Parent Feature,outward
ZOOKEEPER-4309,ARTEMIS-2716,blocks,Blocker,outward
ZOOKEEPER-4305,ZOOKEEPER-3677,duplicates,Duplicate,outward
SOLR-15415,ZOOKEEPER-4303,is required by,Required,inward
ZOOKEEPER-4296,ZOOKEEPER-2966,duplicates,Duplicate,outward
ZOOKEEPER-4278,ZOOKEEPER-4385,relates to,Reference,outward
ZOOKEEPER-4274,ZOOKEEPER-4327,duplicates,Duplicate,outward
ZOOKEEPER-4269,ZOOKEEPER-1653,relates to,Reference,outward
ZOOKEEPER-3371,ZOOKEEPER-4259,is caused by,Problem/Incident,inward
ZOOKEEPER-4256,ZOOKEEPER-4253,duplicates,Duplicate,outward
