from_task_id,to_task_id,edge_count,link_types,example_from_issue,example_to_issue
105,106,2,blocks;is blocked by,ZOOKEEPER-154,ZOOKEEPER-155
123,51,2,blocks;is blocked by,ZOOKEEPER-181,ZOOKEEPER-73
128,100,2,blocks;is blocked by,ZOOKEEPER-186,ZOOKEEPER-145
153,102,2,blocks;is blocked by,ZOOKEEPER-215,ZOOKEEPER-149
1808,1320,2,Blocked,ZOOKEEPER-3016,ZOOKEEPER-2186
181,164,2,blocks;is blocked by,ZOOKEEPER-252,ZOOKEEPER-229
206,204,2,blocks;is blocked by,ZOOKEEPER-286,ZOOKEEPER-284
2068,2065,2,blocks;is blocked by,ZOOKEEPER-3402,ZOOKEEPER-3374
2106,2172,2,blocks;is blocked by,ZOOKEEPER-3436,ZOOKEEPER-3530
2175,2137,2,Blocked,ZOOKEEPER-3534,ZOOKEEPER-3478
2233,2218,2,blocks;is blocked by,ZOOKEEPER-3630,ZOOKEEPER-3599
243,267,2,blocks;is blocked by,ZOOKEEPER-340,ZOOKEEPER-367
458,517,2,blocks;is blocked by,ZOOKEEPER-631,ZOOKEEPER-742
476,481,2,blocks;is blocked by,ZOOKEEPER-677,ZOOKEEPER-676
48,50,2,blocks;is blocked by,ZOOKEEPER-70,ZOOKEEPER-72
73,38,2,blocks;is blocked by,ZOOKEEPER-111,ZOOKEEPER-54
73,42,2,blocks;is blocked by,ZOOKEEPER-111,ZOOKEEPER-61
96,85,2,blocks;is blocked by,ZOOKEEPER-140,ZOOKEEPER-127
99,76,2,blocks;is blocked by,ZOOKEEPER-144,ZOOKEEPER-114
