Task_ID,Topo_Level,Batch_Index,Solution_Index,Summary,Task_Tag,Priority,Duration_Hours,Assigned_To,Start_Hour,End_Hour,Skill_Match
1001,1,1,1,The documentation still points to 2008 in the copyright notice,Documentation,Trivial,1.6,A-366,0.0,2.0,1
1003,1,1,1,minor typos in ZooKeeper Programmer's Guide web page,Documentation,Trivial,1.6,A-79,0.0,2.0,1
1026,1,1,1,"zookeeper client does not accept ""-members"" option in reconfig command",Bug fixing / Maintenance,Trivial,1.6,A-312,0.0,2.0,1
1040,1,1,1,Please add download link for tutorial,Feature / Improvement Implementation,Trivial,1.6,A-419,0.0,2.0,1
1047,1,1,1,wrong time calculation in zkfuse.cc,Bug fixing / Maintenance,Trivial,1.6,A-356,0.0,2.0,1
1065,1,1,1,bin scripts don't dereference symlinks,Documentation,Trivial,1.6,A-17,0.0,2.0,1
1082,1,1,1,"Update code conventions link on ""How to contribute"" page",Bug fixing / Maintenance,Trivial,1.6,A-363,0.0,2.0,1
1101,1,1,1,"Move common code from {Follower, Observer}ZooKeeperServer into LearnerZooKeeperServer",Design & API Evolution,Trivial,1.6,A-382,0.0,2.0,1
1110,1,1,1,Tolerate incorrectly set system hostname in tests,Testing & Verification,Trivial,2.0,A-292,0.0,2.0,0
1125,1,1,1,addrvec_next() fails to set next parameter if addrvec_hasnext() returns false,Bug fixing / Maintenance,Trivial,2.0,A-267,0.0,2.0,0
1136,1,1,1,cppunit test testNonexistingHost in TestZookeeperInit is failing on Unbuntu,Testing & Verification,Trivial,2.0,A-158,0.0,2.0,0
1182,1,1,1,bump version in the C library as we prepare for 3.5.0 release,Build & Release Engineering,Trivial,1.6,A-4,0.0,2.0,1
1232,1,1,1,typos in zookeeperProgrammers,Bug fixing / Maintenance,Trivial,1.6,A-220,0.0,2.0,1
1279,1,1,1,Typo in src/c/src/load_gen.c,Bug fixing / Maintenance,Trivial,1.6,A-150,0.0,2.0,1
1291,1,1,1,ruok command is not consistent with other four letter commands,Bug fixing / Maintenance,Trivial,1.6,A-143,0.0,2.0,1
1298,1,1,1,Remove ZOO_NOTWATCHING_EVENT,Feature / Improvement Implementation,Trivial,2.0,A-317,0.0,2.0,0
1315,1,1,1,Typo in Watcher.java,Feature / Improvement Implementation,Trivial,1.6,A-283,0.0,2.0,1
