Assignee,total_tasks,num_skills,main_skill_tag,Bug fixing / Maintenance,Build & Release Engineering,Code Refactoring & Cleanup,Design & API Evolution,Documentation,Feature / Improvement Implementation,Other,Performance Optimization,Project / General Task,Testing & Verification
A-1,84,8,Testing & Verification,23,8,0,1,6,7,4,0,5,30
A-10,40,8,Build & Release Engineering,9,14,0,4,5,3,1,1,0,3
A-100,4,1,Bug fixing / Maintenance,4,0,0,0,0,0,0,0,0,0
A-1000,8,4,Feature / Improvement Implementation,0,0,1,0,1,3,3,0,0,0
A-10000,26,5,Bug fixing / Maintenance,11,1,0,2,0,5,0,0,0,7
A-10001,14,3,Bug fixing / Maintenance,7,0,0,0,0,0,2,0,0,5
A-10002,1,1,Documentation,0,0,0,0,1,0,0,0,0,0
A-10003,1,1,Feature / Improvement Implementation,0,0,0,0,0,1,0,0,0,0
A-10004,1,1,Testing & Verification,0,0,0,0,0,0,0,0,0,1
A-10005,3,2,Bug fixing / Maintenance,2,0,0,0,0,1,0,0,0,0
A-10006,1,1,Testing & Verification,0,0,0,0,0,0,0,0,0,1
A-10007,3,2,Bug fixing / Maintenance,2,0,0,0,0,0,0,0,1,0
A-10008,1,1,Bug fixing / Maintenance,1,0,0,0,0,0,0,0,0,0
A-10009,2,1,Bug fixing / Maintenance,2,0,0,0,0,0,0,0,0,0
A-1001,1,1,Other,0,0,0,0,0,0,1,0,0,0
A-10010,5,2,Bug fixing / Maintenance,3,0,0,0,0,2,0,0,0,0
A-10011,12,3,Testing & Verification,5,0,0,0,0,0,1,0,0,6
A-10012,1,1,Bug fixing / Maintenance,1,0,0,0,0,0,0,0,0,0
A-10013,1,1,Bug fixing / Maintenance,1,0,0,0,0,0,0,0,0,0
A-10014,4,1,Bug fixing / Maintenance,4,0,0,0,0,0,0,0,0,0
A-10015,1,1,Feature / Improvement Implementation,0,0,0,0,0,1,0,0,0,0
A-10016,2,2,Bug fixing / Maintenance,1,0,0,0,1,0,0,0,0,0
A-10017,81,6,Bug fixing / Maintenance,43,0,0,0,1,14,8,3,0,12
A-10018,7,2,Project / General Task,0,1,0,0,0,0,0,0,6,0
A-10019,6,3,Feature / Improvement Implementation,1,1,0,0,0,4,0,0,0,0
A-1002,6,4,Feature / Improvement Implementation,1,0,0,0,1,2,0,0,0,2
A-10020,4,3,Bug fixing / Maintenance,2,0,0,1,0,1,0,0,0,0
A-10021,2,2,Bug fixing / Maintenance,1,0,0,0,0,0,0,0,0,1
A-10022,1,1,Bug fixing / Maintenance,1,0,0,0,0,0,0,0,0,0
A-10023,3,2,Feature / Improvement Implementation,0,0,0,0,0,2,0,0,0,1
A-10024,46,7,Bug fixing / Maintenance,28,3,1,0,0,9,0,2,1,2
A-10025,12,3,Bug fixing / Maintenance,8,0,0,0,0,3,0,0,1,0
A-10026,26,4,Bug fixing / Maintenance,18,0,0,2,0,5,0,0,0,1
A-10027,7,1,Bug fixing / Maintenance,7,0,0,0,0,0,0,0,0,0
A-10028,1,1,Bug fixing / Maintenance,1,0,0,0,0,0,0,0,0,0
A-10029,1,1,Other,0,0,0,0,0,0,1,0,0,0
A-1003,25,9,Bug fixing / Maintenance,5,1,1,2,3,5,1,0,2,5
A-10030,1,1,Bug fixing / Maintenance,1,0,0,0,0,0,0,0,0,0
A-10031,72,6,Bug fixing / Maintenance,50,2,0,0,2,4,0,0,4,10
A-10032,3,2,Feature / Improvement Implementation,1,0,0,0,0,2,0,0,0,0
A-10033,9,3,Feature / Improvement Implementation,2,0,0,0,0,6,0,0,1,0
A-10034,1,1,Bug fixing / Maintenance,1,0,0,0,0,0,0,0,0,0
A-10035,2,2,Build & Release Engineering,0,1,0,0,1,0,0,0,0,0
A-10036,1,1,Bug fixing / Maintenance,1,0,0,0,0,0,0,0,0,0
A-10037,3,2,Feature / Improvement Implementation,1,0,0,0,0,2,0,0,0,0
A-10038,1,1,Testing & Verification,0,0,0,0,0,0,0,0,0,1
A-10039,76,9,Bug fixing / Maintenance,46,0,1,1,1,12,2,2,4,7
A-1004,134,9,Bug fixing / Maintenance,41,7,2,11,13,9,37,1,0,13
A-10040,1,1,Bug fixing / Maintenance,1,0,0,0,0,0,0,0,0,0
A-10041,1,1,Bug fixing / Maintenance,1,0,0,0,0,0,0,0,0,0
A-10042,4,3,Other,1,0,0,0,0,1,2,0,0,0
A-10043,1,1,Bug fixing / Maintenance,1,0,0,0,0,0,0,0,0,0
A-10044,1,1,Bug fixing / Maintenance,1,0,0,0,0,0,0,0,0,0
A-10045,13,4,Feature / Improvement Implementation,5,1,0,0,0,6,0,0,1,0
A-10046,1,1,Bug fixing / Maintenance,1,0,0,0,0,0,0,0,0,0
A-10047,82,8,Bug fixing / Maintenance,48,5,1,0,0,14,1,1,3,9
A-10048,68,6,Bug fixing / Maintenance,60,1,0,0,1,2,0,2,0,2
A-10049,5,2,Feature / Improvement Implementation,2,0,0,0,0,3,0,0,0,0
A-1005,10,4,Documentation,1,0,0,0,6,2,1,0,0,0
A-10050,2,1,Bug fixing / Maintenance,2,0,0,0,0,0,0,0,0,0
A-10051,2,2,Build & Release Engineering,0,1,0,0,0,0,0,0,1,0
A-10052,2,1,Feature / Improvement Implementation,0,0,0,0,0,2,0,0,0,0
A-10053,181,7,Bug fixing / Maintenance,133,4,0,0,5,9,0,5,12,13
A-10054,7,4,Bug fixing / Maintenance,2,1,0,0,0,2,0,0,0,2
A-10055,3,2,Feature / Improvement Implementation,1,0,0,0,0,2,0,0,0,0
A-10056,26,7,Bug fixing / Maintenance,18,0,0,1,1,3,1,0,1,1
A-10057,10,2,Bug fixing / Maintenance,7,0,0,0,0,3,0,0,0,0
A-10058,15,3,Bug fixing / Maintenance,9,0,0,0,0,3,0,0,3,0
A-10059,3,2,Bug fixing / Maintenance,2,0,0,0,0,1,0,0,0,0
A-1006,2,2,Bug fixing / Maintenance,1,0,0,0,1,0,0,0,0,0
A-10060,2,1,Bug fixing / Maintenance,2,0,0,0,0,0,0,0,0,0
A-10061,1,1,Design & API Evolution,0,0,0,1,0,0,0,0,0,0
